# lat,lng,id,name,building_type,type,url,page_type
# Bozel -- Tutti
45.442541,6.642774,ov_cabinet_d_osteopathie_bozel_45.4425_6.6428,Cabinet d'osteopathie bozel,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bozel/pages/cabinet_dosteopathie_bozel_45.4425_6.6428.json,custom
45.481734,6.689935,ov_chalet_des_verdons_sud_45.4817_6.6899,Chalet des Verdons Sud,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bozel/pages/chalet_des_verdons_sud_45.4817_6.6899.json,custom
45.484634,6.673254,ov_le_balcon_du_bozelet_45.4846_6.6733,Le Balcon du Bozelet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bozel/pages/le_balcon_du_bozelet_45.4846_6.6733.json,custom
45.441777,6.654020,ov_katerita_45.4418_6.6540,Katerita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bozel/pages/katerita_45.4418_6.6540.json,custom
45.442856,6.649793,ov_achill_e_45.4429_6.6498,Achillée,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bozel/pages/achille_45.4429_6.6498.json,custom
45.442530,6.647795,ov_restaurant_la_goulue_45.4425_6.6478,Restaurant La Goulue,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bozel/pages/restaurant_la_goulue_45.4425_6.6478.json,custom
45.442482,6.647635,ov_la_storia_bozel_45.4425_6.6476,La Storia Bozel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bozel/pages/la_storia_bozel_45.4425_6.6476.json,custom
45.442921,6.647082,ov_tignes_2100_alpine_kitchen_45.4429_6.6471,Tignes 2100 Alpine Kitchen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bozel/pages/tignes_2100_alpine_kitchen_45.4429_6.6471.json,custom
45.442695,6.648873,ov_st_roch_bar_45.4427_6.6489,St Roch Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bozel/pages/st_roch_bar_45.4427_6.6489.json,custom
45.442460,6.647480,ov_mcfarland_pub_irlandais_45.4425_6.6475,McFarland Pub Irlandais,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bozel/pages/mcfarland_pub_irlandais_45.4425_6.6475.json,custom
45.442354,6.660221,ov_le_chevelu_45.4424_6.6602,Le Chevelu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bozel/pages/le_chevelu_45.4424_6.6602.json,custom
45.443198,6.640643,ov_brasserie_de_l_antidote_45.4432_6.6406,Brasserie de l'Antidote,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bozel/pages/brasserie_de_lantidote_45.4432_6.6406.json,custom
45.433565,6.624092,ov_the_drop_inn_45.4336_6.6241,The Drop Inn,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bozel/pages/the_drop_inn_45.4336_6.6241.json,custom
45.440153,6.650541,ov_laser_experience_73_45.4402_6.6505,Laser Experience 73,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bozel/pages/laser_experience_73_45.4402_6.6505.json,custom
45.443083,6.658321,ov_asb___association_sportive_de_bozel_45.4431_6.6583,ASB | Association Sportive de Bozel,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bozel/pages/asb_association_sportive_de_bozel_45.4431_6.6583.json,custom
45.443447,6.647385,ov_tour_de_bozel_45.4434_6.6474,Tour de Bozel,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bozel/pages/tour_de_bozel_45.4434_6.6474.json,custom
