# lat,lng,id,name,building_type,type,url,page_type
# cerro_al_lambro -- Tutti
44.282105,9.601900,ov_poliambulatorio_i_medical_center_cerro_44.2821_9.6019,Poliambulatorio I-Medical Center Cerro,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerro_al_lambro/pages/poliambulatorio_i-medical_center_cerro_44.2821_9.6019.json,custom
45.328685,9.340690,ov_bar_bistrot_capriccio_45.3287_9.3407,Bar Bistrot Capriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerro_al_lambro/pages/bar_bistrot_capriccio_45.3287_9.3407.json,custom
45.332701,9.336863,ov_kosmos_trattoria_45.3327_9.3369,Kosmos Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerro_al_lambro/pages/kosmos_trattoria_45.3327_9.3369.json,custom
45.335330,9.337417,ov_eurocot_spa_45.3353_9.3374,Eurocot spa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerro_al_lambro/pages/eurocot_spa_45.3353_9.3374.json,custom
45.348705,9.316376,ov_gli_ulivi_45.3487_9.3164,Gli Ulivi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerro_al_lambro/pages/gli_ulivi_45.3487_9.3164.json,custom
45.349285,9.321932,ov_la_favola_riozzo_45.3493_9.3219,La Favola Riozzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerro_al_lambro/pages/la_favola_riozzo_45.3493_9.3219.json,custom
45.346320,9.324696,ov_b_la_ugo_45.3463_9.3247,Bèla Ugo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerro_al_lambro/pages/bla_ugo_45.3463_9.3247.json,custom
45.349094,9.316619,osm_ristobar_gli_ulivi_45.3491_9.3166,Ristobar Gli Ulivi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerro_al_lambro/pages/ristobar_gli_ulivi_45.3491_9.3166.json,custom
45.332758,9.336738,osm_kosmos_45.3328_9.3367,Kosmos,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerro_al_lambro/pages/kosmos_45.3328_9.3367.json,custom
45.331761,9.344335,ov_iqos_partner___bar_centro__cerro_al_lamb_45.3318_9.3443,"IQOS PARTNER - Bar Centro, Cerro al Lambro",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerro_al_lambro/pages/iqos_partner_-_bar_centro_cerro_al_lambr_45.3318_9.3443.json,custom
45.331712,9.344185,ov_bar_centro_45.3317_9.3442,Bar Centro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerro_al_lambro/pages/bar_centro_45.3317_9.3442.json,custom
45.349285,9.321900,ov_caffe_costa_45.3493_9.3219,Caffe Costa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerro_al_lambro/pages/caffe_costa_45.3493_9.3219.json,custom
45.344695,9.324707,ov_caffe_riozzo_45.3447_9.3247,Caffe Riozzo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerro_al_lambro/pages/caffe_riozzo_45.3447_9.3247.json,custom
45.332904,9.346349,ov_a_s_d__arcieri_del_cerro_45.3329_9.3463,A.S.D. Arcieri del Cerro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerro_al_lambro/pages/asd_arcieri_del_cerro_45.3329_9.3463.json,custom
45.341901,9.328949,ov_palazzetto_dello_sport_riozzo_45.3419_9.3289,Palazzetto dello Sport Riozzo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerro_al_lambro/pages/palazzetto_dello_sport_riozzo_45.3419_9.3289.json,custom
