# lat,lng,id,name,building_type,type,url,page_type
# albiate -- Tutti
45.654911,9.246776,osm_dedalo_psicologia_45.6549_9.2468,Dedalo Psicologia,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albiate/pages/dedalo_psicologia_45.6549_9.2468.json,custom
45.656274,9.253343,ov_spacciopizza_45.6563_9.2533,Spacciopizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albiate/pages/spacciopizza_45.6563_9.2533.json,custom
45.656045,9.254758,ov_la_dispensa_45.6560_9.2548,La Dispensa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albiate/pages/la_dispensa_45.6560_9.2548.json,custom
45.656318,9.256468,ov_trattoria_romana_cacio_e_pepe_45.6563_9.2565,Trattoria Romana Cacio e Pepe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albiate/pages/trattoria_romana_cacio_e_pepe_45.6563_9.2565.json,custom
45.660497,9.259299,ov_osteria_rambaldi_45.6605_9.2593,Osteria Rambaldi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albiate/pages/osteria_rambaldi_45.6605_9.2593.json,custom
45.659835,9.258758,ov_ristorante_parco_dei_principi_45.6598_9.2588,Ristorante Parco Dei Principi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albiate/pages/ristorante_parco_dei_principi_45.6598_9.2588.json,custom
45.659774,9.256050,ov_grow_restaurant_45.6598_9.2561,Grow Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albiate/pages/grow_restaurant_45.6598_9.2561.json,custom
45.658790,9.255383,ov_civico_24_45.6588_9.2554,Civico 24,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albiate/pages/civico_24_45.6588_9.2554.json,custom
45.658676,9.255242,ov_pizzeria_nuova_san_fermo_45.6587_9.2552,Pizzeria nuova San Fermo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albiate/pages/pizzeria_nuova_san_fermo_45.6587_9.2552.json,custom
45.658278,9.254543,ov_sandy_s_45.6583_9.2545,Sandy's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albiate/pages/sandys_45.6583_9.2545.json,custom
45.657782,9.254771,ov_trattoria_vecchia_brianza_45.6578_9.2548,Trattoria Vecchia Brianza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albiate/pages/trattoria_vecchia_brianza_45.6578_9.2548.json,custom
45.657251,9.255527,ov_trattoria_morena_con_cantina_45.6573_9.2555,Trattoria Morena con Cantina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albiate/pages/trattoria_morena_con_cantina_45.6573_9.2555.json,custom
45.657270,9.256072,ov_real_pizza_45.6573_9.2561,Real Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albiate/pages/real_pizza_45.6573_9.2561.json,custom
45.659749,9.258663,osm_parco_dei_principi_45.6597_9.2587,Parco dei Principi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albiate/pages/parco_dei_principi_45.6597_9.2587.json,custom
45.659771,9.256083,osm_grow_45.6598_9.2561,Grow,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/albiate/pages/grow_45.6598_9.2561.json,custom
