# lat,lng,id,name,building_type,type,url,page_type
# ankaran -- Tutti
45.581139,13.727431,ov_orthopedic_hospital_valdoltra_45.5811_13.7274,Orthopedic Hospital Valdoltra,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ankaran/pages/orthopedic_hospital_valdoltra_45.5811_13.7274.json,custom
45.583823,13.722891,ov_villa_andor_45.5838_13.7229,Villa Andor,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ankaran/pages/villa_andor_45.5838_13.7229.json,custom
45.581610,13.735990,ov_______________________________45.5816_13.7360,Ресторан «Мангал» в Анкаране.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ankaran/pages/__45.5816_13.7360.json,custom
45.573232,13.745633,ov_pizzeria_godina_45.5732_13.7456,Pizzeria Godina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ankaran/pages/pizzeria_godina_45.5732_13.7456.json,custom
45.579010,13.737860,ov_pacific_d_o_o__45.5790_13.7379,Pacific d.o.o.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ankaran/pages/pacific_doo_45.5790_13.7379.json,custom
45.579029,13.737615,ov_bandima_45.5790_13.7376,Bandima,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ankaran/pages/bandima_45.5790_13.7376.json,custom
45.579474,13.737854,ov_1_kilo_45.5795_13.7379,1 KILO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ankaran/pages/1_kilo_45.5795_13.7379.json,custom
45.579340,13.737369,ov_ankaran_45.5793_13.7374,Ankaran,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ankaran/pages/ankaran_45.5793_13.7374.json,custom
45.578120,13.733700,ov_samopostrezna_restavra_45.5781_13.7337,Samopostrezna Restavra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ankaran/pages/samopostrezna_restavra_45.5781_13.7337.json,custom
45.577679,13.759312,ov_ristorante_aquarium_45.5777_13.7593,Ristorante Aquarium,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ankaran/pages/ristorante_aquarium_45.5777_13.7593.json,custom
45.572880,13.743640,ov_sv__katarina___beach_bar_45.5729_13.7436,Sv. Katarina - Beach Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ankaran/pages/sv_katarina_-_beach_bar_45.5729_13.7436.json,custom
45.579696,13.737523,ov_kavarnat_net_45.5797_13.7375,Kavarnat.net,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ankaran/pages/kavarnatnet_45.5797_13.7375.json,custom
45.579529,13.737189,ov_pub_n_1_45.5795_13.7372,PUB N 1,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ankaran/pages/pub_n_1_45.5795_13.7372.json,custom
45.579401,13.737264,ov_korta_bar_45.5794_13.7373,Korta Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ankaran/pages/korta_bar_45.5794_13.7373.json,custom
45.546033,13.726043,ov_halo_sup_45.5460_13.7260,Halo SUP,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ankaran/pages/halo_sup_45.5460_13.7260.json,custom
45.572241,13.743511,ov__d_katarina_45.5722_13.7435,ŠD Katarina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ankaran/pages/d_katarina_45.5722_13.7435.json,custom
45.581040,13.735500,ov_knji_nica_ankaran_45.5810_13.7355,Knjižnica Ankaran,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ankaran/pages/knjinica_ankaran_45.5810_13.7355.json,custom
45.579189,13.736853,osm_po_ta_ankaran___posta_ancarano_45.5792_13.7369,Pošta Ankaran / Posta Ancarano,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ankaran/pages/pota_ankaran_posta_ancarano_45.5792_13.7369.json,custom
