# lat,lng,id,name,building_type,type,url,page_type
# Cinisi -- Tutti
38.159660,13.104350,ov_gnatologia_palermo_38.1597_13.1044,Gnatologia Palermo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/gnatologia_palermo_38.1597_13.1044.json,custom
38.156543,13.083287,ov_le_terrazze_di_magaggiari_38.1565_13.0833,Le Terrazze Di Magaggiari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/le_terrazze_di_magaggiari_38.1565_13.0833.json,custom
38.150066,13.084698,ov_osteria_mediterranea_38.1501_13.0847,Osteria Mediterranea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/osteria_mediterranea_38.1501_13.0847.json,custom
38.149165,13.104122,ov_l_abbeveratoio_38.1492_13.1041,L'Abbeveratoio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/labbeveratoio_38.1492_13.1041.json,custom
38.156339,13.107767,ov_sclafani_faro_38.1563_13.1078,Sclafani Faro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/sclafani_faro_38.1563_13.1078.json,custom
38.155691,13.108254,ov_revolte_take_away_38.1557_13.1083,Revolte take away,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/revolte_take_away_38.1557_13.1083.json,custom
38.155417,13.108515,ov_lo_stuzzicotto_38.1554_13.1085,Lo Stuzzicotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/lo_stuzzicotto_38.1554_13.1085.json,custom
38.155130,13.108847,ov_voglia_di_pizza_38.1551_13.1088,Voglia di Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/voglia_di_pizza_38.1551_13.1088.json,custom
38.155190,13.108940,ov_pizzeria_condor_special_38.1552_13.1089,Pizzeria condor special,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/pizzeria_condor_special_38.1552_13.1089.json,custom
38.158310,13.106139,ov_nni_giggiuzzu___panineria__gastronomia_e_38.1583_13.1061,"Nni Giggiuzzu - panineria, gastronomia e take away",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/nni_giggiuzzu_-_panineria_gastronomia_e__38.1583_13.1061.json,custom
38.158251,13.105642,ov_basilico_pizzeria_d_asporto_38.1583_13.1056,Basilico Pizzeria d'Asporto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/basilico_pizzeria_dasporto_38.1583_13.1056.json,custom
38.157184,13.106631,ov_brace___farina___polleria_a_cinisi_38.1572_13.1066,Brace & Farina - Polleria a Cinisi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/brace_farina_-_polleria_a_cinisi_38.1572_13.1066.json,custom
38.157280,13.106630,ov_mondial_gas_38.1573_13.1066,Mondial GAS,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/mondial_gas_38.1573_13.1066.json,custom
38.158704,13.105149,ov_imperial_burger_38.1587_13.1051,Imperial burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/imperial_burger_38.1587_13.1051.json,custom
38.159610,13.104125,ov_orian_pizza_38.1596_13.1041,Orian Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/orian_pizza_38.1596_13.1041.json,custom
38.159543,13.104235,ov_aper_coppo_38.1595_13.1042,Aperícoppo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/apercoppo_38.1595_13.1042.json,custom
38.159329,13.104503,ov_mizzica_pizza_e_street_food_____mizzica__38.1593_13.1045,Mizzica pizza e street food.... Mizzica cucina e lounge bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/mizzica_pizza_e_street_food_mizzica_cuci_38.1593_13.1045.json,custom
38.159840,13.100659,ov_cu_passa_mpinci_38.1598_13.1007,Cu Passa Mpinci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/cu_passa_mpinci_38.1598_13.1007.json,custom
38.159888,13.100631,ov_contemporaneo_38.1599_13.1006,Contemporaneo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/contemporaneo_38.1599_13.1006.json,custom
38.159928,13.103683,ov_poste_italiane_38.1599_13.1037,Poste Italiane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/poste_italiane_38.1599_13.1037.json,custom
38.160711,13.102853,ov_dudu_aperitivo_e_cucina_38.1607_13.1029,dudu_aperitivo_e_cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/duduaperitivoecucina_38.1607_13.1029.json,custom
38.162224,13.088387,ov_andrea_il_pirata_risthotel_38.1622_13.0884,Andrea Il Pirata Risthotel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/andrea_il_pirata_risthotel_38.1622_13.0884.json,custom
38.162760,13.103560,ov_matthew_s_food_factory_38.1628_13.1036,Matthew's Food Factory,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/matthews_food_factory_38.1628_13.1036.json,custom
38.162923,13.103936,ov_andrea_il_pirata_snc_di_trupiano_filippo_38.1629_13.1039,Andrea Il Pirata SNC di Trupiano Filippo & C.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/andrea_il_pirata_snc_di_trupiano_filippo_38.1629_13.1039.json,custom
38.163807,13.111439,ov_ciciritto_38.1638_13.1114,Ciciritto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/ciciritto_38.1638_13.1114.json,custom
38.163678,13.105132,ov_pizzeria_mazzola_38.1637_13.1051,Pizzeria Mazzola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/pizzeria_mazzola_38.1637_13.1051.json,custom
38.163662,13.104630,ov_basilico_pizzeria_e_braceria_siciliana_38.1637_13.1046,Basilico Pizzeria e Braceria Siciliana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/basilico_pizzeria_e_braceria_siciliana_38.1637_13.1046.json,custom
38.163225,13.104050,ov_villa_paradiso_terrazze_38.1632_13.1041,Villa Paradiso Terrazze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/villa_paradiso_terrazze_38.1632_13.1041.json,custom
38.163230,13.104055,ov_las_vegas_restaurant_38.1632_13.1041,Las Vegas restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/las_vegas_restaurant_38.1632_13.1041.json,custom
38.165432,13.098267,ov_vitina_cucina_e_pizza_38.1654_13.0983,Vitina Cucina e Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/vitina_cucina_e_pizza_38.1654_13.0983.json,custom
38.167715,13.108651,ov_pizzeria_impastato_38.1677_13.1087,Pizzeria Impastato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/pizzeria_impastato_38.1677_13.1087.json,custom
38.171353,13.110602,ov_grace_cinisi_38.1714_13.1106,Grace Cinisi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/grace_cinisi_38.1714_13.1106.json,custom
38.173670,13.100032,ov_ground_sport_and_food_38.1737_13.1000,Ground Sport And Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/ground_sport_and_food_38.1737_13.1000.json,custom
38.176634,13.123771,ov_le_terrazze_villa_paradiso__cinisi_38.1766_13.1238,"Le Terrazze Villa Paradiso, Cinisi",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/le_terrazze_villa_paradiso_cinisi_38.1766_13.1238.json,custom
38.175727,13.115444,ov_quetzaldiscoclub_38.1757_13.1154,QuetZaldiscoclub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/quetzaldiscoclub_38.1757_13.1154.json,custom
38.182379,13.099819,ov_autogrill_38.1824_13.0998,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/autogrill_38.1824_13.0998.json,custom
38.183272,13.138526,ov_dolphin_beach_38.1833_13.1385,Dolphin Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/dolphin_beach_38.1833_13.1385.json,custom
38.186211,13.104388,ov_i_banchi_di_ciccio_sultano_38.1862_13.1044,I Banchi di Ciccio Sultano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/i_banchi_di_ciccio_sultano_38.1862_13.1044.json,custom
38.186649,13.105299,ov_autogrill_38.1866_13.1053,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/autogrill_38.1866_13.1053.json,custom
38.186050,13.105193,ov_puro_gusto_38.1861_13.1052,Puro Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/puro_gusto_38.1861_13.1052.json,custom
38.183571,13.130918,ov_sicilia_pizza_38.1836_13.1309,Sicilia Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/sicilia_pizza_38.1836_13.1309.json,custom
38.183944,13.137251,ov_nazar_club___restaurant_38.1839_13.1373,Nazar Club & Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/nazar_club_restaurant_38.1839_13.1373.json,custom
38.165424,13.098174,osm_ristorante_pizzeria_vitano_38.1654_13.0982,Ristorante Pizzeria Vitano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/ristorante_pizzeria_vitano_38.1654_13.0982.json,custom
38.160015,13.101488,osm_u_puparu_38.1600_13.1015,U Puparu,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/u_puparu_38.1600_13.1015.json,custom
38.160606,13.085528,ov_coral_beach_bar_38.1606_13.0855,Coral Beach Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/coral_beach_bar_38.1606_13.0855.json,custom
38.160176,13.085256,ov_marea_lounge_bar_38.1602_13.0853,Marea Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/marea_lounge_bar_38.1602_13.0853.json,custom
38.160176,13.085256,ov_monkey_s_beach_38.1602_13.0853,Monkey's Beach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/monkeys_beach_38.1602_13.0853.json,custom
38.160067,13.085302,ov_customers_is_god_38.1601_13.0853,Customers Is God,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/customers_is_god_38.1601_13.0853.json,custom
38.155674,13.108288,ov_il_dolce_gusto_di_un_caffe_38.1557_13.1083,Il Dolce Gusto di un Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/il_dolce_gusto_di_un_caffe_38.1557_13.1083.json,custom
38.155416,13.108655,ov_corso_di_cinisi_38.1554_13.1087,Corso di Cinisi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/corso_di_cinisi_38.1554_13.1087.json,custom
38.156755,13.107452,ov_bar_tabacchi_maltese___partner_elfbar_lo_38.1568_13.1075,Bar Tabacchi Maltese - Partner Elfbar Lost Mary,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/bar_tabacchi_maltese_-_partner_elfbar_lo_38.1568_13.1075.json,custom
38.157110,13.106940,ov_bar_vitale_38.1571_13.1069,Bar Vitale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/bar_vitale_38.1571_13.1069.json,custom
38.157125,13.106815,ov_evola_bar_38.1571_13.1068,Evola Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/evola_bar_38.1571_13.1068.json,custom
38.162802,13.103843,ov_bar_del_viale_38.1628_13.1038,Bar del viale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/bar_del_viale_38.1628_13.1038.json,custom
38.161847,13.101953,ov_tabacchi_tobak_cafe_38.1618_13.1020,Tabacchi Tobak Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/tabacchi_tobak_cafe_38.1618_13.1020.json,custom
38.161274,13.102674,ov_bar_london_38.1613_13.1027,Bar London,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/bar_london_38.1613_13.1027.json,custom
38.161080,13.104020,ov_man__promo_hub_38.1611_13.1040,MAN. Promo Hub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/man_promo_hub_38.1611_13.1040.json,custom
38.163783,13.105079,ov_al_primo_bar_38.1638_13.1051,Al Primo Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/al_primo_bar_38.1638_13.1051.json,custom
38.163460,13.088720,ov_bar_tabacchi_panineria_targia_3t_38.1635_13.0887,Bar tabacchi panineria Targia 3T,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/bar_tabacchi_panineria_targia_3t_38.1635_13.0887.json,custom
38.172612,13.110125,ov_light_bar_38.1726_13.1101,Light Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/light_bar_38.1726_13.1101.json,custom
38.176639,13.109184,ov_birrificio_bruno_ribadi_38.1766_13.1092,Birrificio Bruno Ribadi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/birrificio_bruno_ribadi_38.1766_13.1092.json,custom
38.186649,13.105299,ov_spinnato_38.1866_13.1053,Spinnato,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/spinnato_38.1866_13.1053.json,custom
38.186482,13.105044,ov_san_lorenzo_mercato_snack_bar_38.1865_13.1050,San Lorenzo Mercato Snack Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/san_lorenzo_mercato_snack_bar_38.1865_13.1050.json,custom
38.186531,13.106347,ov_was_coffee_lab_38.1865_13.1063,Was Coffee Lab,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/was_coffee_lab_38.1865_13.1063.json,custom
38.183978,13.137313,ov_ego_beats_38.1840_13.1373,Ego Beats,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/ego_beats_38.1840_13.1373.json,custom
38.159414,13.100850,osm_pasticceria_passalacqua_38.1594_13.1008,Pasticceria Passalacqua,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/pasticceria_passalacqua_38.1594_13.1008.json,custom
38.162087,13.102581,osm_pasticceria_palazzolo_38.1621_13.1026,Pasticceria Palazzolo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/pasticceria_palazzolo_38.1621_13.1026.json,custom
38.160689,13.085499,osm_coral_beach_bar_38.1607_13.0855,Coral Beach Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/coral_beach_bar_38.1607_13.0855.json,custom
38.151633,13.096556,ov_palestra_comunale_cinisi_38.1516_13.0966,Palestra Comunale Cinisi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/palestra_comunale_cinisi_38.1516_13.0966.json,custom
38.158847,13.109582,ov_palestra_infinity_38.1588_13.1096,Palestra Infinity,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/palestra_infinity_38.1588_13.1096.json,custom
38.160447,13.103577,ov_il_subacquetto_diving_38.1604_13.1036,Il Subacquetto Diving,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/il_subacquetto_diving_38.1604_13.1036.json,custom
38.161676,13.105396,ov_n1_one_fitness_38.1617_13.1054,N1 One Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/n1_one_fitness_38.1617_13.1054.json,custom
38.166050,13.104180,ov_equiclub_38.1660_13.1042,Equiclub,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/equiclub_38.1660_13.1042.json,custom
38.175943,13.115237,ov_circolo_ippico_la_staffa_38.1759_13.1152,circolo ippico la staffa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/circolo_ippico_la_staffa_38.1759_13.1152.json,custom
38.145457,13.102557,ov_scopello_38.1455_13.1026,scopello,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/scopello_38.1455_13.1026.json,custom
38.184106,13.129603,ov_centro_ippico_pozzillo_38.1841_13.1296,Centro Ippico Pozzillo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/centro_ippico_pozzillo_38.1841_13.1296.json,custom
38.171013,13.077529,ov_torre_mulinazzo_38.1710_13.0775,Torre Mulinazzo,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/torre_mulinazzo_38.1710_13.0775.json,custom
38.154374,13.108865,ov_presepe_semovente_di_cinisi_38.1544_13.1089,Presepe Semovente di Cinisi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cinisi/pages/presepe_semovente_di_cinisi_38.1544_13.1089.json,custom
