# lat,lng,id,name,building_type,type,url,page_type
# Castrignano de' Greci -- Tutti
40.177479,18.300550,ov_clinica_santa_chiara_40.1775_18.3005,Clinica Santa Chiara,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/clinica_santa_chiara_40.1775_18.3005.json,custom
40.170079,18.297882,ov_don_tonino___garden_and_food_40.1701_18.2979,Don Tonino...Garden and food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/don_toninogarden_and_food_40.1701_18.2979.json,custom
40.173051,18.295368,ov_new_castle_griglieria_40.1731_18.2954,New Castle Griglieria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/new_castle_griglieria_40.1731_18.2954.json,custom
40.174516,18.295115,ov_kalo_fai_40.1745_18.2951,Kalo Fai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/kalo_fai_40.1745_18.2951.json,custom
40.174704,18.296915,ov_aquanegra_paravineria_40.1747_18.2969,AquaNegra paravineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/aquanegra_paravineria_40.1747_18.2969.json,custom
40.175854,18.296834,ov_gusto_40.1759_18.2968,Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/gusto_40.1759_18.2968.json,custom
40.176190,18.295464,ov_pizzeria_i_due_archi_40.1762_18.2955,Pizzeria I Due Archi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/pizzeria_i_due_archi_40.1762_18.2955.json,custom
40.175586,18.301178,ov_ristorante_san_leonardo_40.1756_18.3012,Ristorante San Leonardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/ristorante_san_leonardo_40.1756_18.3012.json,custom
40.169430,18.294783,ov_bar_dello_sport_40.1694_18.2948,Bar dello Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/bar_dello_sport_40.1694_18.2948.json,custom
40.171705,18.295180,ov_bar_papermoon_40.1717_18.2952,Bar Papermoon,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/bar_papermoon_40.1717_18.2952.json,custom
40.172963,18.291824,ov_long_island_caf__40.1730_18.2918,Long Island Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/long_island_caf_40.1730_18.2918.json,custom
40.172786,18.295367,ov_kora_bar_40.1728_18.2954,Kora Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/kora_bar_40.1728_18.2954.json,custom
40.174114,18.295798,ov_caff__fiorentino_40.1741_18.2958,Caffè Fiorentino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/caff_fiorentino_40.1741_18.2958.json,custom
40.174158,18.295207,ov_bar_simione_rocco_40.1742_18.2952,Bar Simione Rocco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/bar_simione_rocco_40.1742_18.2952.json,custom
40.175373,18.293392,ov_bar_manhattan_40.1754_18.2934,Bar Manhattan,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/bar_manhattan_40.1754_18.2934.json,custom
40.176635,18.292730,ov_nero_play_and_food_40.1766_18.2927,Nero Play and Food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/nero_play_and_food_40.1766_18.2927.json,custom
40.175355,18.293504,osm_caff__manhattan_40.1754_18.2935,Caffé Manhattan,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/caff_manhattan_40.1754_18.2935.json,custom
40.171329,18.297215,ov_bowling_ciak_40.1713_18.2972,Bowling Ciak,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/bowling_ciak_40.1713_18.2972.json,custom
40.178422,18.293897,ov_clan_centro_fitness_40.1784_18.2939,CLAN Centro Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/clan_centro_fitness_40.1784_18.2939.json,custom
40.336096,18.176567,ov_rainbow_gym_40.3361_18.1766,Rainbow Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/rainbow_gym_40.3361_18.1766.json,custom
40.172873,18.295254,ov_kora_contemporary_arts_center_40.1729_18.2953,Kora Contemporary Arts Center,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castrignano_de_greci/pages/kora_contemporary_arts_center_40.1729_18.2953.json,custom
