# lat,lng,id,name,building_type,type,url,page_type
# Mesagne -- Tutti
40.555384,17.813034,ov_ospedale_san_camillo_40.5554_17.8130,Ospedale San Camillo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/mesagne/pages/ospedale_san_camillo_40.5554_17.8130.json,custom
40.572503,17.753292,ov_tenuta_moreno_40.5725_17.7533,Tenuta Moreno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/mesagne/pages/tenuta_moreno_40.5725_17.7533.json,custom
40.551445,17.717478,ov_pizza_time_40.5514_17.7175,Pizza time,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/mesagne/pages/pizza_time_40.5514_17.7175.json,custom
40.559107,17.818358,ov_la_tegola_40.5591_17.8184,La Tegola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/mesagne/pages/la_tegola_40.5591_17.8184.json,custom
40.559066,17.809221,ov_il_mangiameduse_40.5591_17.8092,Il Mangiameduse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/mesagne/pages/il_mangiameduse_40.5591_17.8092.json,custom
40.559014,17.809134,ov_felicit__pizza___more_40.5590_17.8091,Felicità Pizza & More,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/mesagne/pages/felicit_pizza_more_40.5590_17.8091.json,custom
40.558763,17.809978,ov_soffuso_ristorante_40.5588_17.8100,Soffuso Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/mesagne/pages/soffuso_ristorante_40.5588_17.8100.json,custom
40.558320,17.809718,ov_sottospirito_40.5583_17.8097,Sottospirito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/mesagne/pages/sottospirito_40.5583_17.8097.json,custom
40.558214,17.809877,ov_aperitiveria_italiana_40.5582_17.8099,Aperitiveria Italiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/mesagne/pages/aperitiveria_italiana_40.5582_17.8099.json,custom
40.558395,17.810539,ov_antico_forno_40.5584_17.8105,Antico Forno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/mesagne/pages/antico_forno_40.5584_17.8105.json,custom
40.557611,17.810632,ov_bar_caffetteria_n1_40.5576_17.8106,Bar Caffetteria N1,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/mesagne/pages/bar_caffetteria_n1_40.5576_17.8106.json,custom
40.557054,17.810935,ov_pizzeria_da_mino_40.5571_17.8109,Pizzeria da Mino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/mesagne/pages/pizzeria_da_mino_40.5571_17.8109.json,custom
40.557638,17.814145,ov_braceria_ninni_barbecue_40.5576_17.8141,Braceria NINNI Barbecue,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/mesagne/pages/braceria_ninni_barbecue_40.5576_17.8141.json,custom
40.555855,17.812217,ov_ristobottega_gourmet_40.5559_17.8122,Ristobottega Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/mesagne/pages/ristobottega_gourmet_40.5559_17.8122.json,custom
40.558680,17.808900,ov_antica_pizzelleria_1973___la_putea_40.5587_17.8089,Antica Pizzelleria 1973 - La Putea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/mesagne/pages/antica_pizzelleria_1973_-_la_putea_40.5587_17.8089.json,custom
40.558750,17.809005,ov_la_cilona_birrificio_artigianale_40.5587_17.8090,La Cilona-Birrificio Artigianale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/mesagne/pages/la_cilona-birrificio_artigianale_40.5587_17.8090.json,custom
