# lat,lng,id,name,building_type,type,url,page_type
# Conselice -- Tutti
44.510378,11.827876,ov_ospedale_conselice_44.5104_11.8279,Ospedale Conselice,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/conselice/pages/ospedale_conselice_44.5104_11.8279.json,custom
44.565221,11.873224,ov_bottega_del_vino_e_dei_sapori_44.5652_11.8732,Bottega del vino e dei sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/conselice/pages/bottega_del_vino_e_dei_sapori_44.5652_11.8732.json,custom
44.565819,11.873444,ov_antica_osteria_del_borgo_44.5658_11.8734,Antica Osteria Del Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/conselice/pages/antica_osteria_del_borgo_44.5658_11.8734.json,custom
44.562862,11.873539,ov_trattoria_dell_angelo_44.5629_11.8735,Trattoria dell'Angelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/conselice/pages/trattoria_dellangelo_44.5629_11.8735.json,custom
44.562113,11.874437,ov_fuori_di_pizza_44.5621_11.8744,Fuori di Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/conselice/pages/fuori_di_pizza_44.5621_11.8744.json,custom
44.548320,11.879550,ov_i_gelsi_44.5483_11.8796,I GELSI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/conselice/pages/i_gelsi_44.5483_11.8796.json,custom
44.512418,11.828213,ov_albergo_ristorante_al_caminetto_44.5124_11.8282,Albergo Ristorante al Caminetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/conselice/pages/albergo_ristorante_al_caminetto_44.5124_11.8282.json,custom
44.512308,11.830410,ov_nuova_osteria_del_teatro_44.5123_11.8304,Nuova Osteria del Teatro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/conselice/pages/nuova_osteria_del_teatro_44.5123_11.8304.json,custom
44.514062,11.831519,ov_new_planet_pizzeria_44.5141_11.8315,New Planet Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/conselice/pages/new_planet_pizzeria_44.5141_11.8315.json,custom
44.607747,11.817641,ov_pi__o_meno_lab_44.6077_11.8176,Più o Meno LAB,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/conselice/pages/pi_o_meno_lab_44.6077_11.8176.json,custom
44.564343,11.874819,ov_bar_dell_angolo_44.5643_11.8748,Bar dell'Angolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/conselice/pages/bar_dellangolo_44.5643_11.8748.json,custom
44.564920,11.872855,ov_neroopaco_caf__44.5649_11.8729,NeroOpaco Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/conselice/pages/neroopaco_caf_44.5649_11.8729.json,custom
44.565690,11.873710,ov_maxi_bar_44.5657_11.8737,Maxi Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/conselice/pages/maxi_bar_44.5657_11.8737.json,custom
44.512124,11.829408,ov_freak_bar_44.5121_11.8294,Freak Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/conselice/pages/freak_bar_44.5121_11.8294.json,custom
44.512843,11.829080,ov_caffe_italia_44.5128_11.8291,Caffe Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/conselice/pages/caffe_italia_44.5128_11.8291.json,custom
44.512958,11.828667,ov_bar_luxury_piwa_44.5130_11.8287,Bar Luxury Piwa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/conselice/pages/bar_luxury_piwa_44.5130_11.8287.json,custom
44.512494,11.826215,ov_consy_park_44.5125_11.8262,Consy Park,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/conselice/pages/consy_park_44.5125_11.8262.json,custom
