# lat,lng,id,name,building_type,type,url,page_type
# Spadafora -- Tutti
38.222930,15.377480,ov_laboratorio_analisi_cliniche_la_spada____38.2229_15.3775,Laboratorio Analisi Cliniche La Spada & Galí,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/laboratorio_analisi_cliniche_la_spada_ga_38.2229_15.3775.json,custom
38.205813,15.389850,ov_la_corte_dei_principi_38.2058_15.3899,La Corte dei Principi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/la_corte_dei_principi_38.2058_15.3899.json,custom
38.221576,15.375261,ov_pizzeria_italia_38.2216_15.3753,Pizzeria Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/pizzeria_italia_38.2216_15.3753.json,custom
38.223081,15.374938,ov_chickerito_38.2231_15.3749,Chickerito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/chickerito_38.2231_15.3749.json,custom
38.225747,15.383897,ov_ristorante_riva_al_mare_38.2257_15.3839,Ristorante Riva al Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/ristorante_riva_al_mare_38.2257_15.3839.json,custom
38.225723,15.383916,ov_kagura_ristorante_di_sushi_38.2257_15.3839,Kagura Ristorante di Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/kagura_ristorante_di_sushi_38.2257_15.3839.json,custom
38.225500,15.382460,ov_giuf__pizzeria_rosticceria_gastronomia_38.2255_15.3825,"Giufá,Pizzeria,Rosticceria,Gastronomia",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/giufpizzeriarosticceriagastronomia_38.2255_15.3825.json,custom
38.225338,15.382416,ov_new_splash_38.2253_15.3824,New Splash,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/new_splash_38.2253_15.3824.json,custom
38.225117,15.381348,ov_icepub_bar_and_tabacs_38.2251_15.3813,Icepub bar and tabacs,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/icepub_bar_and_tabacs_38.2251_15.3813.json,custom
38.226189,15.385504,ov_splash_spadafora___pizzeria_discoteca_b__38.2262_15.3855,Splash Spadafora - Pizzeria Discoteca B&B,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/splash_spadafora_-_pizzeria_discoteca_bb_38.2262_15.3855.json,custom
38.225688,15.390595,ov_sicilia_mon_amour_38.2257_15.3906,Sicilia Mon Amour,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/spadafora/pages/sicilia_mon_amour_38.2257_15.3906.json,custom
