# lat,lng,id,name,building_type,type,url,page_type
# Rosolina -- Tutti
45.074989,12.246237,ov_azienda_u_l_s_s__n__19_adria_dipartiment_45.0750_12.2462,Azienda U.L.S.S. N. 19 Adria/Dipartimento di Prevenzione,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/azienda_ulss_n_19_adriadipartimento_di_p_45.0750_12.2462.json,custom
45.112504,12.266857,ov_ristorante_ca__bosello_45.1125_12.2669,Ristorante Ca' Bosello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ristorante_ca_bosello_45.1125_12.2669.json,custom
45.110477,12.257519,ov_ristorante_medioevo_45.1105_12.2575,Ristorante Medioevo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ristorante_medioevo_45.1105_12.2575.json,custom
45.103174,12.256300,ov_ristorante_al_monte_45.1032_12.2563,Ristorante Al Monte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ristorante_al_monte_45.1032_12.2563.json,custom
45.103438,12.257102,ov_locanda_42_45.1034_12.2571,Locanda 42,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/locanda_42_45.1034_12.2571.json,custom
45.106046,12.260718,ov_tratto_risto_ca__morsin_45.1060_12.2607,Tratto-Risto Ca' Morsin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/tratto-risto_ca_morsin_45.1060_12.2607.json,custom
45.095570,12.254546,ov_osteria_cestari_45.0956_12.2545,Osteria Cestari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/osteria_cestari_45.0956_12.2545.json,custom
45.096691,12.252365,ov_pizza_factory_45.0967_12.2524,Pizza Factory,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/pizza_factory_45.0967_12.2524.json,custom
45.087693,12.250527,ov_ristorante_adriatica_45.0877_12.2505,Ristorante Adriatica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ristorante_adriatica_45.0877_12.2505.json,custom
45.083376,12.249134,ov_piadineria_da_romeo_45.0834_12.2491,Piadineria da Romeo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/piadineria_da_romeo_45.0834_12.2491.json,custom
45.084863,12.249070,ov_hotel_gran_delta_45.0849_12.2491,Hotel Gran Delta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/hotel_gran_delta_45.0849_12.2491.json,custom
45.084783,12.249050,ov_bosello___stigusti_45.0848_12.2490,Bosello - Stigusti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/bosello_-_stigusti_45.0848_12.2490.json,custom
45.081750,12.339380,ov_bar_asso_albarella_45.0817_12.3394,BAR ASSO Albarella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/bar_asso_albarella_45.0817_12.3394.json,custom
45.086751,12.337168,ov_onda_albarella_45.0868_12.3372,Onda Albarella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/onda_albarella_45.0868_12.3372.json,custom
45.086713,12.337123,ov_ristorante_l_onda_45.0867_12.3371,Ristorante L'Onda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ristorante_londa_45.0867_12.3371.json,custom
45.086757,12.337473,ov_pizzeria_11a_est_45.0868_12.3375,Pizzeria 11a Est,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/pizzeria_11a_est_45.0868_12.3375.json,custom
45.138026,12.326250,ov_ristorante_scuola_di_vela_45.1380_12.3262,Ristorante Scuola Di Vela,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ristorante_scuola_di_vela_45.1380_12.3262.json,custom
45.137205,12.318705,ov_ristorante_pizzeria_e_piscina_capri_45.1372_12.3187,Ristorante Pizzeria e Piscina Capri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ristorante_pizzeria_e_piscina_capri_45.1372_12.3187.json,custom
45.134433,12.320624,ov_weinstube___skylight_45.1344_12.3206,Weinstube - Skylight,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/weinstube_-_skylight_45.1344_12.3206.json,custom
45.133677,12.319528,ov_ristorante_oasi_della_pizza_45.1337_12.3195,Ristorante Oasi della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rosolina/pages/ristorante_oasi_della_pizza_45.1337_12.3195.json,custom
