# lat,lng,id,name,building_type,type
# Pescopagano -- Tutti
40.834740,15.394870,ov_ospedale_san_carlo_pescopagano__pz__40.8347_15.3949,Ospedale San Carlo Pescopagano (PZ),HOSPITAL,hospital
40.835726,15.402411,ov_agriturismo_caperroni_40.8357_15.4024,Agriturismo Caperroni,RESTAURANT,ristorante
40.835431,15.399806,ov_materia_selezioni_40.8354_15.3998,Materia Selezioni,RESTAURANT,ristorante
40.872912,15.366184,ov_agriturismo_caperroni_40.8729_15.3662,Agriturismo Caperroni,RESTAURANT,ristorante
40.836065,15.398657,ov_caffetteria_di_vuolo_pasticceria_e_gelat_40.8361_15.3987,Caffetteria Di Vuolo Pasticceria e Gelateria artigianale,RESTAURANT,bar_cafe
40.836157,15.391460,ov_montecalvo_sport_village_40.8362_15.3915,Montecalvo Sport Village,GYM,palestra
40.836078,15.398639,ov_palestra_comunale_di_pescopagano_40.8361_15.3986,Palestra Comunale di Pescopagano,GYM,palestra
