# lat,lng,id,name,building_type,type,url,page_type
# San Martino Buon Albergo -- Tutti
45.423993,11.086785,ov_il_mandorlo_45.4240_11.0868,Il Mandorlo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/il_mandorlo_45.4240_11.0868.json,custom
45.388632,11.113663,ov_corte_poli_45.3886_11.1137,Corte Poli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/corte_poli_45.3886_11.1137.json,custom
45.388073,11.115690,ov_trattoria_al_bon_goto_erasmo_45.3881_11.1157,Trattoria Al Bon Goto Erasmo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/trattoria_al_bon_goto_erasmo_45.3881_11.1157.json,custom
45.375032,11.120635,ov_corte_giaron_45.3750_11.1206,Corte Giaron,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/corte_giaron_45.3750_11.1206.json,custom
45.392400,11.082750,ov_cortegiaron_45.3924_11.0828,cortegiaron,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/cortegiaron_45.3924_11.0828.json,custom
45.397237,11.083817,ov_tigella_bella_45.3972_11.0838,Tigella Bella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/tigella_bella_45.3972_11.0838.json,custom
45.397336,11.083714,ov_corte_pellegrini_45.3973_11.0837,Corte Pellegrini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/corte_pellegrini_45.3973_11.0837.json,custom
45.411905,11.093266,ov_macha_pok__le_corti_venete_45.4119_11.0933,Macha Pokè Le corti venete,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/macha_pok_le_corti_venete_45.4119_11.0933.json,custom
45.412680,11.094543,ov_burger_king_45.4127_11.0945,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/burger_king_45.4127_11.0945.json,custom
45.412845,11.092502,ov_roadhouse_restaurant_45.4128_11.0925,Roadhouse Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/roadhouse_restaurant_45.4128_11.0925.json,custom
45.412798,11.090865,ov_sushi_daily_45.4128_11.0909,Sushi Daily,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/sushi_daily_45.4128_11.0909.json,custom
45.413190,11.090393,ov_ristorante_giovanni_rana_le_corti_venete_45.4132_11.0904,Ristorante Giovanni Rana Le Corti Venete,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/ristorante_giovanni_rana_le_corti_venete_45.4132_11.0904.json,custom
45.413687,11.090653,ov_trattoria_da_giovanni_rana_45.4137_11.0907,Trattoria Da Giovanni Rana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/trattoria_da_giovanni_rana_45.4137_11.0907.json,custom
45.414393,11.090709,ov_la_piadineria_45.4144_11.0907,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/la_piadineria_45.4144_11.0907.json,custom
45.414970,11.089390,ov_o_k__food_bar_45.4150_11.0894,O.K. Food Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/ok_food_bar_45.4150_11.0894.json,custom
45.414457,11.089475,ov_haru_sushi_45.4145_11.0895,Haru Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/haru_sushi_45.4145_11.0895.json,custom
45.415553,11.086474,ov_ristorante_catullo_45.4156_11.0865,Ristorante Catullo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/ristorante_catullo_45.4156_11.0865.json,custom
45.416231,11.085569,ov_pit_stop_cafe___ex_baricentro_45.4162_11.0856,Pit stop cafe - ex baricentro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/pit_stop_cafe_-_ex_baricentro_45.4162_11.0856.json,custom
45.416859,11.084830,ov_scuola_italiana_pizzaioli_45.4169_11.0848,Scuola Italiana Pizzaioli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/scuola_italiana_pizzaioli_45.4169_11.0848.json,custom
45.416515,11.106190,ov_ristorante_al_maglio_45.4165_11.1062,Ristorante Al Maglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/ristorante_al_maglio_45.4165_11.1062.json,custom
45.399576,11.086503,ov_antica_ostaria_de_campalto_45.3996_11.0865,Antica Ostaria de Campalto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/antica_ostaria_de_campalto_45.3996_11.0865.json,custom
45.424002,11.115245,ov_osteria_corte_casette_45.4240_11.1152,Osteria Corte Casette,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/osteria_corte_casette_45.4240_11.1152.json,custom
45.420540,11.104670,ov_verona_antica_45.4205_11.1047,Verona Antica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/verona_antica_45.4205_11.1047.json,custom
45.418895,11.092584,ov_bar_trattoria_pizzeria_numero_uno_45.4189_11.0926,Bar Trattoria Pizzeria Numero Uno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/bar_trattoria_pizzeria_numero_uno_45.4189_11.0926.json,custom
45.420764,11.091519,ov_mercanti_alimentare_45.4208_11.0915,Mercanti Alimentare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/mercanti_alimentare_45.4208_11.0915.json,custom
45.423182,11.088781,ov_ciropizza_45.4232_11.0888,CiroPizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/ciropizza_45.4232_11.0888.json,custom
45.423140,11.089104,ov_eq_restaurant_45.4231_11.0891,EQ restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/eq_restaurant_45.4231_11.0891.json,custom
45.422522,11.091846,ov_napoleone_bistrot_45.4225_11.0918,Napoleone Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/napoleone_bistrot_45.4225_11.0918.json,custom
45.422561,11.092219,ov_sapor__sala_degustazione_45.4226_11.0922,Saporè Sala Degustazione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/sapor_sala_degustazione_45.4226_11.0922.json,custom
45.422654,11.092476,ov_renato_bosco_pizzeria_45.4227_11.0925,Renato Bosco Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/renato_bosco_pizzeria_45.4227_11.0925.json,custom
45.422943,11.095495,ov_hosteria_moderna_45.4229_11.0955,Hosteria Moderna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/hosteria_moderna_45.4229_11.0955.json,custom
45.423050,11.096026,ov_sapore_pizza_bakery_45.4231_11.0960,Sapore Pizza Bakery,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/sapore_pizza_bakery_45.4231_11.0960.json,custom
45.423083,11.095994,ov_bosco_srl_45.4231_11.0960,Bosco SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/bosco_srl_45.4231_11.0960.json,custom
45.423086,11.096060,ov_cruncheria_san_martino_b_a__45.4231_11.0961,Cruncheria San Martino B.A.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_martino_buon_albergo/pages/cruncheria_san_martino_ba_45.4231_11.0961.json,custom
