# lat,lng,id,name,building_type,type,url,page_type
# Sant'Arpino -- Tutti
40.960512,14.250108,ov_centro_medico_specialistico_guarino_piet_40.9605_14.2501,Centro Medico Specialistico Guarino Pietronudo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/centro_medico_specialistico_guarino_piet_40.9605_14.2501.json,custom
40.961007,14.199184,ov_il_posto_giusto_di_aversa_40.9610_14.1992,Il posto giusto di Aversa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/il_posto_giusto_di_aversa_40.9610_14.1992.json,custom
40.966250,14.236542,ov_ristorante_pizzeria_braceria_arizona_40.9663_14.2365,Ristorante Pizzeria Braceria Arizona,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/ristorante_pizzeria_braceria_arizona_40.9663_14.2365.json,custom
40.966430,14.236380,ov_ristorante_e_pizzeria_antichi_sapori_40.9664_14.2364,Ristorante e Pizzeria Antichi Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/ristorante_e_pizzeria_antichi_sapori_40.9664_14.2364.json,custom
40.963953,14.244270,ov_pizza_doc_pizzaioli_40.9640_14.2443,Pizza DOC Pizzaioli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/pizza_doc_pizzaioli_40.9640_14.2443.json,custom
40.964193,14.243160,ov_ristorart_da_pio_40.9642_14.2432,Ristorart da Pio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/ristorart_da_pio_40.9642_14.2432.json,custom
40.962957,14.246558,ov_onlyone_bistrot_40.9630_14.2466,Onlyone Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/onlyone_bistrot_40.9630_14.2466.json,custom
40.960046,14.244264,ov_pizza_a_ruoto_da_dino_40.9600_14.2443,Pizza A Ruoto Da Dino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/pizza_a_ruoto_da_dino_40.9600_14.2443.json,custom
40.958268,14.247019,ov_famiglia_spinuso_40.9583_14.2470,Famiglia Spinuso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/famiglia_spinuso_40.9583_14.2470.json,custom
40.958939,14.244352,ov_todo_trattoria_40.9589_14.2444,Todo Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/todo_trattoria_40.9589_14.2444.json,custom
40.955467,14.245922,ov_grano_tenero_pizzeria_porchetteria_hambu_40.9555_14.2459,Grano tenero pizzeria porchetteria Hamburgheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/santarpino/pages/grano_tenero_pizzeria_porchetteria_hambu_40.9555_14.2459.json,custom
