# lat,lng,id,name,building_type,type,url,page_type
# Piobbico -- Tutti
43.588415,12.507902,ov_azienda_ospedaliera_ospedale_san_salvato_43.5884_12.5079,Azienda Ospedaliera Ospedale San Salvatore - Pesaro,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/azienda_ospedaliera_ospedale_san_salvato_43.5884_12.5079.json,custom
43.590004,12.510445,ov_l_angolo_dei_sapori_43.5900_12.5104,L'Angolo Dei Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/langolo_dei_sapori_43.5900_12.5104.json,custom
43.589997,12.509744,ov_ristorante_montenerone_43.5900_12.5097,Ristorante Montenerone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/ristorante_montenerone_43.5900_12.5097.json,custom
43.590492,12.510818,ov_ristorante_il_burchio_43.5905_12.5108,Ristorante Il Burchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/ristorante_il_burchio_43.5905_12.5108.json,custom
43.588336,12.511842,ov_la_pasta_del_nerone_43.5883_12.5118,La Pasta del Nerone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/la_pasta_del_nerone_43.5883_12.5118.json,custom
43.586413,12.512332,ov_pizzeria_d_asporto_dalla_belva_43.5864_12.5123,Pizzeria D'asporto Dalla Belva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/pizzeria_dasporto_dalla_belva_43.5864_12.5123.json,custom
43.592099,12.539555,ov_agriturismo_la_caprareccia_43.5921_12.5396,Agriturismo La Caprareccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/agriturismo_la_caprareccia_43.5921_12.5396.json,custom
43.585547,12.513818,ov_pizzeria_trattoria_la_colombara_43.5855_12.5138,Pizzeria Trattoria La Colombara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/pizzeria_trattoria_la_colombara_43.5855_12.5138.json,custom
43.572754,12.549128,ov_agriturismo_slowcanda_43.5728_12.5491,Agriturismo Slowcanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/agriturismo_slowcanda_43.5728_12.5491.json,custom
43.568055,12.559809,ov_agriturismo_l_eia_di_caretti_43.5681_12.5598,Agriturismo L'Eia di Caretti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/agriturismo_leia_di_caretti_43.5681_12.5598.json,custom
43.563440,12.512328,ov_rifugio_corsini_43.5634_12.5123,Rifugio Corsini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/rifugio_corsini_43.5634_12.5123.json,custom
43.603293,12.487524,osm_agriturismo_giovanni_17_43.6033_12.4875,Agriturismo Giovanni 17,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/agriturismo_giovanni_17_43.6033_12.4875.json,custom
43.589819,12.509656,ov_caffe_del_corso_43.5898_12.5097,Caffe Del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/caffe_del_corso_43.5898_12.5097.json,custom
43.589760,12.509740,ov_circolo_acli_piobbico_43.5898_12.5097,Circolo Acli Piobbico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/circolo_acli_piobbico_43.5898_12.5097.json,custom
43.590336,12.509880,ov_i_stravizi_del_regul_43.5903_12.5099,I stravizi del Regul,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/i_stravizi_del_regul_43.5903_12.5099.json,custom
43.588662,12.511285,ov_bar_trota_blu_43.5887_12.5113,Bar Trota Blu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/bar_trota_blu_43.5887_12.5113.json,custom
43.586602,12.507665,ov_market_dei_sapori_san_mariano_43.5866_12.5077,Market dei Sapori San Mariano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/market_dei_sapori_san_mariano_43.5866_12.5077.json,custom
43.588190,12.509620,ov_fosso_dell_eremo_43.5882_12.5096,Fosso dell’Eremo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/fosso_delleremo_43.5882_12.5096.json,custom
43.590550,12.511524,ov_fondazione_alessandro_rigi_luperti_43.5906_12.5115,Fondazione Alessandro Rigi Luperti,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/fondazione_alessandro_rigi_luperti_43.5906_12.5115.json,custom
43.588801,12.510349,ov_biblioteca_comunale_piobbico_43.5888_12.5103,Biblioteca comunale Piobbico,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/piobbico/pages/biblioteca_comunale_piobbico_43.5888_12.5103.json,custom
