# lat,lng,id,name,building_type,type,url,page_type
# Oliveto Citra -- Tutti
40.691049,15.236537,ov_presidio_ospedaliero_san_francesco_d_ass_40.6910_15.2365,Presidio Ospedaliero San Francesco D'Assisi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/presidio_ospedaliero_san_francesco_dassi_40.6910_15.2365.json,custom
40.687578,15.231284,ov_ristorante_la_veduta_40.6876_15.2313,Ristorante La Veduta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/ristorante_la_veduta_40.6876_15.2313.json,custom
40.690109,15.252436,ov_royale_ristorante_40.6901_15.2524,Royale Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/royale_ristorante_40.6901_15.2524.json,custom
40.691446,15.235267,ov_pizzeria_il_capriccio_40.6914_15.2353,Pizzeria il Capriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/pizzeria_il_capriccio_40.6914_15.2353.json,custom
40.689254,15.232095,ov_bar_sandro_mo_m__restaurant_pub___pizza_40.6893_15.2321,Bar Sandro\Mo Mò Restaurant-Pub & Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/bar_sandromo_m_restaurant-pub_pizza_40.6893_15.2321.json,custom
40.688221,15.229185,ov_3_gigli_40.6882_15.2292,3 Gigli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/3_gigli_40.6882_15.2292.json,custom
40.690434,15.230396,ov_pizzeria_21_40.6904_15.2304,Pizzeria 21,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/pizzeria_21_40.6904_15.2304.json,custom
40.690253,15.230898,ov_flash_food_40.6903_15.2309,Flash Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/flash_food_40.6903_15.2309.json,custom
40.690707,15.230756,ov_ristorante_due_cannoni_40.6907_15.2308,Ristorante Due Cannoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/ristorante_due_cannoni_40.6907_15.2308.json,custom
40.691856,15.230415,ov_hostaria_dei_ricordi_40.6919_15.2304,Hostaria dei Ricordi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/hostaria_dei_ricordi_40.6919_15.2304.json,custom
40.690972,15.195516,ov_azienda_agrituristica_fuoco_40.6910_15.1955,Azienda Agrituristica Fuoco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/azienda_agrituristica_fuoco_40.6910_15.1955.json,custom
40.720850,15.238471,ov_ristorante_la_masseria_40.7208_15.2385,Ristorante La Masseria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/ristorante_la_masseria_40.7208_15.2385.json,custom
40.711973,15.222120,ov_agriturismo_antico_casale_40.7120_15.2221,Agriturismo Antico Casale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/agriturismo_antico_casale_40.7120_15.2221.json,custom
40.706554,15.229986,ov_agriturismo_la_tempa_40.7066_15.2300,Agriturismo La Tempa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/agriturismo_la_tempa_40.7066_15.2300.json,custom
40.708560,15.222130,ov_agriturismo__la_piceglia_40.7086_15.2221,Agriturismo  La Piceglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/agriturismo_la_piceglia_40.7086_15.2221.json,custom
40.692569,15.237549,ov_il_pizzicotto_40.6926_15.2375,Il Pizzicotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/il_pizzicotto_40.6926_15.2375.json,custom
40.693194,15.249436,ov_hotel_ristorante___la_vecchia_taverna_40.6932_15.2494,Hotel Ristorante - La Vecchia Taverna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/hotel_ristorante_-_la_vecchia_taverna_40.6932_15.2494.json,custom
40.693984,15.249671,ov_roma_40.6940_15.2497,Roma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/roma_40.6940_15.2497.json,custom
40.698659,15.233702,ov_agriturismo_la_cartiera_40.6987_15.2337,Agriturismo La Cartiera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/oliveto_citra/pages/agriturismo_la_cartiera_40.6987_15.2337.json,custom
