# lat,lng,id,name,building_type,type,url,page_type
# monte_compatri -- Tutti
41.805023,12.736875,ov_san_raffaele_montecompatri_41.8050_12.7369,San Raffaele Montecompatri,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/san_raffaele_montecompatri_41.8050_12.7369.json,custom
41.791127,12.734430,ov_antica_locanda_skansen_41.7911_12.7344,Antica Locanda Skansen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/antica_locanda_skansen_41.7911_12.7344.json,custom
41.790650,12.725420,ov_hollywood_hollywood_41.7906_12.7254,Hollywood Hollywood,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/hollywood_hollywood_41.7906_12.7254.json,custom
41.807654,12.736655,ov_pizza_n_piazza_41.8077_12.7367,Pizza N'Piazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/pizza_npiazza_41.8077_12.7367.json,custom
41.807992,12.737104,ov_l_angoletto_41.8080_12.7371,L'Angoletto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/langoletto_41.8080_12.7371.json,custom
41.807403,12.737217,ov_al_caminetto_41.8074_12.7372,Al Caminetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/al_caminetto_41.8074_12.7372.json,custom
41.807312,12.736380,ov_madama_marina_41.8073_12.7364,Madama Marina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/madama_marina_41.8073_12.7364.json,custom
41.806804,12.736253,ov_lo_sperone_41.8068_12.7363,Lo Sperone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/lo_sperone_41.8068_12.7363.json,custom
41.806699,12.736758,ov_la_favola_41.8067_12.7368,La Favola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/la_favola_41.8067_12.7368.json,custom
41.806714,12.736897,ov_da_pantalone_41.8067_12.7369,Da Pantalone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/da_pantalone_41.8067_12.7369.json,custom
41.806690,12.736892,ov_arte_e_gusto_41.8067_12.7369,Arte e Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/arte_e_gusto_41.8067_12.7369.json,custom
41.806464,12.737194,ov_speedy_pizza_41.8065_12.7372,Speedy Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/speedy_pizza_41.8065_12.7372.json,custom
41.809370,12.737068,ov_trattoria_polenta_belvedere_41.8094_12.7371,Trattoria Polenta Belvedere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/trattoria_polenta_belvedere_41.8094_12.7371.json,custom
41.823091,12.734241,ov_il_casale_delle_streghe_41.8231_12.7342,Il Casale delle Streghe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/il_casale_delle_streghe_41.8231_12.7342.json,custom
41.824888,12.726947,ov_agriturismo_pallotta_41.8249_12.7269,Agriturismo Pallotta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/agriturismo_pallotta_41.8249_12.7269.json,custom
41.826116,12.731219,ov_le_4_stagioni_41.8261_12.7312,Le 4 stagioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/le_4_stagioni_41.8261_12.7312.json,custom
41.859635,12.720204,ov_chicca_home_restaurant_41.8596_12.7202,Chicca Home Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/chicca_home_restaurant_41.8596_12.7202.json,custom
41.865031,12.707054,ov_ristorante_er_messicano_41.8650_12.7071,Ristorante Er Messicano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/ristorante_er_messicano_41.8650_12.7071.json,custom
41.865216,12.705953,ov_il_forno_di_cherubina_41.8652_12.7060,Il Forno di Cherubina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/il_forno_di_cherubina_41.8652_12.7060.json,custom
41.865264,12.706082,ov_crypto_cow_41.8653_12.7061,Crypto COW,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/crypto_cow_41.8653_12.7061.json,custom
41.863667,12.714833,ov_al_capolinea_della_pizza_41.8637_12.7148,Al Capolinea della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/al_capolinea_della_pizza_41.8637_12.7148.json,custom
41.861637,12.722004,ov_camp_s_41.8616_12.7220,Camp's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/camps_41.8616_12.7220.json,custom
41.849147,12.734800,ov_l_oasi_del_pesce_41.8491_12.7348,L'Oasi del Pesce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/loasi_del_pesce_41.8491_12.7348.json,custom
41.821785,12.781313,ov_qui_e_ora_41.8218_12.7813,Qui e Ora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/qui_e_ora_41.8218_12.7813.json,custom
41.814106,12.759855,ov_qui_e_ora_41.8141_12.7599,Qui e Ora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/qui_e_ora_41.8141_12.7599.json,custom
41.864913,12.707056,osm_er_messicano_41.8649_12.7071,Er messicano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/er_messicano_41.8649_12.7071.json,custom
41.848744,12.737080,osm_pizza_de_roma_41.8487_12.7371,Pizza de ROma,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/pizza_de_roma_41.8487_12.7371.json,custom
41.885948,12.714308,osm_domus_pinsa_41.8859_12.7143,Domus Pinsa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/domus_pinsa_41.8859_12.7143.json,custom
41.788915,12.732246,ov_la_baita_della_molara_bar_tavola_calda_41.7889_12.7322,La Baita della molara bar tavola calda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/la_baita_della_molara_bar_tavola_calda_41.7889_12.7322.json,custom
41.788830,12.730779,ov_daniel_s_service_41.7888_12.7308,Daniel's Service,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/daniels_service_41.7888_12.7308.json,custom
41.805918,12.737644,ov_archi_3_41.8059_12.7376,Archi 3,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/archi_3_41.8059_12.7376.json,custom
41.807587,12.736651,ov_l_antica_salumeria_41.8076_12.7367,L'Antica Salumeria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/lantica_salumeria_41.8076_12.7367.json,custom
41.808489,12.736671,ov_bar_mojito_41.8085_12.7367,Bar Mojito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/bar_mojito_41.8085_12.7367.json,custom
41.807466,12.736505,ov_bar_europa_41.8075_12.7365,Bar Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/bar_europa_41.8075_12.7365.json,custom
41.807149,12.737072,ov_la_passeggiata_41.8071_12.7371,La Passeggiata,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/la_passeggiata_41.8071_12.7371.json,custom
41.806611,12.737073,ov_marty_bar_41.8066_12.7371,Marty Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/marty_bar_41.8066_12.7371.json,custom
41.809522,12.736938,ov_bar_bellavista_41.8095_12.7369,Bar BellaVista,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_compatri/pages/bar_bellavista_41.8095_12.7369.json,custom
