# lat,lng,id,name,building_type,type,url,page_type
# Poggio di Bretta -- Tutti
42.859260,13.641653,osm_ristorante_pizzeria_zio_pietro_42.8593_13.6417,Ristorante Pizzeria Zio Pietro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/poggio_di_bretta/pages/ristorante_pizzeria_zio_pietro_42.8593_13.6417.json,custom
42.860705,13.641570,osm_bar_peroni_42.8607_13.6416,Bar Peroni,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/poggio_di_bretta/pages/bar_peroni_42.8607_13.6416.json,custom
42.859105,13.641704,osm_kubo3_bar_42.8591_13.6417,Kubo3 Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/poggio_di_bretta/pages/kubo3_bar_42.8591_13.6417.json,custom
