# lat,lng,id,name,building_type,type,url,page_type
# pineto -- Tutti
42.642840,14.039930,ov_kl___studio_di_fisioterapia_del_dott__ga_42.6428_14.0399,KL - Studio di Fisioterapia del Dott. Gabriele Tavolieri,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/kl_-_studio_di_fisioterapia_del_dott_gab_42.6428_14.0399.json,custom
42.644630,14.043858,ov_sunset_beach_club___resort_42.6446_14.0439,Sunset beach club & resort,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/sunset_beach_club_resort_42.6446_14.0439.json,custom
42.647211,14.042583,ov_le_caique_42.6472_14.0426,Le Caique,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/le_caique_42.6472_14.0426.json,custom
42.646655,14.042432,ov_ovino_42.6467_14.0424,Ovino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/ovino_42.6467_14.0424.json,custom
42.643859,14.039969,ov_coccole_e_sapori_42.6439_14.0400,Coccole e Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/coccole_e_sapori_42.6439_14.0400.json,custom
42.645918,14.040123,ov_ristorante_la_taverna_del_mare_42.6459_14.0401,Ristorante la Taverna del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/ristorante_la_taverna_del_mare_42.6459_14.0401.json,custom
42.645635,14.038502,ov_mode_food___drink_42.6456_14.0385,Mode Food & Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/mode_food_drink_42.6456_14.0385.json,custom
42.648425,14.038080,ov_la_terrazza___specialit__di_pesce_42.6484_14.0381,La Terrazza | Specialità di pesce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/la_terrazza_specialit_di_pesce_42.6484_14.0381.json,custom
42.648266,14.039179,ov_mare_e_monti_42.6483_14.0392,Mare e Monti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/mare_e_monti_42.6483_14.0392.json,custom
42.640789,14.011811,ov_dga_infissi_42.6408_14.0118,Dga Infissi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/dga_infissi_42.6408_14.0118.json,custom
42.633532,14.007183,ov_ristorante_il_ritrovo_42.6335_14.0072,Ristorante Il Ritrovo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/pineto/pages/ristorante_il_ritrovo_42.6335_14.0072.json,custom
