# lat,lng,id,name,building_type,type,url,page_type
# Motta di Livenza -- Tutti
45.773675,12.598070,ov_ospedale_riabilitativo_di_alta_specializ_45.7737_12.5981,Ospedale Riabilitativo di Alta Specializzazione di Motta di ,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/ospedale_riabilitativo_di_alta_specializ_45.7737_12.5981.json,custom
45.788269,12.613951,ov_gallo_matto_risto_45.7883_12.6140,Gallo Matto Risto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/gallo_matto_risto_45.7883_12.6140.json,custom
45.778600,12.614740,ov_trattoria_al_cigno_45.7786_12.6147,Trattoria al Cigno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/trattoria_al_cigno_45.7786_12.6147.json,custom
45.776666,12.611096,ov_bistr__91_45.7767_12.6111,Bistrò 91,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/bistr_91_45.7767_12.6111.json,custom
45.776352,12.611996,ov_ama_burger___buns___burger_by_al_bacaro__45.7764_12.6120,AMA Burger • Buns & Burger by al Bacaro •,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/ama_burger_buns_burger_by_al_bacaro__45.7764_12.6120.json,custom
45.774721,12.611927,ov_beppo_pizza_45.7747_12.6119,Beppo Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/beppo_pizza_45.7747_12.6119.json,custom
45.773991,12.613348,ov_vario_la_pizza_45.7740_12.6133,Vario La Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/vario_la_pizza_45.7740_12.6133.json,custom
45.776192,12.612588,ov_ristorante_eccellentissimo_45.7762_12.6126,Ristorante Eccellentissimo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/ristorante_eccellentissimo_45.7762_12.6126.json,custom
45.776011,12.610787,ov_trattoria_ai_due_mori_45.7760_12.6108,Trattoria Ai Due Mori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/trattoria_ai_due_mori_45.7760_12.6108.json,custom
45.778186,12.609209,ov_ristorante_pizzeria_san_rocco_45.7782_12.6092,Ristorante Pizzeria San Rocco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/ristorante_pizzeria_san_rocco_45.7782_12.6092.json,custom
45.777743,12.608070,ov_pizzalonga_away_motta_di_livenza_45.7777_12.6081,Pizzalonga Away Motta di Livenza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/motta_di_livenza/pages/pizzalonga_away_motta_di_livenza_45.7777_12.6081.json,custom
