# lat,lng,id,name,building_type,type,url,page_type
# Toscolano Maderno -- Tutti
45.649590,10.620604,ov_ospedale_sant_anna_brescia_45.6496_10.6206,Ospedale Sant'anna Brescia,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/ospedale_santanna_brescia_45.6496_10.6206.json,custom
45.629071,10.586212,ov_pizzeria_benella_45.6291_10.5862,Pizzeria Benella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/pizzeria_benella_45.6291_10.5862.json,custom
45.631866,10.604148,ov_lido_azzurro_restaurant_45.6319_10.6041,Lido Azzurro Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/lido_azzurro_restaurant_45.6319_10.6041.json,custom
45.631747,10.614873,ov_bar_maderno_45.6317_10.6149,Bar Maderno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/bar_maderno_45.6317_10.6149.json,custom
45.653094,10.626621,ov_cavallino_10_45.6531_10.6266,Cavallino 10,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/cavallino_10_45.6531_10.6266.json,custom
45.652981,10.626370,ov_ristorante_pizzeria_la_macina_45.6530_10.6264,Ristorante Pizzeria La Macina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/ristorante_pizzeria_la_macina_45.6530_10.6264.json,custom
45.653283,10.615528,ov_osteria_ai_cantagai_45.6533_10.6155,Osteria Ai Cantagai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/osteria_ai_cantagai_45.6533_10.6155.json,custom
45.648864,10.617554,ov_halleluja___bistr____restaurant___bar_45.6489_10.6176,halleluja - BISTRÒ | RESTAURANT | BAR,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/halleluja_-_bistr_restaurant_bar_45.6489_10.6176.json,custom
45.644737,10.615184,ov_la_cucineria_45.6447_10.6152,La Cucineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/la_cucineria_45.6447_10.6152.json,custom
45.645070,10.616277,ov_ristorante_pizzeria_fernanda_ferraroni_a_45.6451_10.6163,Ristorante Pizzeria Fernanda Ferraroni Adria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/ristorante_pizzeria_fernanda_ferraroni_a_45.6451_10.6163.json,custom
45.633510,10.616567,ov_lafoce___beach_bar__restaurant___pizza_45.6335_10.6166,"LaFoce - Beach Bar, Restaurant & Pizza",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/lafoce_-_beach_bar_restaurant_pizza_45.6335_10.6166.json,custom
45.637713,10.612043,ov_chiosco_camp__toscolano_45.6377_10.6120,Chiosco Camp. Toscolano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/chiosco_camp_toscolano_45.6377_10.6120.json,custom
45.643130,10.619501,ov_kyma_beach_bar_and_food_45.6431_10.6195,Kyma Beach Bar and Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/kyma_beach_bar_and_food_45.6431_10.6195.json,custom
45.639114,10.606029,ov_il_boccone_45.6391_10.6060,Il Boccone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/toscolano_maderno/pages/il_boccone_45.6391_10.6060.json,custom
