# lat,lng,id,name,building_type,type,url,page_type
# Noicattaro -- Tutti
41.039376,16.995692,ov_dott_giovanni_vavalle_41.0394_16.9957,Dott Giovanni Vavalle,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/dott_giovanni_vavalle_41.0394_16.9957.json,custom
41.032210,16.983390,ov_il_principe_del_mare_41.0322_16.9834,Il principe del mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/il_principe_del_mare_41.0322_16.9834.json,custom
41.033436,16.985389,ov_pescheria_sciab__41.0334_16.9854,Pescheria Sciabò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/pescheria_sciab_41.0334_16.9854.json,custom
41.033863,16.989866,ov_pizzeria_l_opera_41.0339_16.9899,Pizzeria L'Opera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/pizzeria_lopera_41.0339_16.9899.json,custom
41.033858,16.989822,ov_carboni_ardenti_41.0339_16.9898,Carboni Ardenti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/carboni_ardenti_41.0339_16.9898.json,custom
41.034765,16.996389,ov_da_bacco_il_tempio_del_panzerotto_41.0348_16.9964,da Bacco Il Tempio del panzerotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/da_bacco_il_tempio_del_panzerotto_41.0348_16.9964.json,custom
41.034266,16.990560,ov_the_rock_al_savoia_41.0343_16.9906,The rock al SAVOIA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/the_rock_al_savoia_41.0343_16.9906.json,custom
41.034983,16.991347,ov_germe_di_grano_41.0350_16.9913,Germe di Grano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/germe_di_grano_41.0350_16.9913.json,custom
41.034433,16.988429,ov_il_portico_41.0344_16.9884,Il Portico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/il_portico_41.0344_16.9884.json,custom
41.034385,16.984201,ov_royal_kebab_noicattaro_41.0344_16.9842,Royal Kebab Noicattaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/royal_kebab_noicattaro_41.0344_16.9842.json,custom
41.037971,16.985308,ov_pizzeria_puglia_in_pizza_41.0380_16.9853,Pizzeria Puglia in Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/pizzeria_puglia_in_pizza_41.0380_16.9853.json,custom
41.037285,16.988634,ov_nonna_maria_41.0373_16.9886,Nonna Maria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/nonna_maria_41.0373_16.9886.json,custom
41.039412,16.991983,ov_pizzeria_la_rustica_41.0394_16.9920,Pizzeria La Rustica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/pizzeria_la_rustica_41.0394_16.9920.json,custom
41.041190,16.991910,ov_sapori_di_una_volta_di_affatato_giuseppe_41.0412_16.9919,Sapori di una volta di Affatato Giuseppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/sapori_di_una_volta_di_affatato_giuseppe_41.0412_16.9919.json,custom
41.040416,16.990933,ov_pizzeria_giallo_datterino_41.0404_16.9909,Pizzeria Giallo Datterino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/pizzeria_giallo_datterino_41.0404_16.9909.json,custom
41.030636,16.984167,ov_d_d_ristorante_friggitoria_gourmet_41.0306_16.9842,D&D Ristorante Friggitoria Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/noicattaro/pages/dd_ristorante_friggitoria_gourmet_41.0306_16.9842.json,custom
