# lat,lng,id,name,building_type,type,url,page_type
# massa_marittima -- Tutti
43.043157,10.889460,ov_pronto_soccorso_di_massa_marittima_43.0432_10.8895,Pronto Soccorso di Massa Marittima,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/pronto_soccorso_di_massa_marittima_43.0432_10.8895.json,custom
43.005231,10.851271,ov_alimentari_ravenni_stefano_43.0052_10.8513,Alimentari Ravenni Stefano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/alimentari_ravenni_stefano_43.0052_10.8513.json,custom
43.005207,10.851223,ov_ristorante_pizzeria_il_giardino_dei_medi_43.0052_10.8512,Ristorante Pizzeria Il Giardino dei Medici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/ristorante_pizzeria_il_giardino_dei_medi_43.0052_10.8512.json,custom
43.004905,10.851007,ov_la_piazzetta_valpiana_43.0049_10.8510,La Piazzetta Valpiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/la_piazzetta_valpiana_43.0049_10.8510.json,custom
43.029891,10.842372,ov_agriturismo_poggio_la_lodola_43.0299_10.8424,Agriturismo Poggio la Lodola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/agriturismo_poggio_la_lodola_43.0299_10.8424.json,custom
43.025489,10.882664,ov_la_rialla_43.0255_10.8827,La Rialla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/la_rialla_43.0255_10.8827.json,custom
43.017072,10.859598,ov_trattoria_mare_e_monti_43.0171_10.8596,Trattoria Mare E Monti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/trattoria_mare_e_monti_43.0171_10.8596.json,custom
43.022458,11.028346,ov_il_barrino_di_tatti_43.0225_11.0283,Il Barrino di Tatti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/il_barrino_di_tatti_43.0225_11.0283.json,custom
43.056344,10.902044,ov_trattoria_sbrana_43.0563_10.9020,Trattoria Sbrana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/trattoria_sbrana_43.0563_10.9020.json,custom
43.058394,10.899893,ov_zanaboni_alessio_e_giorgio_ss_43.0584_10.8999,Zanaboni Alessio e Giorgio SS,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/zanaboni_alessio_e_giorgio_ss_43.0584_10.8999.json,custom
43.058475,10.900289,ov_ristorante_bracali_43.0585_10.9003,Ristorante Bracali,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/ristorante_bracali_43.0585_10.9003.json,custom
43.051143,10.887911,ov_osteria_da_tronca_43.0511_10.8879,Osteria da Tronca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/osteria_da_tronca_43.0511_10.8879.json,custom
43.051030,10.887988,ov_ristorante___champagne_bar_era_ora_43.0510_10.8880,Ristorante & Champagne bar Era Ora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/ristorante_champagne_bar_era_ora_43.0510_10.8880.json,custom
43.050226,10.887937,ov_vanni_1905_43.0502_10.8879,Vanni 1905,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/vanni_1905_43.0502_10.8879.json,custom
43.049854,10.887559,ov_bikegarage___more_43.0499_10.8876,BikeGarage & More,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/bikegarage_more_43.0499_10.8876.json,custom
43.049456,10.887179,ov_ristorante_le_mura_43.0495_10.8872,Ristorante le Mura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/ristorante_le_mura_43.0495_10.8872.json,custom
43.049261,10.887424,ov_taverna_del_vecchio_borgo_43.0493_10.8874,Taverna Del Vecchio Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/taverna_del_vecchio_borgo_43.0493_10.8874.json,custom
43.048620,10.897413,ov_ciclone_43.0486_10.8974,Ciclone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/ciclone_43.0486_10.8974.json,custom
43.049692,10.895848,ov_bar_pizzeria_da_carlo_43.0497_10.8958,Bar Pizzeria da Carlo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/bar_pizzeria_da_carlo_43.0497_10.8958.json,custom
43.049939,10.890788,ov_acqua___sapone_43.0499_10.8908,Acqua & Sapone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/acqua_sapone_43.0499_10.8908.json,custom
43.049980,10.888594,ov_niky_ristorante_pizzeria_bistro_43.0500_10.8886,Niky Ristorante Pizzeria Bistro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/niky_ristorante_pizzeria_bistro_43.0500_10.8886.json,custom
43.050245,10.888002,ov_ristorante_i_tre_archi_43.0502_10.8880,Ristorante I Tre Archi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/ristorante_i_tre_archi_43.0502_10.8880.json,custom
43.050456,10.888165,ov_osteria_enoteca_grassini_43.0505_10.8882,Osteria Enoteca Grassini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/osteria_enoteca_grassini_43.0505_10.8882.json,custom
43.050488,10.892632,ov_lonewolf_43.0505_10.8926,Lonewolf,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/lonewolf_43.0505_10.8926.json,custom
43.050483,10.892494,ov_marco_mazzei_43.0505_10.8925,Marco Mazzei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/marco_mazzei_43.0505_10.8925.json,custom
43.050622,10.888180,ov_la_cantina_dei_3_archi_43.0506_10.8882,La Cantina dei 3 Archi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/la_cantina_dei_3_archi_43.0506_10.8882.json,custom
43.050812,10.888353,ov_la_tana_dei_brilli_43.0508_10.8884,La Tana dei Brilli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/la_tana_dei_brilli_43.0508_10.8884.json,custom
43.050940,10.888544,ov_il_gatto_e_la_volpe_43.0509_10.8885,Il Gatto e la Volpe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/il_gatto_e_la_volpe_43.0509_10.8885.json,custom
43.051108,10.888262,ov_il_corso_43.0511_10.8883,Il Corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/il_corso_43.0511_10.8883.json,custom
43.051417,10.888201,ov_la_padellaccia_del_viggia_43.0514_10.8882,La Padellaccia del Viggia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/la_padellaccia_del_viggia_43.0514_10.8882.json,custom
43.051647,10.890694,ov_trattoria_il_candeliere_43.0516_10.8907,Trattoria Il Candeliere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/trattoria_il_candeliere_43.0516_10.8907.json,custom
43.051649,10.890664,ov_le_fate_briache_43.0516_10.8907,Le Fate Briache,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/le_fate_briache_43.0516_10.8907.json,custom
43.047980,10.893682,ov_la_rosticceria_massetana_43.0480_10.8937,La Rosticceria Massetana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/la_rosticceria_massetana_43.0480_10.8937.json,custom
43.073750,10.916510,ov_la_rialla_43.0737_10.9165,La Rialla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/la_rialla_43.0737_10.9165.json,custom
43.074075,10.921181,ov_osteria_il_cinquino_43.0741_10.9212,Osteria Il Cinquino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massa_marittima/pages/osteria_il_cinquino_43.0741_10.9212.json,custom
