# lat,lng,id,name,building_type,type,url,page_type
# sermoneta -- Tutti
41.566700,12.933300,ov_ninfa_poliambulatorio_riabilitazione_41.5667_12.9333,NINFA Poliambulatorio Riabilitazione,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/ninfa_poliambulatorio_riabilitazione_41.5667_12.9333.json,custom
41.564436,12.918033,ov_pagina_il_peschetobeach_41.5644_12.9180,Pagina Il Peschetobeach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/pagina_il_peschetobeach_41.5644_12.9180.json,custom
41.564481,12.918092,ov_il_pescheto_41.5645_12.9181,Il Pescheto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/il_pescheto_41.5645_12.9181.json,custom
41.571290,12.929750,ov_azienda_agricola_biologica_franca_battis_41.5713_12.9298,Azienda Agricola Biologica Franca Battista,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/azienda_agricola_biologica_franca_battis_41.5713_12.9298.json,custom
41.571170,12.930080,ov_old_times_41.5712_12.9301,Old Times,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/old_times_41.5712_12.9301.json,custom
41.566700,12.933300,ov_agriturismo_il_quadrifoglio_41.5667_12.9333,Agriturismo Il Quadrifoglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/agriturismo_il_quadrifoglio_41.5667_12.9333.json,custom
41.547150,12.942850,ov_il_feudo_antico_41.5472_12.9428,Il Feudo Antico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/il_feudo_antico_41.5472_12.9428.json,custom
41.560870,12.945756,ov_bar_settantaquattro_41.5609_12.9458,Bar Settantaquattro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/bar_settantaquattro_41.5609_12.9458.json,custom
41.540636,12.949386,ov_pizzeria_sole_e_luna_41.5406_12.9494,Pizzeria Sole E Luna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/pizzeria_sole_e_luna_41.5406_12.9494.json,custom
41.539239,12.953421,ov_fonzie_pizza_41.5392_12.9534,Fonzie Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/fonzie_pizza_41.5392_12.9534.json,custom
41.553580,12.956733,ov_il_casale_di_nonna_lina_41.5536_12.9567,Il casale di nonna Lina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sermoneta/pages/il_casale_di_nonna_lina_41.5536_12.9567.json,custom
