# lat,lng,id,name,building_type,type,url,page_type
# Sala Monferrato -- Tutti
45.074782,8.358530,ov_nuova_antichi_sapori_45.0748_8.3585,Nuova Antichi Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/sala_monferrato/pages/nuova_antichi_sapori_45.0748_8.3585.json,custom
45.075020,8.358290,ov_museo_nanni_ricordi___sala_monferrato_45.0750_8.3583,Museo Nanni Ricordi - Sala Monferrato,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/sala_monferrato/pages/museo_nanni_ricordi_-_sala_monferrato_45.0750_8.3583.json,custom
45.076530,8.362130,ov_monolito_monferrato_45.0765_8.3621,Monolito Monferrato,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/sala_monferrato/pages/monolito_monferrato_45.0765_8.3621.json,custom
