# lat,lng,id,name,building_type,type,url,page_type
# Rosarno -- Tutti
38.467690,16.008342,ov_ospedale_di_polistena_38.4677_16.0083,Ospedale di Polistena,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/ospedale_di_polistena_38.4677_16.0083.json,custom
38.497221,15.984582,ov_seminara___tavola_calda_pizzeria_38.4972_15.9846,Seminara - Tavola Calda Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/seminara_-_tavola_calda_pizzeria_38.4972_15.9846.json,custom
38.494510,15.974380,ov_ristorante_san_leonardo_38.4945_15.9744,Ristorante San Leonardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/ristorante_san_leonardo_38.4945_15.9744.json,custom
38.494390,15.976240,ov_gibran_38.4944_15.9762,Gibran,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/gibran_38.4944_15.9762.json,custom
38.470493,16.005223,ov_il_ritrovo_38.4705_16.0052,Il Ritrovo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/il_ritrovo_38.4705_16.0052.json,custom
38.478256,15.991931,ov_risto_pescheria_carpa_koi_38.4783_15.9919,Risto Pescheria Carpa Koi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/risto_pescheria_carpa_koi_38.4783_15.9919.json,custom
38.478412,15.994546,ov_ristorante_pizzeria_medmea_38.4784_15.9945,Ristorante Pizzeria Medmea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/ristorante_pizzeria_medmea_38.4784_15.9945.json,custom
38.492976,15.979603,ov_ristorante_pizzeria_i_gemelli_38.4930_15.9796,Ristorante pizzeria i gemelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/ristorante_pizzeria_i_gemelli_38.4930_15.9796.json,custom
38.492360,15.974237,ov_fermentum_38.4924_15.9742,Fermentum,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/fermentum_38.4924_15.9742.json,custom
38.491776,15.971625,ov_pizzeria_largo_bruniani_38.4918_15.9716,Pizzeria Largo Bruniani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/pizzeria_largo_bruniani_38.4918_15.9716.json,custom
38.491782,15.971676,ov_mamma_africa_ristorante_mister_pollo_38.4918_15.9717,Mamma Africa Ristorante Mister Pollo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/mamma_africa_ristorante_mister_pollo_38.4918_15.9717.json,custom
38.489427,15.974509,ov_bistrot_24_38.4894_15.9745,Bistrot 24,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/bistrot_24_38.4894_15.9745.json,custom
38.489979,15.974156,ov_grano_e_brace_38.4900_15.9742,Grano e Brace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/grano_e_brace_38.4900_15.9742.json,custom
38.487960,15.976124,ov_pizza_house_38.4880_15.9761,Pizza House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/pizza_house_38.4880_15.9761.json,custom
38.487837,15.976189,ov_rosticceria_pizzeria_la_lanterna_38.4878_15.9762,Rosticceria Pizzeria La Lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/rosticceria_pizzeria_la_lanterna_38.4878_15.9762.json,custom
38.488779,15.974758,ov_gibran_restaurant_38.4888_15.9748,Gibran Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/gibran_restaurant_38.4888_15.9748.json,custom
38.487978,15.975072,ov_pizzeria_del_corso_38.4880_15.9751,Pizzeria Del Corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/pizzeria_del_corso_38.4880_15.9751.json,custom
38.485748,15.972509,ov_chiara___ristorante_speghetteria_38.4857_15.9725,CHIARA - ristorante speghetteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/chiara_-_ristorante_speghetteria_38.4857_15.9725.json,custom
38.485661,15.973027,ov_pizzeria_la_madonnina_38.4857_15.9730,Pizzeria La Madonnina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/pizzeria_la_madonnina_38.4857_15.9730.json,custom
38.486431,15.979522,ov_pititto_s_grill_38.4864_15.9795,Pititto's Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/pitittos_grill_38.4864_15.9795.json,custom
38.483358,15.982892,ov_pizzeria_rosticceria_del_secolo___38.4834_15.9829,Pizzeria rosticceria del secolo'',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/pizzeria_rosticceria_del_secolo_38.4834_15.9829.json,custom
38.478110,15.984764,ov_la_nuova_conca_d_oro_38.4781_15.9848,La Nuova Conca d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/la_nuova_conca_doro_38.4781_15.9848.json,custom
38.478128,15.984629,ov_ristorante_medmea_38.4781_15.9846,Ristorante Medmea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/ristorante_medmea_38.4781_15.9846.json,custom
38.479021,15.981739,ov_ristorante_pizzeria_medmea_di_quaranta_g_38.4790_15.9817,Ristorante Pizzeria Medmea di Quaranta Giuseppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/ristorante_pizzeria_medmea_di_quaranta_g_38.4790_15.9817.json,custom
38.478223,15.980096,ov_la_fattoria_2_38.4782_15.9801,La Fattoria 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/la_fattoria_2_38.4782_15.9801.json,custom
38.491461,15.971160,ov_ristorante_pizzeria_alle_chiocciole_38.4915_15.9712,Ristorante Pizzeria Alle Chiocciole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/ristorante_pizzeria_alle_chiocciole_38.4915_15.9712.json,custom
38.492233,15.974569,ov_iqos_partner___rosarno_38.4922_15.9746,IQOS PARTNER - Rosarno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/iqos_partner_-_rosarno_38.4922_15.9746.json,custom
38.490058,15.972617,ov_crema_cioccolato_rosarno_38.4901_15.9726,Crema&Cioccolato.Rosarno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/cremacioccolatorosarno_38.4901_15.9726.json,custom
38.489684,15.973340,ov_garruzzo_carmelo_38.4897_15.9733,Garruzzo Carmelo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/garruzzo_carmelo_38.4897_15.9733.json,custom
38.487782,15.976215,ov_bar_royal_38.4878_15.9762,Bar Royal,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/bar_royal_38.4878_15.9762.json,custom
38.487309,15.971887,ov_bar_aura_cafe_38.4873_15.9719,Bar Aura Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/bar_aura_cafe_38.4873_15.9719.json,custom
38.488182,15.974893,ov_bar_spagnolo_38.4882_15.9749,Bar Spagnolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/bar_spagnolo_38.4882_15.9749.json,custom
38.486162,15.972663,ov_caffe_nuevo_38.4862_15.9727,Caffe Nuevo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/caffe_nuevo_38.4862_15.9727.json,custom
38.485448,15.976482,ov_g_b_caf__38.4854_15.9765,G&B Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/gb_caf_38.4854_15.9765.json,custom
38.482276,15.979090,ov_al_paris_bar_38.4823_15.9791,Al Paris Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/al_paris_bar_38.4823_15.9791.json,custom
38.485118,15.979145,ov_bar_pasticceria_imperial_38.4851_15.9791,Bar Pasticceria Imperial,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/bar_pasticceria_imperial_38.4851_15.9791.json,custom
38.488729,15.970435,ov_bar_stazione_1984_38.4887_15.9704,Bar Stazione 1984,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/bar_stazione_1984_38.4887_15.9704.json,custom
38.489730,15.970983,ov_eurobet_caf__rosarno_38.4897_15.9710,Eurobet Cafè Rosarno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/eurobet_caf_rosarno_38.4897_15.9710.json,custom
38.492897,15.979667,ov_energy_rosarno_38.4929_15.9797,Energy Rosarno,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/energy_rosarno_38.4929_15.9797.json,custom
38.486949,15.982597,ov_museo_e_parco_archeologico_di_medma_38.4869_15.9826,Museo e Parco Archeologico di Medma,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/museo_e_parco_archeologico_di_medma_38.4869_15.9826.json,custom
38.491716,15.971405,osm_poste_italiane_38.4917_15.9714,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/poste_italiane_38.4917_15.9714.json,custom
38.489422,15.978527,ov_mediateca_rosarno_2000_2016_38.4894_15.9785,Mediateca Rosarno 2000-2016,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/rosarno/pages/mediateca_rosarno_2000-2016_38.4894_15.9785.json,custom
