# lat,lng,id,name,building_type,type,url,page_type
# spigno_saturnia -- Tutti
41.286862,13.705001,ov_emergenza_e_soccorso_41.2869_13.7050,Emergenza e soccorso,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/spigno_saturnia/pages/emergenza_e_soccorso_41.2869_13.7050.json,custom
41.306669,13.737056,ov_seli____oltre_la_bont____pizzeria___trat_41.3067_13.7371,SeLià - Oltre la Bontà - Pizzeria - Trattoria - Paninoteca -,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/spigno_saturnia/pages/seli_-_oltre_la_bont_-_pizzeria_-_tratto_41.3067_13.7371.json,custom
41.307007,13.737456,ov_miro_41.3070_13.7375,Miro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/spigno_saturnia/pages/miro_41.3070_13.7375.json,custom
41.308698,13.736409,ov_don_ferdinando_41.3087_13.7364,Don Ferdinando,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/spigno_saturnia/pages/don_ferdinando_41.3087_13.7364.json,custom
41.286320,13.706045,ov_la_fornacella_41.2863_13.7060,La Fornacella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/spigno_saturnia/pages/la_fornacella_41.2863_13.7060.json,custom
41.255803,13.600713,ov_quella_vecchia_locanda___spigno_saturnia_41.2558_13.6007,Quella vecchia locanda - Spigno Saturnia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/spigno_saturnia/pages/quella_vecchia_locanda_-_spigno_saturnia_41.2558_13.6007.json,custom
41.305595,13.736600,ov_3p_petroli_41.3056_13.7366,3P Petroli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/spigno_saturnia/pages/3p_petroli_41.3056_13.7366.json,custom
41.307975,13.737904,ov_hostev_a_41.3080_13.7379,Hostevìa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/spigno_saturnia/pages/hosteva_41.3080_13.7379.json,custom
41.310841,13.738110,ov_barmirodue_barmirodue_41.3108_13.7381,Barmirodue Barmirodue,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/spigno_saturnia/pages/barmirodue_barmirodue_41.3108_13.7381.json,custom
41.311523,13.738139,ov_bar_da_pierino_41.3115_13.7381,Bar Da Pierino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/spigno_saturnia/pages/bar_da_pierino_41.3115_13.7381.json,custom
41.277563,13.707247,ov_bar_pierino_41.2776_13.7072,Bar Pierino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/spigno_saturnia/pages/bar_pierino_41.2776_13.7072.json,custom
41.305595,13.736600,ov_gym_life_41.3056_13.7366,GYM LIFE,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/spigno_saturnia/pages/gym_life_41.3056_13.7366.json,custom
41.277322,13.707286,ov_gym_life_41.2773_13.7073,Gym Life,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/spigno_saturnia/pages/gym_life_41.2773_13.7073.json,custom
