# lat,lng,id,name,building_type,type,url,page_type
# gazzaniga -- Tutti
45.794746,9.828659,ov_ospedale_briolini_gazzaniga_45.7947_9.8287,Ospedale Briolini Gazzaniga,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/ospedale_briolini_gazzaniga_45.7947_9.8287.json,custom
45.794194,9.831039,ov_la_cucina_di_peter_pan_45.7942_9.8310,La Cucina Di Peter Pan,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/la_cucina_di_peter_pan_45.7942_9.8310.json,custom
45.794649,9.831113,ov_pizzeria_da_valentino_45.7946_9.8311,Pizzeria Da Valentino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/pizzeria_da_valentino_45.7946_9.8311.json,custom
45.806093,9.823455,ov_la_penzana_del_merel_45.8061_9.8235,La Penzana del Merel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/la_penzana_del_merel_45.8061_9.8235.json,custom
45.796348,9.837675,ov_piadineria_del_borgo_45.7963_9.8377,Piadineria del Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/piadineria_del_borgo_45.7963_9.8377.json,custom
45.796963,9.835956,ov_pizzeria_ambrosia_di_moroni_michele_45.7970_9.8360,Pizzeria Ambrosia Di Moroni Michele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/pizzeria_ambrosia_di_moroni_michele_45.7970_9.8360.json,custom
45.796847,9.834571,ov_enoteca_leone_45.7968_9.8346,Enoteca Leone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/enoteca_leone_45.7968_9.8346.json,custom
45.796292,9.834657,ov_ristorante_pizzeria_grattacielo_45.7963_9.8347,Ristorante Pizzeria Grattacielo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/ristorante_pizzeria_grattacielo_45.7963_9.8347.json,custom
45.796206,9.837672,osm_piadineria_del_borgo___gazzaniga_45.7962_9.8377,Piadineria del Borgo - Gazzaniga,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/piadineria_del_borgo_-_gazzaniga_45.7962_9.8377.json,custom
45.796920,9.836396,osm_istanbul_pizza___kebap_45.7969_9.8364,Istanbul Pizza & Kebap,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/istanbul_pizza_kebap_45.7969_9.8364.json,custom
45.781184,9.825439,ov_crazy_caf__45.7812_9.8254,Crazy Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/crazy_caf_45.7812_9.8254.json,custom
45.794210,9.831520,ov_il_baracchino_45.7942_9.8315,Il BarAcchino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/il_baracchino_45.7942_9.8315.json,custom
45.795538,9.831948,ov_flyer_cafe_45.7955_9.8319,Flyer Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/flyer_cafe_45.7955_9.8319.json,custom
45.793379,9.829384,ov_punto_bar_45.7934_9.8294,Punto Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/punto_bar_45.7934_9.8294.json,custom
45.801362,9.831374,ov_meeting_pub_borno_45.8014_9.8314,Meeting Pub Borno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/meeting_pub_borno_45.8014_9.8314.json,custom
45.796153,9.838022,ov_le_rotaie_45.7962_9.8380,LE Rotaie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/le_rotaie_45.7962_9.8380.json,custom
45.796284,9.836016,ov_joy_45.7963_9.8360,Joy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/joy_45.7963_9.8360.json,custom
45.797087,9.835036,ov_cafe_du_centre_45.7971_9.8350,Cafe Du Centre,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/cafe_du_centre_45.7971_9.8350.json,custom
45.796420,9.837776,osm_bar_stazione_45.7964_9.8378,Bar Stazione,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/bar_stazione_45.7964_9.8378.json,custom
45.793500,9.826909,osm_bar_rova_45.7935_9.8269,Bar Rova,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/bar_rova_45.7935_9.8269.json,custom
45.797146,9.835047,osm_caf__du_centre_45.7971_9.8350,Cafè du Centre,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/caf_du_centre_45.7971_9.8350.json,custom
45.796658,9.829965,ov_berghem_molamia_45.7967_9.8300,BERGHEM#molamia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/berghemmolamia_45.7967_9.8300.json,custom
45.796444,9.836574,osm_biblioteca_comunale_di_gazzaniga_45.7964_9.8366,Biblioteca comunale di Gazzaniga,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gazzaniga/pages/biblioteca_comunale_di_gazzaniga_45.7964_9.8366.json,custom
