# lat,lng,id,name,building_type,type,url,page_type
# Crespina Lorenzana -- Tutti
43.536042,10.528437,ov_il_borgo_dei_colori_43.5360_10.5284,Il Borgo dei Colori,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/il_borgo_dei_colori_43.5360_10.5284.json,custom
43.534045,10.527290,ov_casale_costaverde_43.5340_10.5273,Casale CostaVerde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/casale_costaverde_43.5340_10.5273.json,custom
43.536370,10.544010,ov_prana_cura_del_verde_43.5364_10.5440,Prana cura del verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/prana_cura_del_verde_43.5364_10.5440.json,custom
43.542562,10.527023,ov_pizzeria_doppio_zero_43.5426_10.5270,Pizzeria Doppio Zero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/pizzeria_doppio_zero_43.5426_10.5270.json,custom
43.582101,10.546225,ov_i_gioielli_43.5821_10.5462,I gioielli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/i_gioielli_43.5821_10.5462.json,custom
43.581272,10.551910,ov_telescopi_italiani_srl_43.5813_10.5519,Telescopi Italiani srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/telescopi_italiani_srl_43.5813_10.5519.json,custom
43.565110,10.542956,ov_agriturismo_l_isola_43.5651_10.5430,Agriturismo L'isola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/agriturismo_lisola_43.5651_10.5430.json,custom
43.554539,10.536477,ov_baracchina_oasi_43.5545_10.5365,Baracchina Oasi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/baracchina_oasi_43.5545_10.5365.json,custom
43.546730,10.521396,ov_piandilaura_gourmet_43.5467_10.5214,Piandilaura Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/piandilaura_gourmet_43.5467_10.5214.json,custom
43.568096,10.561082,ov_il_boccondivino_43.5681_10.5611,Il Boccondivino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/il_boccondivino_43.5681_10.5611.json,custom
43.586027,10.559534,ov_in_punta_di_piedi_43.5860_10.5595,In Punta di Piedi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/crespina_lorenzana/pages/in_punta_di_piedi_43.5860_10.5595.json,custom
