# lat,lng,id,name,building_type,type,url,page_type
# Cesano Maderno -- Tutti
45.626584,9.138597,ov_mecesano___studi_professionali_45.6266_9.1386,MeCesano - Studi Professionali,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesano_maderno/pages/mecesano_-_studi_professionali_45.6266_9.1386.json,custom
45.435228,9.087507,ov_la_piadineria_45.4352_9.0875,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesano_maderno/pages/la_piadineria_45.4352_9.0875.json,custom
45.634913,9.141960,ov_il_migliore_45.6349_9.1420,Il Migliore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesano_maderno/pages/il_migliore_45.6349_9.1420.json,custom
45.636022,9.138655,ov_enoteca_vino_e_dintorni_45.6360_9.1387,Enoteca Vino e Dintorni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesano_maderno/pages/enoteca_vino_e_dintorni_45.6360_9.1387.json,custom
45.626118,9.136110,ov_victor_steak_house_45.6261_9.1361,Victor Steak House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesano_maderno/pages/victor_steak_house_45.6261_9.1361.json,custom
45.633950,9.125100,ov_pizzeria_e_gastronomia_napoletana_____zi_45.6339_9.1251,Pizzeria e Gastronomia Napoletana - Ò Zi Brunett,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesano_maderno/pages/pizzeria_e_gastronomia_napoletana_-_zi_b_45.6339_9.1251.json,custom
45.633929,9.125053,ov_la_bottega_di_pulcinella_45.6339_9.1251,La Bottega di Pulcinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesano_maderno/pages/la_bottega_di_pulcinella_45.6339_9.1251.json,custom
45.631775,9.130835,ov_da_reano_45.6318_9.1308,Da Reano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesano_maderno/pages/da_reano_45.6318_9.1308.json,custom
45.630167,9.136338,ov_napul___45.6302_9.1363,Napul'è,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesano_maderno/pages/napul_45.6302_9.1363.json,custom
45.629925,9.138507,ov_isabella_trattoria_ristorante_45.6299_9.1385,Isabella Trattoria ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesano_maderno/pages/isabella_trattoria_ristorante_45.6299_9.1385.json,custom
45.630107,9.142660,ov_bubi_restaurant_45.6301_9.1427,Bubi Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesano_maderno/pages/bubi_restaurant_45.6301_9.1427.json,custom
45.630020,9.142680,ov_bistr_61_45.6300_9.1427,Bistró61,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesano_maderno/pages/bistr61_45.6300_9.1427.json,custom
45.629583,9.147618,ov_ristoro_il_fauno___ristorante_cesano_mad_45.6296_9.1476,Ristoro il Fauno | Ristorante Cesano Maderno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesano_maderno/pages/ristoro_il_fauno_ristorante_cesano_mader_45.6296_9.1476.json,custom
45.630382,9.145819,ov_lion_t_rkish_pizza_kebap_45.6304_9.1458,Lion Türkish Pizza&Kebap,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesano_maderno/pages/lion_trkish_pizzakebap_45.6304_9.1458.json,custom
45.630468,9.145762,ov_the_river_hamburgeria_e_birreria_45.6305_9.1458,The River Hamburgeria e Birreria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesano_maderno/pages/the_river_hamburgeria_e_birreria_45.6305_9.1458.json,custom
45.629872,9.143109,ov_fresh_ramen_45.6299_9.1431,Fresh Ramen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesano_maderno/pages/fresh_ramen_45.6299_9.1431.json,custom
