# lat,lng,id,name,building_type,type
# Rossano -- Tutti
39.596392,16.637581,osm_ospedale_civile_nicola_giannettasio_39.5964_16.6376,Ospedale Civile Nicola Giannettasio,hospital,hospital
39.587315,16.625508,ov_la_locanda_del_lupo_39.5873_16.6255,La Locanda Del Lupo,RESTAURANT,ristorante
39.604410,16.618380,ov_tokiyo_sushi_39.6044_16.6184,Tokiyo sushi,RESTAURANT,ristorante
39.584120,16.571490,ov_chiosco_pathirion_39.5841_16.5715,Chiosco Pathirion,RESTAURANT,ristorante
39.581778,16.632561,ov_agriturismo_campo_antico_39.5818_16.6326,Agriturismo Campo Antico,RESTAURANT,ristorante
39.566815,16.633231,ov_antica_fattoria_malvitano_ristorantepizz_39.5668_16.6332,Antica Fattoria Malvitano ristorantepizzeriaresidence,RESTAURANT,ristorante
39.602940,16.638500,ov_foodstock__69_39.6029_16.6385,Foodstock '69,RESTAURANT,bar_cafe
39.574924,16.635634,ov_museo_diocesano_e_del_codex_39.5749_16.6356,Museo Diocesano E Del Codex,MUSEUM,monumento
