# lat,lng,id,name,building_type,type,url,page_type
# Kranjska Gora -- Tutti
46.485389,13.782413,ov_zdravstveni_dom_kranjska_gora_46.4854_13.7824,Zdravstveni dom Kranjska Gora,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/zdravstveni_dom_kranjska_gora_46.4854_13.7824.json,custom
46.432528,13.747623,ov_po_tarski_dom_na_vr_i_u_46.4325_13.7476,Poštarski dom na Vršiču,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/potarski_dom_na_vriu_46.4325_13.7476.json,custom
46.432800,13.744200,ov_ti_arjev_dom_46.4328_13.7442,Tičarjev Dom,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/tiarjev_dom_46.4328_13.7442.json,custom
46.439122,13.749429,ov_erjav_eva_ko_a_46.4391_13.7494,Erjavčeva koča,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/erjaveva_koa_46.4391_13.7494.json,custom
46.490951,13.745227,ov_pehta_46.4910_13.7452,Pehta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/pehta_46.4910_13.7452.json,custom
46.518741,13.751473,ov_gasthaus_am_wurzenpass_46.5187_13.7515,Gasthaus am Wurzenpass,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/gasthaus_am_wurzenpass_46.5187_13.7515.json,custom
46.494639,13.720049,ov_guesthouse_uh_kavalar_46.4946_13.7200,Guesthouse UH Kavalar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/guesthouse_uh_kavalar_46.4946_13.7200.json,custom
46.497952,13.716520,ov_gosti__e_pri__erjavu_46.4980_13.7165,Gostišče pri Žerjavu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/gostie_pri_erjavu_46.4980_13.7165.json,custom
46.497523,13.712205,ov_gosti__e_vila_moj_mir_46.4975_13.7122,Gostišče Vila Moj Mir,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/gostie_vila_moj_mir_46.4975_13.7122.json,custom
46.495630,13.714082,ov_gostilna__erjav_46.4956_13.7141,Gostilna Žerjav,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/gostilna_erjav_46.4956_13.7141.json,custom
46.497296,13.704346,ov_border_italia_slovenia_46.4973_13.7043,Border Italia Slovenia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/border_italia_slovenia_46.4973_13.7043.json,custom
46.467358,13.929373,ov_gostilna_veranda_46.4674_13.9294,Gostilna Veranda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/gostilna_veranda_46.4674_13.9294.json,custom
46.494220,13.785336,ov_gostilna_srnjak_46.4942_13.7853,Gostilna Srnjak,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/gostilna_srnjak_46.4942_13.7853.json,custom
46.486339,13.783437,ov_figo_gourmet_kranjska_gora_46.4863_13.7834,FIGO GOURMET Kranjska Gora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/figo_gourmet_kranjska_gora_46.4863_13.7834.json,custom
46.486788,13.786078,ov_hotel_lipa_kranjska_gora_46.4868_13.7861,Hotel LIPA Kranjska Gora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/hotel_lipa_kranjska_gora_46.4868_13.7861.json,custom
46.484691,13.786063,ov_pizzeria_pino_46.4847_13.7861,Pizzeria Pino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/pizzeria_pino_46.4847_13.7861.json,custom
46.484786,13.785761,ov_taverna_restavragija___kranjska_gora_46.4848_13.7858,Taverna Restavragija - Kranjska Gora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/taverna_restavragija_-_kranjska_gora_46.4848_13.7858.json,custom
46.484515,13.785604,ov_gostilna_viktor_pizzeria_46.4845_13.7856,Gostilna Viktor Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/gostilna_viktor_pizzeria_46.4845_13.7856.json,custom
46.483965,13.784978,ov_gostilna_cvitar_46.4840_13.7850,Gostilna Cvitar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/gostilna_cvitar_46.4840_13.7850.json,custom
46.482650,13.783266,ov_himalaya_gorkha_kitchen_46.4827_13.7833,Himalaya Gorkha Kitchen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/himalaya_gorkha_kitchen_46.4827_13.7833.json,custom
46.484188,13.783573,ov_alebon_46.4842_13.7836,Alebon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/alebon_46.4842_13.7836.json,custom
46.484551,13.782501,ov_pizzerija_napoli_46.4846_13.7825,Pizzerija Napoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/pizzerija_napoli_46.4846_13.7825.json,custom
46.483660,13.782870,ov_gostilna_bor_46.4837_13.7829,Gostilna Bor,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/gostilna_bor_46.4837_13.7829.json,custom
46.484690,13.781580,ov_golf_klub_kranjska_gora_46.4847_13.7816,Golf Klub Kranjska Gora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/golf_klub_kranjska_gora_46.4847_13.7816.json,custom
46.483527,13.780528,ov_okrep_evalnica_la_ni_kekec_46.4835_13.7805,Okrepčevalnica Lačni Kekec,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/okrepevalnica_lani_kekec_46.4835_13.7805.json,custom
46.486271,13.776560,ov_bedanc_pizza_and_bbq_46.4863_13.7766,Bedanc Pizza and BBQ,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/bedanc_pizza_and_bbq_46.4863_13.7766.json,custom
46.485810,13.777850,ov_kralj_matja__46.4858_13.7779,Kralj Matjaž,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/kralj_matja_46.4858_13.7779.json,custom
46.485369,13.778847,ov_o_tarija_kranjska_gora_46.4854_13.7788,Oštarija Kranjska Gora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/otarija_kranjska_gora_46.4854_13.7788.json,custom
46.485443,13.779716,ov_gostilna___pizzerija_bor__kranjska_gora_46.4854_13.7797,"Gostilna & pizzerija Bor, Kranjska Gora",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/gostilna_pizzerija_bor_kranjska_gora_46.4854_13.7797.json,custom
46.486260,13.779720,ov_bistro_kompas_46.4863_13.7797,Bistro Kompas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/bistro_kompas_46.4863_13.7797.json,custom
46.489298,13.769422,ov_brunarica_kosobrin_46.4893_13.7694,Brunarica Kosobrin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/brunarica_kosobrin_46.4893_13.7694.json,custom
46.476067,13.759790,ov_moj_in_dom_na_vitrancu_46.4761_13.7598,Mojčin Dom Na Vitrancu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/mojin_dom_na_vitrancu_46.4761_13.7598.json,custom
46.475112,13.784728,ov_mama_marija_46.4751_13.7847,Mama Marija,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/mama_marija_46.4751_13.7847.json,custom
46.475130,13.784810,ov_restaurant_milka_46.4751_13.7848,Restaurant Milka,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/restaurant_milka_46.4751_13.7848.json,custom
46.487715,13.790010,ov_shangai_cinese_kranjska_gora_46.4877_13.7900,Shangai Cinese Kranjska Gora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/shangai_cinese_kranjska_gora_46.4877_13.7900.json,custom
46.486680,13.804521,ov_maraton_pizzeria_46.4867_13.8045,Maraton Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/maraton_pizzeria_46.4867_13.8045.json,custom
46.487323,13.805603,ov_magic_story_46.4873_13.8056,Magic Story,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/magic_story_46.4873_13.8056.json,custom
46.487331,13.805588,ov_la_stella_46.4873_13.8056,La Stella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/la_stella_46.4873_13.8056.json,custom
46.484105,13.832137,ov_gostilna_jo_ica_46.4841_13.8321,Gostilna Jožica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/gostilna_joica_46.4841_13.8321.json,custom
46.481690,13.828899,ov_na_pastaj__46.4817_13.8289,Na Pastaj’,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/na_pastaj_46.4817_13.8289.json,custom
46.439491,13.762555,ov_ko_a_na_gozdu_46.4395_13.7626,Koča na Gozdu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/koa_na_gozdu_46.4395_13.7626.json,custom
46.432298,13.787786,ov_koca_v_krnici_46.4323_13.7878,Koca V Krnici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/koca_v_krnici_46.4323_13.7878.json,custom
46.457794,13.935716,ov_hostel_in_picerija__pajza_46.4578_13.9357,Hostel in picerija Špajza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/hostel_in_picerija_pajza_46.4578_13.9357.json,custom
46.460503,13.938612,ov_picerija_kot_46.4605_13.9386,Picerija Kot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/picerija_kot_46.4605_13.9386.json,custom
46.485443,13.779716,osm_tavern___pizzeria_bor_46.4854_13.7797,Tavern & Pizzeria Bor,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/tavern_pizzeria_bor_46.4854_13.7797.json,custom
46.486278,13.776555,osm_bedanc_46.4863_13.7766,Bedanc,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/bedanc_46.4863_13.7766.json,custom
46.483703,13.762141,osm_bedan_ev_dom_46.4837_13.7621,Bedančev dom,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/bedanev_dom_46.4837_13.7621.json,custom
46.486795,13.786096,osm_hotel_lipa_46.4868_13.7861,Hotel Lipa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/hotel_lipa_46.4868_13.7861.json,custom
46.487301,13.787457,osm_mama_marija_restaurant_46.4873_13.7875,Mama Marija Restaurant,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/mama_marija_restaurant_46.4873_13.7875.json,custom
46.483447,13.780652,osm_okrep_evalnica_la_ni_kekec_46.4834_13.7807,Okrepčevalnica Lačni Kekec,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/okrepevalnica_lani_kekec_46.4834_13.7807.json,custom
46.485493,13.788027,osm_gostilna_pri_martinu_46.4855_13.7880,Gostilna pri Martinu,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/gostilna_pri_martinu_46.4855_13.7880.json,custom
46.484045,13.785017,osm_pinoalpino_46.4840_13.7850,Pinoalpino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/pinoalpino_46.4840_13.7850.json,custom
46.494298,13.734384,osm_gostilna_zelenci_46.4943_13.7344,Gostilna Zelenci,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/gostilna_zelenci_46.4943_13.7344.json,custom
46.494293,13.734291,ov_gostilna_zelenci_46.4943_13.7343,Gostilna Zelenci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/gostilna_zelenci_46.4943_13.7343.json,custom
46.464948,13.945482,ov_hram_pri_alja_u_46.4649_13.9455,Hram pri Aljažu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/hram_pri_aljau_46.4649_13.9455.json,custom
46.466760,13.932170,ov_kolesarsko_postajali__e_son_ek_46.4668_13.9322,Kolesarsko Postajališče Sonček,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/kolesarsko_postajalie_sonek_46.4668_13.9322.json,custom
46.475335,13.886929,ov_bar__po_ivali__e_lu_ka_46.4753_13.8869,"Bar, počivališče Lučka",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/bar_poivalie_luka_46.4753_13.8869.json,custom
46.487270,13.787390,ov_vino_in_skipass_46.4873_13.7874,Vino in Skipass,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/vino_in_skipass_46.4873_13.7874.json,custom
46.484458,13.785578,ov_bar_pristavec_46.4845_13.7856,Bar Pristavec,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/bar_pristavec_46.4845_13.7856.json,custom
46.484150,13.783200,ov_alpine_spot_46.4841_13.7832,Alpine spot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/alpine_spot_46.4841_13.7832.json,custom
46.484480,13.783830,ov_apartma_majki__46.4845_13.7838,Apartma Majkić,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/apartma_majki_46.4845_13.7838.json,custom
46.484424,13.783814,ov_kasabrin_46.4844_13.7838,Kasabrin,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/kasabrin_46.4844_13.7838.json,custom
46.484718,13.783120,ov_ex_bar_kranjska_gora_46.4847_13.7831,Ex Bar Kranjska Gora,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/ex_bar_kranjska_gora_46.4847_13.7831.json,custom
46.484896,13.781304,ov_vopa_pub_46.4849_13.7813,Vopa Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/vopa_pub_46.4849_13.7813.json,custom
46.484973,13.778318,ov_to_ka_46.4850_13.7783,Točka,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/toka_46.4850_13.7783.json,custom
46.485879,13.777902,ov_sporty_bar_46.4859_13.7779,Sporty bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/sporty_bar_46.4859_13.7779.json,custom
46.475604,13.783528,ov_jasna_alpska_pla_a_46.4756_13.7835,Jasna Alpska Plaža,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/jasna_alpska_plaa_46.4756_13.7835.json,custom
46.487039,13.789411,ov_zlata_kaplca_bike_bar_46.4870_13.7894,Zlata Kaplca Bike Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/zlata_kaplca_bike_bar_46.4870_13.7894.json,custom
46.460456,13.963381,ov_topolino_46.4605_13.9634,Topolino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/topolino_46.4605_13.9634.json,custom
46.484135,13.783177,osm_kavarna_sport_point_46.4841_13.7832,Kavarna Sport point,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/kranjska_gora/pages/kavarna_sport_point_46.4841_13.7832.json,custom
