# lat,lng,id,name,building_type,type,url,page_type
# Martinengo -- Tutti
45.574922,9.773845,ov_pasticceria_antico_borgo_bakery_45.5749_9.7738,Pasticceria Antico Borgo Bakery,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/martinengo/pages/pasticceria_antico_borgo_bakery_45.5749_9.7738.json,custom
45.089036,11.250000,ov_flaro_ghilardi_merisio_45.0890_11.2500,FlaRo Ghilardi Merisio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/martinengo/pages/flaro_ghilardi_merisio_45.0890_11.2500.json,custom
45.580113,9.748342,ov_paintball_bergamo_45.5801_9.7483,Paintball Bergamo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/martinengo/pages/paintball_bergamo_45.5801_9.7483.json,custom
45.574572,9.759368,ov_dimora_yoga_martinengo_45.5746_9.7594,Dimora Yoga Martinengo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/martinengo/pages/dimora_yoga_martinengo_45.5746_9.7594.json,custom
45.574782,9.748265,ov_centro_sportivo_comunale_il_tiro_45.5748_9.7483,Centro Sportivo Comunale Il Tiro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/martinengo/pages/centro_sportivo_comunale_il_tiro_45.5748_9.7483.json,custom
45.569094,9.772989,ov_palestra_pallacanestro_martinengo_45.5691_9.7730,Palestra Pallacanestro Martinengo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/martinengo/pages/palestra_pallacanestro_martinengo_45.5691_9.7730.json,custom
45.569334,9.776320,ov_spazio_casalul__45.5693_9.7763,Spazio Casalulè,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/martinengo/pages/spazio_casalul_45.5693_9.7763.json,custom
45.573967,9.775497,ov_nexfit_martingengo_45.5740_9.7755,Nexfit Martingengo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/martinengo/pages/nexfit_martingengo_45.5740_9.7755.json,custom
45.545402,9.781002,ov_una_piazza_per_giocare_e_per_leggere_ass_45.5454_9.7810,Una piazza per giocare e per leggere associazione,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/martinengo/pages/una_piazza_per_giocare_e_per_leggere_ass_45.5454_9.7810.json,custom
45.569160,9.767740,ov_biblioteca_comunale_di_martinengo_45.5692_9.7677,Biblioteca comunale di Martinengo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/martinengo/pages/biblioteca_comunale_di_martinengo_45.5692_9.7677.json,custom
