# lat,lng,id,name,building_type,type,url,page_type
# Mestre -- Tutti
45.514432,12.224177,osm_pronto_soccorso_ospedale_dell_angelo_45.5144_12.2242,Pronto Soccorso Ospedale dell'Angelo,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mestre/pages/pronto_soccorso_ospedale_dellangelo_45.5144_12.2242.json,custom
45.510895,12.230722,ov_sakura_japanese_restaurant_45.5109_12.2307,Sakura Japanese Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mestre/pages/sakura_japanese_restaurant_45.5109_12.2307.json,custom
45.518931,12.229147,ov_mcdonald_s_45.5189_12.2291,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mestre/pages/mcdonalds_45.5189_12.2291.json,custom
45.517698,12.237565,ov_burger_king___mestre_45.5177_12.2376,Burger King - Mestre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mestre/pages/burger_king_-_mestre_45.5177_12.2376.json,custom
45.504761,12.217223,ov_ristorante_villa_barbarich_45.5048_12.2172,Ristorante Villa Barbarich,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mestre/pages/ristorante_villa_barbarich_45.5048_12.2172.json,custom
45.503778,12.256430,ov_pizzalonga_away_mestre___via_san_don__45.5038_12.2564,Pizzalonga Away Mestre - Via San Donà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mestre/pages/pizzalonga_away_mestre_-_via_san_don_45.5038_12.2564.json,custom
45.500315,12.234115,ov_amburgheria___mestre_45.5003_12.2341,Amburgheria - Mestre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mestre/pages/amburgheria_-_mestre_45.5003_12.2341.json,custom
45.503976,12.263089,osm_pizzeria_da_michele_45.5040_12.2631,Pizzeria da Michele,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mestre/pages/pizzeria_da_michele_45.5040_12.2631.json,custom
45.513454,12.228442,osm_galivm_45.5135_12.2284,Galivm,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mestre/pages/galivm_45.5135_12.2284.json,custom
45.515017,12.238624,osm_amburgheria_45.5150_12.2386,Amburgheria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mestre/pages/amburgheria_45.5150_12.2386.json,custom
45.504867,12.250507,osm_osteria_da_luca_45.5049_12.2505,Osteria Da Luca,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mestre/pages/osteria_da_luca_45.5049_12.2505.json,custom
45.508989,12.239472,osm_vineria_da_fulvio_45.5090_12.2395,Vineria da Fulvio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mestre/pages/vineria_da_fulvio_45.5090_12.2395.json,custom
45.509087,12.254570,osm_sunflower_45.5091_12.2546,Sunflower,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mestre/pages/sunflower_45.5091_12.2546.json,custom
45.510468,12.235277,osm_virgin_active_45.5105_12.2353,Virgin Active,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mestre/pages/virgin_active_45.5105_12.2353.json,custom
