# lat,lng,id,name,building_type,type,url,page_type
# Verzuolo -- Tutti
44.601832,7.481438,osm_a_s_l__cn1___avis_44.6018_7.4814,A.S.L. CN1 - Avis,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/asl_cn1_-_avis_44.6018_7.4814.json,custom
44.602678,7.510211,ov_ristorante_la_mezzaluna_44.6027_7.5102,Ristorante La Mezzaluna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/ristorante_la_mezzaluna_44.6027_7.5102.json,custom
44.598351,7.513311,ov_la_vecchia_trattoria_del_castello_44.5984_7.5133,La Vecchia Trattoria del Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/la_vecchia_trattoria_del_castello_44.5984_7.5133.json,custom
44.597381,7.501914,ov_osteria_cicconi_44.5974_7.5019,Osteria Cicconi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/osteria_cicconi_44.5974_7.5019.json,custom
44.601373,7.478787,ov_ristorante_la_scala_44.6014_7.4788,Ristorante La Scala,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/ristorante_la_scala_44.6014_7.4788.json,custom
44.600660,7.482360,ov_quattrogatti_verzuolo_44.6007_7.4824,Quattrogatti Verzuolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/quattrogatti_verzuolo_44.6007_7.4824.json,custom
44.600480,7.480229,ov_ristorante_vineria_palazzo_drago_44.6005_7.4802,Ristorante Vineria Palazzo Drago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/ristorante_vineria_palazzo_drago_44.6005_7.4802.json,custom
44.599338,7.483375,ov_artigiani_della_pizza_44.5993_7.4834,artigiani della pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/artigiani_della_pizza_44.5993_7.4834.json,custom
44.599259,7.483137,ov_la_scala_44.5993_7.4831,La Scala,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/la_scala_44.5993_7.4831.json,custom
44.599007,7.482809,ov_pizza___kebab_fly_44.5990_7.4828,Pizza & Kebab Fly,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/pizza_kebab_fly_44.5990_7.4828.json,custom
44.597420,7.483272,ov_pizzeria_happy_days_di_ferraris_giampier_44.5974_7.4833,Pizzeria Happy Days di Ferraris Giampiero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/verzuolo/pages/pizzeria_happy_days_di_ferraris_giampier_44.5974_7.4833.json,custom
