# lat,lng,id,name,building_type,type,url,page_type
# Barano d'Ischia -- Tutti
40.716690,13.929530,ov_centro_senologico_ischitano_40.7167_13.9295,Centro Senologico Ischitano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/centro_senologico_ischitano_40.7167_13.9295.json,custom
40.701548,13.898250,ov_agriturismo_ristorante_il_giardino_del_n_40.7015_13.8983,Agriturismo Ristorante Il Giardino del Nonno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/agriturismo_ristorante_il_giardino_del_n_40.7015_13.8983.json,custom
40.701214,13.899216,ov_ristorante_da_nicola_fumarole_40.7012_13.8992,Ristorante Da Nicola Fumarole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/ristorante_da_nicola_fumarole_40.7012_13.8992.json,custom
40.702510,13.903480,ov_cava_del_fresco_40.7025_13.9035,Cava del Fresco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/cava_del_fresco_40.7025_13.9035.json,custom
40.702827,13.903515,ov_taverna_pietro_paolo_detto_stalino_40.7028_13.9035,Taverna Pietro Paolo Detto Stalino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/taverna_pietro_paolo_detto_stalino_40.7028_13.9035.json,custom
40.704898,13.901566,ov_la_jesca_prima_di_ischia_40.7049_13.9016,La Jesca prima di Ischia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/la_jesca_prima_di_ischia_40.7049_13.9016.json,custom
40.715730,13.910823,ov_ristorante_il_brigante_40.7157_13.9108,Ristorante IL Brigante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/ristorante_il_brigante_40.7157_13.9108.json,custom
40.715220,13.910748,ov_don_enzo_40.7152_13.9107,Don Enzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/don_enzo_40.7152_13.9107.json,custom
40.735507,13.922047,ov_trattoria_il_focolare_40.7355_13.9220,Trattoria Il Focolare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/trattoria_il_focolare_40.7355_13.9220.json,custom
40.722310,13.924408,ov_ristorante_il_borghetto_40.7223_13.9244,Ristorante Il Borghetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/ristorante_il_borghetto_40.7223_13.9244.json,custom
40.711449,13.924188,ov_barano_d_ischia_40.7114_13.9242,Barano D'Ischia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/barano_dischia_40.7114_13.9242.json,custom
40.700000,13.916700,ov_pensione_ristorante_zi_bak_40.7000_13.9167,Pensione Ristorante Zi Bak,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/pensione_ristorante_zi_bak_40.7000_13.9167.json,custom
40.701870,13.917641,ov_ristorante_pizzeria_onda_verde_40.7019_13.9176,Ristorante Pizzeria Onda Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/ristorante_pizzeria_onda_verde_40.7019_13.9176.json,custom
40.708580,13.920270,ov_falegnameria_am_legno_40.7086_13.9203,Falegnameria AM LEGNO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/falegnameria_am_legno_40.7086_13.9203.json,custom
40.701162,13.910656,ov_lido_sammy_40.7012_13.9107,Lido Sammy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/lido_sammy_40.7012_13.9107.json,custom
40.701431,13.908828,ov_ristorante_pallone_40.7014_13.9088,Ristorante Pallone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/ristorante_pallone_40.7014_13.9088.json,custom
40.701228,13.909590,ov_nuovo_tropical_40.7012_13.9096,Nuovo Tropical,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/nuovo_tropical_40.7012_13.9096.json,custom
40.700958,13.911130,ov_ristorante_bar_da_mario_40.7010_13.9111,Ristorante Bar Da Mario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/ristorante_bar_da_mario_40.7010_13.9111.json,custom
40.700930,13.911889,ov_ristorante_il_faro_40.7009_13.9119,Ristorante IL FARO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/ristorante_il_faro_40.7009_13.9119.json,custom
40.700613,13.912906,ov_bar_ristorante_ida_40.7006_13.9129,Bar Ristorante Ida,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/bar_ristorante_ida_40.7006_13.9129.json,custom
40.700648,13.912528,ov_ottomano_40.7006_13.9125,Ottomano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/ottomano_40.7006_13.9125.json,custom
40.706923,13.939557,ov_la_pace_40.7069_13.9396,La Pace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/barano_dischia/pages/la_pace_40.7069_13.9396.json,custom
