# lat,lng,id,name,building_type,type,url,page_type
# andalo -- Tutti
46.163770,11.003223,osm_guardia_medica_e_punto_prelievi_46.1638_11.0032,Guardia Medica e Punto Prelievi,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/guardia_medica_e_punto_prelievi_46.1638_11.0032.json,custom
46.172016,11.008333,ov_ristorante_pizzeria_andel_haus_46.1720_11.0083,Ristorante Pizzeria ANDEL HAUS,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/ristorante_pizzeria_andel_haus_46.1720_11.0083.json,custom
46.171000,11.007652,ov_ristorante_madia_46.1710_11.0077,Ristorante Madia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/ristorante_madia_46.1710_11.0077.json,custom
46.166475,11.005299,ov_ristorante_trattoria_al_faggio_46.1665_11.0053,Ristorante Trattoria Al Faggio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/ristorante_trattoria_al_faggio_46.1665_11.0053.json,custom
46.165813,11.007786,ov_pizzeria_ristorante_grill_46.1658_11.0078,Pizzeria Ristorante Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/pizzeria_ristorante_grill_46.1658_11.0078.json,custom
46.162780,11.008320,ov_terrazzasulledolomiti_46.1628_11.0083,TerrazzasulleDolomiti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/terrazzasulledolomiti_46.1628_11.0083.json,custom
46.161366,11.007508,ov_le_rindole_46.1614_11.0075,Le Rindole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/le_rindole_46.1614_11.0075.json,custom
46.153105,11.016188,ov_rifugio_dosson_46.1531_11.0162,Rifugio Dosson,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/rifugio_dosson_46.1531_11.0162.json,custom
46.150202,10.996514,ov_chalet_forst_46.1502_10.9965,Chalet Forst,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/chalet_forst_46.1502_10.9965.json,custom
46.161373,11.001650,ov_agritur_maso_grezi_46.1614_11.0016,Agritur Maso Grezi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/agritur_maso_grezi_46.1614_11.0016.json,custom
46.163108,11.003287,ov_la_marenda_46.1631_11.0033,La Marenda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/andalo/pages/la_marenda_46.1631_11.0033.json,custom
