# lat,lng,id,name,building_type,type,url,page_type
# santo_stefano_quisquina -- Tutti
37.632839,13.475616,ov_clinica_attardi_37.6328_13.4756,Clinica Attardi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santo_stefano_quisquina/pages/clinica_attardi_37.6328_13.4756.json,custom
37.598769,13.535848,ov_borgo_buonanotte_37.5988_13.5358,Borgo Buonanotte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santo_stefano_quisquina/pages/borgo_buonanotte_37.5988_13.5358.json,custom
37.612836,13.516602,ov_agriturismo_serra_moneta_37.6128_13.5166,Agriturismo Serra Moneta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santo_stefano_quisquina/pages/agriturismo_serra_moneta_37.6128_13.5166.json,custom
37.616585,13.507092,ov_ristorante_pizzeria_belvedere_37.6166_13.5071,Ristorante Pizzeria Belvedere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santo_stefano_quisquina/pages/ristorante_pizzeria_belvedere_37.6166_13.5071.json,custom
37.622734,13.490813,ov_tahini_37.6227_13.4908,Tahini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santo_stefano_quisquina/pages/tahini_37.6227_13.4908.json,custom
37.622827,13.491076,ov_al_giardino_37.6228_13.4911,Al Giardino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santo_stefano_quisquina/pages/al_giardino_37.6228_13.4911.json,custom
37.628833,13.488494,ov_acquarius_37.6288_13.4885,Acquarius,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santo_stefano_quisquina/pages/acquarius_37.6288_13.4885.json,custom
37.626533,13.489238,ov_bar_pizzeria_spallino_37.6265_13.4892,Bar Pizzeria Spallino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santo_stefano_quisquina/pages/bar_pizzeria_spallino_37.6265_13.4892.json,custom
37.624655,13.491183,ov_pi_greco_37.6247_13.4912,Pi Greco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santo_stefano_quisquina/pages/pi_greco_37.6247_13.4912.json,custom
37.624774,13.491345,ov_blu_bar_37.6248_13.4913,Blu Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santo_stefano_quisquina/pages/blu_bar_37.6248_13.4913.json,custom
37.625150,13.490520,ov_nicol__bar_pasticceria_rosticceria_gelat_37.6251_13.4905,Nicolò Bar Pasticceria Rosticceria Gelateria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santo_stefano_quisquina/pages/nicol_bar_pasticceria_rosticceria_gelate_37.6251_13.4905.json,custom
37.624741,13.490892,ov_cai_dei_monti_sicani___ssez__di_santo_st_37.6247_13.4909,CAI dei Monti Sicani - SSez. di Santo Stefano Quisquina - Se,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santo_stefano_quisquina/pages/cai_dei_monti_sicani_-_ssez_di_santo_ste_37.6247_13.4909.json,custom
37.624714,13.490889,ov_biblioteca_comunale_santo_stefano_quisqu_37.6247_13.4909,Biblioteca Comunale Santo Stefano Quisquina Giordano Ansalon,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santo_stefano_quisquina/pages/biblioteca_comunale_santo_stefano_quisqu_37.6247_13.4909.json,custom
