# lat,lng,id,name,building_type,type,url,page_type
# baronissi -- Tutti
40.753040,14.772022,ov_asl_salerno_40.7530_14.7720,ASL Salerno,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/asl_salerno_40.7530_14.7720.json,custom
40.745834,14.770939,ov_pizzeria_vittoria_40.7458_14.7709,Pizzeria Vittoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/pizzeria_vittoria_40.7458_14.7709.json,custom
40.744829,14.768344,ov___storia___cucina_a_tipica_e_tradizional_40.7448_14.7683,à Storia - Cucina A'Tipica e Tradizionale Campana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/_storia_-_cucina_atipica_e_tradizionale__40.7448_14.7683.json,custom
40.744360,14.767630,ov_villa_farina___baronissi_40.7444_14.7676,Villa Farina - Baronissi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/villa_farina_-_baronissi_40.7444_14.7676.json,custom
40.743759,14.766727,ov_l_osteria_re_baccala_40.7438_14.7667,L'Osteria Re Baccala,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/losteria_re_baccala_40.7438_14.7667.json,custom
40.743422,14.771186,ov_pomo_d_oro_pizzeria_trattoria_40.7434_14.7712,Pomo D'Oro Pizzeria Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/pomo_doro_pizzeria_trattoria_40.7434_14.7712.json,custom
40.743279,14.771133,ov_pizzeria___jamm_ja__40.7433_14.7711,Pizzeria   Jamm'Ja',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/pizzeria_jammja_40.7433_14.7711.json,custom
40.753892,14.770550,ov_mirko_s_pizza_40.7539_14.7705,Mirko's Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/mirkos_pizza_40.7539_14.7705.json,custom
40.756779,14.783530,ov_8_burger_40.7568_14.7835,8 Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/8_burger_40.7568_14.7835.json,custom
40.753244,14.780710,ov_casareccio_40.7532_14.7807,Casareccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/casareccio_40.7532_14.7807.json,custom
40.752410,14.773050,ov_alimentari_da_sasa_40.7524_14.7730,Alimentari Da SASA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/alimentari_da_sasa_40.7524_14.7730.json,custom
40.752329,14.772801,ov_giannetto_burger_40.7523_14.7728,Giannetto Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/giannetto_burger_40.7523_14.7728.json,custom
40.752438,14.772343,ov_fratelli_panzarotto_40.7524_14.7723,Fratelli Panzarotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/fratelli_panzarotto_40.7524_14.7723.json,custom
40.751050,14.772392,ov_pizzeria_rosticceria_romana_40.7511_14.7724,Pizzeria Rosticceria Romana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/pizzeria_rosticceria_romana_40.7511_14.7724.json,custom
40.751100,14.772180,ov_pescheria_da_giustin_40.7511_14.7722,Pescheria Da Giustin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/pescheria_da_giustin_40.7511_14.7722.json,custom
40.750841,14.779055,ov_empire_club_40.7508_14.7791,Empire Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/empire_club_40.7508_14.7791.json,custom
40.754671,14.785640,ov_ristorante_la_sfera_40.7547_14.7856,Ristorante La Sfera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/ristorante_la_sfera_40.7547_14.7856.json,custom
40.727354,14.772610,ov_life_cafe_40.7274_14.7726,Life Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/life_cafe_40.7274_14.7726.json,custom
40.729122,14.773597,ov_mami_s_place_food_and_coffee_40.7291_14.7736,Mami's Place Food and Coffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/mamis_place_food_and_coffee_40.7291_14.7736.json,custom
40.735820,14.774427,ov_didiesse_frog_salerno_apeservice_40.7358_14.7744,Didiesse Frog Salerno Apeservice,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/didiesse_frog_salerno_apeservice_40.7358_14.7744.json,custom
40.736235,14.778501,ov_civico_53_cafe_40.7362_14.7785,Civico 53 Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/civico_53_cafe_40.7362_14.7785.json,custom
40.742956,14.774926,ov_bar_agora_american_bar_40.7430_14.7749,Bar Agora American Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/bar_agora_american_bar_40.7430_14.7749.json,custom
40.742806,14.772180,ov_pub_birstro__2_0_40.7428_14.7722,Pub Birstro' 2.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/pub_birstro_20_40.7428_14.7722.json,custom
40.743850,14.771730,ov_napoli_gomme_40.7439_14.7717,Napoli GOMME,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/napoli_gomme_40.7439_14.7717.json,custom
40.744324,14.771500,ov_bar_diamante_40.7443_14.7715,Bar Diamante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/bar_diamante_40.7443_14.7715.json,custom
40.747502,14.774993,ov_l_altrobar_40.7475_14.7750,L'Altrobar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/laltrobar_40.7475_14.7750.json,custom
40.746159,14.777865,ov_al_bar__19_40.7462_14.7779,Al Bar '19,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/al_bar_19_40.7462_14.7779.json,custom
40.746190,14.776576,ov_dolce_amaro_40.7462_14.7766,Dolce amaro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/dolce_amaro_40.7462_14.7766.json,custom
40.747063,14.771332,ov_d_bar_baronissi_40.7471_14.7713,D'Bar Baronissi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/dbar_baronissi_40.7471_14.7713.json,custom
40.746618,14.772289,ov_de_simone_sas_di_de_simone_marcello___c__40.7466_14.7723,De Simone SAS di De Simone Marcello & C.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/de_simone_sas_di_de_simone_marcello_c_40.7466_14.7723.json,custom
40.749529,14.776857,ov_bar_s_francesco_sas_40.7495_14.7769,Bar S.Francesco SAS,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/bar_sfrancesco_sas_40.7495_14.7769.json,custom
40.749959,14.775694,ov_bar_s__francesco_40.7500_14.7757,Bar S. Francesco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/bar_s_francesco_40.7500_14.7757.json,custom
40.750033,14.771874,ov_naif_cafe_40.7500_14.7719,Naif Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/naif_cafe_40.7500_14.7719.json,custom
40.750114,14.771633,ov_la_cantina_di_pinocchio_40.7501_14.7716,La Cantina di Pinocchio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/la_cantina_di_pinocchio_40.7501_14.7716.json,custom
40.749372,14.769637,ov_balance_cafe_40.7494_14.7696,Balance Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/balance_cafe_40.7494_14.7696.json,custom
40.746685,14.768743,ov_sapore_divino_enoteca_40.7467_14.7687,Sapore Divino Enoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/sapore_divino_enoteca_40.7467_14.7687.json,custom
40.746963,14.768835,ov_caffetteria_miami_40.7470_14.7688,Caffetteria Miami,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/caffetteria_miami_40.7470_14.7688.json,custom
40.746680,14.770483,ov_al_caff__40.7467_14.7705,Al Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/al_caff_40.7467_14.7705.json,custom
40.746656,14.770458,ov_gran_caffe_garibaldi_40.7467_14.7705,Gran Caffe Garibaldi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/gran_caffe_garibaldi_40.7467_14.7705.json,custom
40.744796,14.770682,ov_la_bottega_del_dolce_e_caffe_40.7448_14.7707,La Bottega Del Dolce e Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/la_bottega_del_dolce_e_caffe_40.7448_14.7707.json,custom
40.744432,14.770725,ov_bar_pasticceria_naddeo_40.7444_14.7707,Bar Pasticceria Naddeo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/bar_pasticceria_naddeo_40.7444_14.7707.json,custom
40.753240,14.769698,ov_cufu__fritti_e_sfizi_siciliani_e_campani_40.7532_14.7697,Cufu' Fritti e Sfizi Siciliani e Campani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/cufu_fritti_e_sfizi_siciliani_e_campani_40.7532_14.7697.json,custom
40.753497,14.770255,ov_dandy_bar_40.7535_14.7703,Dandy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/dandy_bar_40.7535_14.7703.json,custom
40.755592,14.785700,ov_glam_food_drink_fun_40.7556_14.7857,GLAM Food Drink Fun,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/glam_food_drink_fun_40.7556_14.7857.json,custom
40.736197,14.781178,ov_black_box_briganti_40.7362_14.7812,Black Box Briganti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/black_box_briganti_40.7362_14.7812.json,custom
40.738728,14.775787,ov_centro_equestre_madreterra_40.7387_14.7758,Centro Equestre Madreterra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/centro_equestre_madreterra_40.7387_14.7758.json,custom
40.743200,14.772795,ov_asd_flex_gym_40.7432_14.7728,ASD Flex Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/asd_flex_gym_40.7432_14.7728.json,custom
40.745886,14.777928,ov_studio_fitness_funzionalmente_40.7459_14.7779,Studio Fitness Funzionalmente,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/studio_fitness_funzionalmente_40.7459_14.7779.json,custom
40.749751,14.777462,ov_sport_e_salute_palestra_40.7498_14.7775,Sport e Salute Palestra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/sport_e_salute_palestra_40.7498_14.7775.json,custom
40.749980,14.773290,ov_accademia_sportiva_sa_baronissi_40.7500_14.7733,Accademia Sportiva Sa Baronissi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/accademia_sportiva_sa_baronissi_40.7500_14.7733.json,custom
40.748503,14.770746,ov_centro_accademico_danza_di_marina_magurn_40.7485_14.7707,Centro Accademico Danza di Marina Magurno,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/centro_accademico_danza_di_marina_magurn_40.7485_14.7707.json,custom
40.748193,14.769481,ov_akropolis_fitness_center_baronissi_40.7482_14.7695,Akropolis Fitness Center Baronissi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/akropolis_fitness_center_baronissi_40.7482_14.7695.json,custom
40.744930,14.768415,ov_michele_petrone_personal_training_studio_40.7449_14.7684,Michele Petrone Personal Training Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/michele_petrone_personal_training_studio_40.7449_14.7684.json,custom
40.743746,14.771189,ov_danza___danza_40.7437_14.7712,Danza & Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/danza_danza_40.7437_14.7712.json,custom
40.742790,14.764100,ov_campo_sportivo_ss_salvatore_saragnano_40.7428_14.7641,Campo Sportivo Ss.salvatore Saragnano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/campo_sportivo_sssalvatore_saragnano_40.7428_14.7641.json,custom
40.757382,14.770749,ov_un_cuore_a_cavallo_40.7574_14.7707,Un Cuore a Cavallo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/un_cuore_a_cavallo_40.7574_14.7707.json,custom
40.757037,14.790031,ov_asd_flex_skill_40.7570_14.7900,Asd Flex Skill,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/asd_flex_skill_40.7570_14.7900.json,custom
40.755200,14.789600,ov_sm_land_40.7552_14.7896,Småland,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/smland_40.7552_14.7896.json,custom
40.755050,14.783206,ov_street_noise_dance_studio_40.7550_14.7832,Street Noise Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/street_noise_dance_studio_40.7550_14.7832.json,custom
40.754260,14.779593,ov_cus_40.7543_14.7796,Cus,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/cus_40.7543_14.7796.json,custom
40.753100,14.772225,ov_chinesiolab_baronissi_40.7531_14.7722,ChinesioLab Baronissi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/chinesiolab_baronissi_40.7531_14.7722.json,custom
40.749008,14.772511,ov_museo_frac_40.7490_14.7725,Museo FRaC,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/museo_frac_40.7490_14.7725.json,custom
40.745860,14.770802,ov_fonderie_culturali_40.7459_14.7708,Fonderie Culturali,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/baronissi/pages/fonderie_culturali_40.7459_14.7708.json,custom
