# lat,lng,id,name,building_type,type,url,page_type
# Ospedaletto Euganeo -- Tutti
45.224151,11.614473,ov_clinicmed_45.2242_11.6145,ClinicMed,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ospedaletto_euganeo/pages/clinicmed_45.2242_11.6145.json,custom
45.224145,11.616975,ov_mome_45.2241_11.6170,Mome,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ospedaletto_euganeo/pages/mome_45.2241_11.6170.json,custom
45.221778,11.610670,ov_el_canfin_ristorante_pizzeria_45.2218_11.6107,El Canfin ristorante pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ospedaletto_euganeo/pages/el_canfin_ristorante_pizzeria_45.2218_11.6107.json,custom
45.220551,11.609992,ov_pizzeria_pomodoro_45.2206_11.6100,Pizzeria Pomodoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ospedaletto_euganeo/pages/pizzeria_pomodoro_45.2206_11.6100.json,custom
45.222692,11.607004,ov_pizzeria_quattro_stagioni_45.2227_11.6070,Pizzeria Quattro Stagioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ospedaletto_euganeo/pages/pizzeria_quattro_stagioni_45.2227_11.6070.json,custom
45.222494,11.607007,ov_sukiko_45.2225_11.6070,Sukiko,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ospedaletto_euganeo/pages/sukiko_45.2225_11.6070.json,custom
45.223550,11.609776,ov_ristorante_nice_45.2235_11.6098,Ristorante NICE,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ospedaletto_euganeo/pages/ristorante_nice_45.2235_11.6098.json,custom
45.223620,11.599444,ov_sala_da_ballo_stefydance_45.2236_11.5994,Sala da Ballo Stefydance,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ospedaletto_euganeo/pages/sala_da_ballo_stefydance_45.2236_11.5994.json,custom
45.209171,11.605998,ov_bar_pizzeria_porteghetto_45.2092_11.6060,Bar Pizzeria Porteghetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ospedaletto_euganeo/pages/bar_pizzeria_porteghetto_45.2092_11.6060.json,custom
45.222488,11.611275,ov_smanio_bar_45.2225_11.6113,Smanio Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ospedaletto_euganeo/pages/smanio_bar_45.2225_11.6113.json,custom
45.222404,11.610109,ov_why_not_caf__aperitivi_colazioni_pranzi__45.2224_11.6101,"why not cafè aperitivi,colazioni,pranzi veloci",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ospedaletto_euganeo/pages/why_not_caf_aperitivicolazionipranzi_vel_45.2224_11.6101.json,custom
45.222606,11.610064,ov_bar_kundras_45.2226_11.6101,Bar Kundras,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ospedaletto_euganeo/pages/bar_kundras_45.2226_11.6101.json,custom
45.218428,11.603898,ov_bar_sportivo_45.2184_11.6039,Bar Sportivo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ospedaletto_euganeo/pages/bar_sportivo_45.2184_11.6039.json,custom
45.215411,11.620788,ov_bar_sambugaro_orazio_45.2154_11.6208,Bar Sambugaro Orazio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ospedaletto_euganeo/pages/bar_sambugaro_orazio_45.2154_11.6208.json,custom
45.216053,11.621910,ov_bar_orazio_45.2161_11.6219,Bar Orazio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ospedaletto_euganeo/pages/bar_orazio_45.2161_11.6219.json,custom
45.223459,11.611427,ov_patronato_suor_bernardetta_boggian__ospe_45.2235_11.6114,Patronato Suor Bernardetta Boggian- Ospedaletto Euganeo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ospedaletto_euganeo/pages/patronato_suor_bernardetta_boggian-_ospe_45.2235_11.6114.json,custom
45.224450,11.590680,ov_casa_muladhara_45.2244_11.5907,Casa Muladhara,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ospedaletto_euganeo/pages/casa_muladhara_45.2244_11.5907.json,custom
