# lat,lng,id,name,building_type,type,url,page_type
# santa_giusta -- Tutti
39.880007,8.608995,ov_studio_medico_sportivo_santa_giusta_39.8800_8.6090,Studio Medico Sportivo Santa Giusta,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/studio_medico_sportivo_santa_giusta_39.8800_8.6090.json,custom
39.869351,8.561335,ov_seagull_39.8694_8.5613,Seagull,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/seagull_39.8694_8.5613.json,custom
39.870447,8.609668,ov_ristorante_pizzeria_bar_fedal__39.8704_8.6097,Ristorante Pizzeria Bar Fedalì,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/ristorante_pizzeria_bar_fedal_39.8704_8.6097.json,custom
39.870796,8.609413,ov_ittiturismo_su_fassoi_39.8708_8.6094,Ittiturismo Su Fassoi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/ittiturismo_su_fassoi_39.8708_8.6094.json,custom
39.880005,8.607506,ov_ristorante_da_leonardo_39.8800_8.6075,Ristorante da Leonardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/ristorante_da_leonardo_39.8800_8.6075.json,custom
39.885071,8.608149,ov_pizzeria_zia_berta_39.8851_8.6081,Pizzeria Zia Berta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/pizzeria_zia_berta_39.8851_8.6081.json,custom
39.853481,8.555443,ov_stella_marina_chiosco_bar_39.8535_8.5554,Stella Marina Chiosco Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/stella_marina_chiosco_bar_39.8535_8.5554.json,custom
39.888305,8.601826,ov_casabirrapuddu_39.8883_8.6018,CasaBirraPuddu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/casabirrapuddu_39.8883_8.6018.json,custom
39.873200,8.610230,ov_entio_39.8732_8.6102,ENTIO,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/entio_39.8732_8.6102.json,custom
39.879113,8.608310,ov_bar_grillo_39.8791_8.6083,Bar Grillo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/bar_grillo_39.8791_8.6083.json,custom
39.879187,8.608720,ov_plaza_industrial_pub_39.8792_8.6087,Plaza Industrial Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/plaza_industrial_pub_39.8792_8.6087.json,custom
39.884326,8.605561,ov_terrazza_martini_39.8843_8.6056,Terrazza Martini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/terrazza_martini_39.8843_8.6056.json,custom
39.878702,8.609070,osm_bar_da_bonni_39.8787_8.6091,Bar da Bonni,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/bar_da_bonni_39.8787_8.6091.json,custom
39.886154,8.603387,ov_we_fit_39.8862_8.6034,We Fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/we_fit_39.8862_8.6034.json,custom
39.875994,8.612086,ov_laguna_di_santa_giusta_39.8760_8.6121,Laguna di Santa Giusta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/laguna_di_santa_giusta_39.8760_8.6121.json,custom
39.879189,8.609179,ov_selleria_figus_ottavio___oristano_santa__39.8792_8.6092,Selleria Figus Ottavio - Oristano Santa Giusta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/selleria_figus_ottavio_-_oristano_santa__39.8792_8.6092.json,custom
39.880402,8.606886,ov_keep_fit_39.8804_8.6069,Keep Fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/keep_fit_39.8804_8.6069.json,custom
39.877322,8.607356,osm_ufficio_postale_di_santa_giusta_39.8773_8.6074,Ufficio Postale di Santa Giusta,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/ufficio_postale_di_santa_giusta_39.8773_8.6074.json,custom
39.884565,8.605084,ov_biblioteca_comunale_di_santa_giusta_39.8846_8.6051,Biblioteca Comunale di Santa Giusta,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santa_giusta/pages/biblioteca_comunale_di_santa_giusta_39.8846_8.6051.json,custom
