# lat,lng,id,name,building_type,type,url,page_type
# Velo d'Astico -- Tutti
45.798860,11.378170,ov_aesthetic_medical_center_45.7989_11.3782,Aesthetic Medical Center,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/velo_dastico/pages/aesthetic_medical_center_45.7989_11.3782.json,custom
45.796144,11.341162,ov_giorgio_e_flora_ristorante_e_locanda_45.7961_11.3412,Giorgio e Flora Ristorante e Locanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/velo_dastico/pages/giorgio_e_flora_ristorante_e_locanda_45.7961_11.3412.json,custom
45.801131,11.371189,ov_ristorante_pizzeria_cioci_s_45.8011_11.3712,Ristorante Pizzeria Cioci's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/velo_dastico/pages/ristorante_pizzeria_ciocis_45.8011_11.3712.json,custom
45.796948,11.357587,ov_ristorante_montanina_45.7969_11.3576,Ristorante Montanina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/velo_dastico/pages/ristorante_montanina_45.7969_11.3576.json,custom
45.797114,11.357491,osm_ristorante_la_montanina_45.7971_11.3575,Ristorante La Montanina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/velo_dastico/pages/ristorante_la_montanina_45.7971_11.3575.json,custom
45.794249,11.344840,osm_chiocciola_di_bosco_45.7942_11.3448,Chiocciola di Bosco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/velo_dastico/pages/chiocciola_di_bosco_45.7942_11.3448.json,custom
45.782226,11.375139,osm_trattoria_alla_costa_45.7822_11.3751,Trattoria Alla Costa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/velo_dastico/pages/trattoria_alla_costa_45.7822_11.3751.json,custom
45.791230,11.352740,ov_ostaria_sotto_la_pria_45.7912_11.3527,Ostaria Sotto la Pria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/velo_dastico/pages/ostaria_sotto_la_pria_45.7912_11.3527.json,custom
45.792338,11.349090,ov_divin_cafe_45.7923_11.3491,Divin Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/velo_dastico/pages/divin_cafe_45.7923_11.3491.json,custom
45.800493,11.372562,ov_hope_colazioni_e_aperitivi_45.8005_11.3726,HOPE colazioni e aperitivi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/velo_dastico/pages/hope_colazioni_e_aperitivi_45.8005_11.3726.json,custom
45.788701,11.366072,ov_lucky_red_di_calgaro_giuliano_45.7887_11.3661,Lucky Red Di Calgaro Giuliano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/velo_dastico/pages/lucky_red_di_calgaro_giuliano_45.7887_11.3661.json,custom
45.788880,11.367060,ov_biblioteca_velo_d_astico_45.7889_11.3671,Biblioteca Velo d'Astico,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/velo_dastico/pages/biblioteca_velo_dastico_45.7889_11.3671.json,custom
45.789084,11.366311,osm_biblioteca_comunale_antionio_fogazzaro_45.7891_11.3663,Biblioteca Comunale Antionio Fogazzaro,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/velo_dastico/pages/biblioteca_comunale_antionio_fogazzaro_45.7891_11.3663.json,custom
