# lat,lng,id,name,building_type,type,url,page_type
# pianopoli -- Tutti
38.953650,16.387960,ov_parafarmacia_mascaro_dottoressa_rosamari_38.9537_16.3880,Parafarmacia Mascaro Dottoressa Rosamaria,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/parafarmacia_mascaro_dottoressa_rosamari_38.9537_16.3880.json,custom
38.900661,16.387267,ov_le_caselle_38.9007_16.3873,Le Caselle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/le_caselle_38.9007_16.3873.json,custom
38.946012,16.404133,ov_le_carolee_38.9460_16.4041,Le Carolee,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/le_carolee_38.9460_16.4041.json,custom
38.958013,16.396121,ov_il_birbante_38.9580_16.3961,Il Birbante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/il_birbante_38.9580_16.3961.json,custom
38.944654,16.380324,ov_vecchio_monastero_38.9447_16.3803,Vecchio Monastero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/vecchio_monastero_38.9447_16.3803.json,custom
38.952150,16.387374,ov_la_pazza_pinzeria_38.9522_16.3874,La pazza PinZeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/la_pazza_pinzeria_38.9522_16.3874.json,custom
38.952614,16.387367,ov_trattoria__pizzeria_ai_vecchi_tempi_38.9526_16.3874,Trattoria  pizzeria Ai Vecchi TEMPI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/trattoria_pizzeria_ai_vecchi_tempi_38.9526_16.3874.json,custom
38.952547,16.386926,ov_gli_ultimi__sapori_di_casa_38.9525_16.3869,"Gli Ultimi, sapori di casa",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/gli_ultimi_sapori_di_casa_38.9525_16.3869.json,custom
38.952598,16.387591,ov_bar_sport_38.9526_16.3876,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/bar_sport_38.9526_16.3876.json,custom
38.954131,16.388354,ov_bar_da_mario_38.9541_16.3884,Bar Da Mario,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/bar_da_mario_38.9541_16.3884.json,custom
38.952224,16.388463,osm_peccati_golosi_38.9522_16.3885,Peccati Golosi,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/peccati_golosi_38.9522_16.3885.json,custom
38.951454,16.389398,osm_manhattan_cafe_38.9515_16.3894,Manhattan Cafe,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/manhattan_cafe_38.9515_16.3894.json,custom
38.954323,16.387510,osm_el_costa_bar_38.9543_16.3875,El Costa Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/el_costa_bar_38.9543_16.3875.json,custom
38.953532,16.388055,osm_bar_del_corso_38.9535_16.3881,Bar del Corso,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/bar_del_corso_38.9535_16.3881.json,custom
38.951783,16.386502,ov_poligono_shooting_centre_38.9518_16.3865,Poligono Shooting Centre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/poligono_shooting_centre_38.9518_16.3865.json,custom
38.952173,16.388464,ov_a_s_d__centro_sport_power_gym_38.9522_16.3885,A.s.d. Centro Sport Power Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/asd_centro_sport_power_gym_38.9522_16.3885.json,custom
38.952133,16.388905,osm_ufficio_postale_38.9521_16.3889,Ufficio Postale,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/ufficio_postale_38.9521_16.3889.json,custom
38.954185,16.387704,ov_biblioteca_comunale_di_pianopoli_38.9542_16.3877,Biblioteca Comunale di Pianopoli,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/biblioteca_comunale_di_pianopoli_38.9542_16.3877.json,custom
38.954184,16.388034,osm_biblioteca_comunale_38.9542_16.3880,Biblioteca comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/pianopoli/pages/biblioteca_comunale_38.9542_16.3880.json,custom
