# lat,lng,id,name,building_type,type,url,page_type
# san_giovanni_in_croce -- Tutti
45.076659,10.380480,ov_fondazione_ospedale_giuseppe_aragona_45.0767_10.3805,Fondazione Ospedale Giuseppe Aragona,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_giovanni_in_croce/pages/fondazione_ospedale_giuseppe_aragona_45.0767_10.3805.json,custom
45.081222,10.367394,ov_bistrot_zia_nena_45.0812_10.3674,Bistrot Zia Nena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_giovanni_in_croce/pages/bistrot_zia_nena_45.0812_10.3674.json,custom
45.078552,10.373714,ov_divinpizza_45.0786_10.3737,diVinPizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_giovanni_in_croce/pages/divinpizza_45.0786_10.3737.json,custom
45.077113,10.373544,ov_l_antico_granaio_45.0771_10.3735,L'Antico Granaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_giovanni_in_croce/pages/lantico_granaio_45.0771_10.3735.json,custom
45.076839,10.373782,ov_la_pizza_al_taglio_di_peracchi_davide_45.0768_10.3738,La Pizza Al Taglio di Peracchi Davide,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_giovanni_in_croce/pages/la_pizza_al_taglio_di_peracchi_davide_45.0768_10.3738.json,custom
45.075482,10.373879,ov_trattoria_dal_mago_45.0755_10.3739,Trattoria Dal Mago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_giovanni_in_croce/pages/trattoria_dal_mago_45.0755_10.3739.json,custom
45.073410,10.375320,ov_pierg__pizza_san_giovanni_in_croce_45.0734_10.3753,PierGì Pizza San Giovanni in Croce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_giovanni_in_croce/pages/pierg_pizza_san_giovanni_in_croce_45.0734_10.3753.json,custom
45.074481,10.374048,ov_pizzeria_bella_napoli_45.0745_10.3740,Pizzeria Bella Napoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_giovanni_in_croce/pages/pizzeria_bella_napoli_45.0745_10.3740.json,custom
45.078860,10.373697,ov_caffe_la_rocca_45.0789_10.3737,Caffe La Rocca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_giovanni_in_croce/pages/caffe_la_rocca_45.0789_10.3737.json,custom
45.074577,10.373975,ov_bar_on_the_rocks_45.0746_10.3740,Bar On the Rocks,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_giovanni_in_croce/pages/bar_on_the_rocks_45.0746_10.3740.json,custom
45.076585,10.378360,ov_polisportiva_san_giovanni_asd_45.0766_10.3784,Polisportiva San Giovanni ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_giovanni_in_croce/pages/polisportiva_san_giovanni_asd_45.0766_10.3784.json,custom
45.076748,10.372340,ov_biblioteca_comunale_45.0767_10.3723,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_giovanni_in_croce/pages/biblioteca_comunale_45.0767_10.3723.json,custom
