# lat,lng,id,name,building_type,type,url,page_type
# terrarossa -- Tutti
44.230917,9.963872,osm_pizzeria_mordi_e_fuggi_44.2309_9.9639,Pizzeria Mordi E Fuggi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terrarossa/pages/pizzeria_mordi_e_fuggi_44.2309_9.9639.json,custom
44.230838,9.962827,osm_geco_bar_44.2308_9.9628,Geco Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terrarossa/pages/geco_bar_44.2308_9.9628.json,custom
44.229775,9.964745,osm_bar_antonio_44.2298_9.9647,Bar Antonio,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terrarossa/pages/bar_antonio_44.2298_9.9647.json,custom
44.227946,9.965274,osm_icaro_s_pizzeria_lounge_bar_44.2279_9.9653,Icaro's Pizzeria Lounge Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/terrarossa/pages/icaros_pizzeria_lounge_bar_44.2279_9.9653.json,custom
