# lat,lng,id,name,building_type,type,url,page_type
# Combài -- Tutti
45.930414,12.071541,osm_bar_pizzeria_395_45.9304_12.0715,Bar pizzeria 395,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/combi/pages/bar_pizzeria_395_45.9304_12.0715.json,custom
45.929925,12.071447,osm_fiore_45.9299_12.0714,Fiore,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/combi/pages/fiore_45.9299_12.0714.json,custom
45.930246,12.071202,osm_al_feral_45.9302_12.0712,Al Feral,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/combi/pages/al_feral_45.9302_12.0712.json,custom
