# lat,lng,id,name,building_type,type,url,page_type
# Terlizzi -- Tutti
41.131207,16.535057,osm_ospedale_michele_sarcone_41.1312_16.5351,Ospedale Michele Sarcone,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/ospedale_michele_sarcone_41.1312_16.5351.json,custom
41.130886,16.520323,ov_centro_sportivo_camarelle_41.1309_16.5203,Centro Sportivo Camarelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/centro_sportivo_camarelle_41.1309_16.5203.json,custom
41.131648,16.536176,ov_il_ritrovo_41.1316_16.5362,Il Ritrovo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/il_ritrovo_41.1316_16.5362.json,custom
41.131843,16.537119,ov_pescheria_il_corallo_41.1318_16.5371,Pescheria IL Corallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/pescheria_il_corallo_41.1318_16.5371.json,custom
41.131311,16.543324,ov_da_gianni_braceria_41.1313_16.5433,Da Gianni Braceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/da_gianni_braceria_41.1313_16.5433.json,custom
41.131096,16.542400,ov_polleria_gaetano_mazzone_41.1311_16.5424,Polleria Gaetano Mazzone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/polleria_gaetano_mazzone_41.1311_16.5424.json,custom
41.130790,16.544573,ov_il_rosto_41.1308_16.5446,Il Rosto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/il_rosto_41.1308_16.5446.json,custom
41.130891,16.543273,ov_pizzeria_il_vicolo___terlizzi_41.1309_16.5433,Pizzeria Il Vicolo - Terlizzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/pizzeria_il_vicolo_-_terlizzi_41.1309_16.5433.json,custom
41.130362,16.543848,ov_tentazioni_golose_41.1304_16.5438,Tentazioni Golose,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/tentazioni_golose_41.1304_16.5438.json,custom
41.130734,16.540334,ov_il_vicolo_41.1307_16.5403,Il Vicolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/il_vicolo_41.1307_16.5403.json,custom
41.129923,16.543015,ov_mingotauro_41.1299_16.5430,Mingotauro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/mingotauro_41.1299_16.5430.json,custom
41.129072,16.542290,ov_gourm8_41.1291_16.5423,Gourm8,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/gourm8_41.1291_16.5423.json,custom
41.129010,16.542530,ov_tafuri_41.1290_16.5425,Tafuri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/tafuri_41.1290_16.5425.json,custom
41.129151,16.542495,ov_dante___divino_convivio_41.1292_16.5425,Dante - Divino Convivio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/dante_-_divino_convivio_41.1292_16.5425.json,custom
41.129149,16.542247,ov_green34___risto_pizzeria_41.1291_16.5422,GREEN34 - risto pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/green34_-_risto_pizzeria_41.1291_16.5422.json,custom
41.128727,16.540755,ov_pizzeria_rosticceria_chapean_41.1287_16.5408,Pizzeria Rosticceria Chapean,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/pizzeria_rosticceria_chapean_41.1287_16.5408.json,custom
41.128634,16.541411,ov_frank_sushi_club_41.1286_16.5414,FRANK Sushi Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/frank_sushi_club_41.1286_16.5414.json,custom
41.128961,16.542024,ov_buns_50_41.1290_16.5420,Buns 50,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/buns_50_41.1290_16.5420.json,custom
41.128542,16.543480,ov_pronto_pizza_41.1285_16.5435,Pronto Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/terlizzi/pages/pronto_pizza_41.1285_16.5435.json,custom
