# lat,lng,id,name,building_type,type,url,page_type
# Sežana -- Tutti
45.707569,13.869590,ov_viki_bar_45.7076_13.8696,VIKI BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/viki_bar_45.7076_13.8696.json,custom
45.707291,13.869484,ov_clinton_bar_45.7073_13.8695,Clinton Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/clinton_bar_45.7073_13.8695.json,custom
45.707117,13.869276,ov_corner_bar___kavarna_valter_45.7071_13.8693,Corner Bar - Kavarna Valter,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/corner_bar_-_kavarna_valter_45.7071_13.8693.json,custom
45.705614,13.863813,ov_bi_pub_se_ana_45.7056_13.8638,Bi Pub Sežana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/bi_pub_seana_45.7056_13.8638.json,custom
45.706680,13.865980,ov_macchiato_bar_45.7067_13.8660,Macchiato bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/macchiato_bar_45.7067_13.8660.json,custom
45.706652,13.861558,ov_bar_avtopralnica_45.7067_13.8616,Bar Avtopralnica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/bar_avtopralnica_45.7067_13.8616.json,custom
45.704617,13.856287,ov_bar_krog_45.7046_13.8563,Bar Krog,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/bar_krog_45.7046_13.8563.json,custom
45.704742,13.860295,ov_cappuccino_tu__se_ana_45.7047_13.8603,Cappuccino Tuš Sežana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/cappuccino_tu_seana_45.7047_13.8603.json,custom
45.706170,13.870420,ov_caffe_kosovel_45.7062_13.8704,Caffe Kosovel,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/caffe_kosovel_45.7062_13.8704.json,custom
45.745504,13.935802,ov_bar_rovna_45.7455_13.9358,Bar Rovna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/bar_rovna_45.7455_13.9358.json,custom
45.707299,13.869804,osm_bar_clinton_45.7073_13.8698,Bar Clinton,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/bar_clinton_45.7073_13.8698.json,custom
45.707117,13.869276,osm_kavarna_valter_45.7071_13.8693,Kavarna Valter,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/kavarna_valter_45.7071_13.8693.json,custom
45.657389,13.893042,osm_bar_gabriela_45.6574_13.8930,Bar Gabriela,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/bar_gabriela_45.6574_13.8930.json,custom
45.705689,13.863608,osm_arnold_s_45.7057_13.8636,Arnold's,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/arnolds_45.7057_13.8636.json,custom
45.709761,13.873973,osm_kavarna_integrali__zavod_bodika__45.7098_13.8740,Kavarna Integrali (Zavod Bodika),bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/kavarna_integrali_zavod_bodika_45.7098_13.8740.json,custom
45.705870,13.864049,osm_fi_bar_45.7059_13.8640,FI BAR,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/fi_bar_45.7059_13.8640.json,custom
45.709463,13.857389,osm_se_anka_45.7095_13.8574,SEŽANKA,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/seanka_45.7095_13.8574.json,custom
45.702150,13.847180,ov_gibalna_r_evolucija_45.7022_13.8472,Gibalna R-evolucija,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/gibalna_r-evolucija_45.7022_13.8472.json,custom
45.702150,13.847180,ov_erika_kobal_45.7022_13.8472,Erika Kobal,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/erika_kobal_45.7022_13.8472.json,custom
45.737520,13.883775,ov_konjeni_ki_klub_kras_se_ana_45.7375_13.8838,Konjeniški klub Kras Sežana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/konjeniki_klub_kras_seana_45.7375_13.8838.json,custom
45.706055,13.866730,ov_fitnes_planet_45.7061_13.8667,Fitnes Planet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/fitnes_planet_45.7061_13.8667.json,custom
45.706353,13.869980,ov_fitnes_center_daneu_45.7064_13.8700,Fitnes Center Daneu,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/fitnes_center_daneu_45.7064_13.8700.json,custom
45.704886,13.869541,ov__portna_dvorana_se_ana_45.7049_13.8695,Športna dvorana Sežana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/portna_dvorana_seana_45.7049_13.8695.json,custom
45.706534,13.866030,ov_zgibka_45.7065_13.8660,zGIBka,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/zgibka_45.7065_13.8660.json,custom
45.704689,13.860267,ov_plesno_dru_tvo_mavrica_45.7047_13.8603,Plesno društvo Mavrica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/plesno_drutvo_mavrica_45.7047_13.8603.json,custom
45.706944,13.858108,osm_fil_sport_45.7069_13.8581,Fil-Sport,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/fil-sport_45.7069_13.8581.json,custom
45.666210,13.884040,ov_muzej_ko_ij_45.6662_13.8840,Muzej Kočij,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/muzej_koij_45.6662_13.8840.json,custom
45.695868,13.868951,ov__ivi_muzej_krasa_45.6959_13.8690,Živi muzej Krasa,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/ivi_muzej_krasa_45.6959_13.8690.json,custom
45.661409,13.928229,ov_voja_ki_muzej_tabor_45.6614_13.9282,Vojaški muzej Tabor,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/vojaki_muzej_tabor_45.6614_13.9282.json,custom
45.754859,13.850121,ov_kosovelova_doma_ija_tomaj_45.7549_13.8501,Kosovelova domačija Tomaj,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/kosovelova_domaija_tomaj_45.7549_13.8501.json,custom
45.707813,13.872321,ov_kosovelova_soba_45.7078_13.8723,Kosovelova soba,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/kosovelova_soba_45.7078_13.8723.json,custom
45.707513,13.868570,osm_po_ta_se_ana_45.7075_13.8686,Pošta Sežana,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/pota_seana_45.7075_13.8686.json,custom
45.708712,13.873626,ov_kosovelova_knji_nica_se_ana_45.7087_13.8736,Kosovelova knjižnica Sežana,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/seana/pages/kosovelova_knjinica_seana_45.7087_13.8736.json,custom
