# lat,lng,id,name,building_type,type,url,page_type
# mozzo -- Tutti
45.701493,9.619926,ov_unit__riabilitativa_mozzo_45.7015_9.6199,Unità Riabilitativa Mozzo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/unit_riabilitativa_mozzo_45.7015_9.6199.json,custom
45.697424,9.606871,ov_joanlo_pizza_and_more_45.6974_9.6069,Joanlo Pizza and More,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/joanlo_pizza_and_more_45.6974_9.6069.json,custom
45.697113,9.606870,ov_vineria_74_45.6971_9.6069,Vineria 74,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/vineria_74_45.6971_9.6069.json,custom
45.696675,9.617347,ov_ristorante_la_caprese_dal_1975__mozzo__45.6967_9.6173,Ristorante La Caprese dal 1975 (Mozzo),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/ristorante_la_caprese_dal_1975_mozzo_45.6967_9.6173.json,custom
45.693346,9.610192,ov_wok_45.6933_9.6102,Wok,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/wok_45.6933_9.6102.json,custom
45.703085,9.596691,ov_trattoria_pascoletto_45.7031_9.5967,Trattoria Pascoletto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/trattoria_pascoletto_45.7031_9.5967.json,custom
45.706497,9.605292,ov_moon_sushi_mozzo_45.7065_9.6053,Moon Sushi Mozzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/moon_sushi_mozzo_45.7065_9.6053.json,custom
45.696478,9.595711,ov_timoty_bar_mozzo_45.6965_9.5957,Timoty Bar Mozzo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/timoty_bar_mozzo_45.6965_9.5957.json,custom
45.703013,9.600664,ov_cafeteria_piazzetta_45.7030_9.6007,Cafeteria Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/cafeteria_piazzetta_45.7030_9.6007.json,custom
45.708377,9.605006,ov_ufo_45.7084_9.6050,UFO,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/ufo_45.7084_9.6050.json,custom
45.701539,9.607267,ov_baraonda_45.7015_9.6073,Baraonda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/baraonda_45.7015_9.6073.json,custom
45.698297,9.617075,ov_al_villino_di_nava_antonello_45.6983_9.6171,Al Villino di Nava Antonello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/al_villino_di_nava_antonello_45.6983_9.6171.json,custom
45.708112,9.605102,osm_australian_pub_mozzo___ned_kelly_45.7081_9.6051,Australian Pub Mozzo - Ned Kelly,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/australian_pub_mozzo_-_ned_kelly_45.7081_9.6051.json,custom
45.704149,9.596605,ov_tiro_a_segno_nazionale_45.7041_9.5966,Tiro a Segno Nazionale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/tiro_a_segno_nazionale_45.7041_9.5966.json,custom
45.701899,9.601574,ov_centro_sportivo_colombera_45.7019_9.6016,Centro Sportivo Colombera,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/centro_sportivo_colombera_45.7019_9.6016.json,custom
45.699386,9.603514,ov_sportindoor_45.6994_9.6035,Sportindoor,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/sportindoor_45.6994_9.6035.json,custom
45.706299,9.605079,ov_bowling_mozzo_45.7063_9.6051,Bowling Mozzo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/bowling_mozzo_45.7063_9.6051.json,custom
45.706570,9.604660,ov_kilimangiaro_bergamo_italia_45.7066_9.6047,Kilimangiaro Bergamo Italia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/kilimangiaro_bergamo_italia_45.7066_9.6047.json,custom
45.708235,9.606754,ov_open_dance_studio_45.7082_9.6068,Open Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/open_dance_studio_45.7082_9.6068.json,custom
45.708291,9.606720,ov_americana_exotica_45.7083_9.6067,Americana Exotica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/americana_exotica_45.7083_9.6067.json,custom
45.705387,9.609252,ov_attiva_mente_45.7054_9.6093,Attiva Mente,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/attiva_mente_45.7054_9.6093.json,custom
45.700895,9.610329,ov_energy_studio_45.7009_9.6103,Energy Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/energy_studio_45.7009_9.6103.json,custom
45.700606,9.607604,ov_fitness_boutique_45.7006_9.6076,Fitness Boutique,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/fitness_boutique_45.7006_9.6076.json,custom
45.700405,9.608645,ov_biblioteca_comunale_sandro_pertini_45.7004_9.6086,Biblioteca Comunale Sandro Pertini,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/biblioteca_comunale_sandro_pertini_45.7004_9.6086.json,custom
