# lat,lng,id,name,building_type,type,url,page_type
# Pieve di Soligo -- Tutti
45.898810,12.175950,ov_ulss7_pieve_di_soligo_45.8988_12.1759,ULSS7 Pieve Di Soligo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_di_soligo/pages/ulss7_pieve_di_soligo_45.8988_12.1759.json,custom
45.877962,12.184402,ov_vinodivino___the_original___cal__danilo_45.8780_12.1844,VinoDivino - The Original - Calò Danilo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_di_soligo/pages/vinodivino_-_the_original_-_cal_danilo_45.8780_12.1844.json,custom
45.878846,12.183604,ov_osteria_speta_un_minuto_45.8788_12.1836,Osteria Speta un Minuto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_di_soligo/pages/osteria_speta_un_minuto_45.8788_12.1836.json,custom
45.881653,12.183038,ov_pizzeria_grazia_45.8817_12.1830,Pizzeria Grazia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_di_soligo/pages/pizzeria_grazia_45.8817_12.1830.json,custom
45.898834,12.163759,ov_agli_angeli_45.8988_12.1638,Agli Angeli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_di_soligo/pages/agli_angeli_45.8988_12.1638.json,custom
45.898518,12.172267,ov_osteria_al_portego_45.8985_12.1723,Osteria Al Portego,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_di_soligo/pages/osteria_al_portego_45.8985_12.1723.json,custom
45.899016,12.171951,ov_pizzeria_al_gallo_45.8990_12.1720,Pizzeria Al Gallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_di_soligo/pages/pizzeria_al_gallo_45.8990_12.1720.json,custom
45.899294,12.173735,ov_pizzeria_da_salvo_45.8993_12.1737,Pizzeria Da Salvo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_di_soligo/pages/pizzeria_da_salvo_45.8993_12.1737.json,custom
45.899801,12.173497,ov_la_loggia_osteria_bottiglieria_dal_1891_45.8998_12.1735,La Loggia Osteria Bottiglieria dal 1891,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_di_soligo/pages/la_loggia_osteria_bottiglieria_dal_1891_45.8998_12.1735.json,custom
45.898230,12.174813,ov_soad_kebab___fastfood_45.8982_12.1748,Soad Kebab & FastFood,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_di_soligo/pages/soad_kebab_fastfood_45.8982_12.1748.json,custom
45.885930,12.171360,ov_bocon_bottegaecucina_45.8859_12.1714,Bocon_BottegaeCucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_di_soligo/pages/boconbottegaecucina_45.8859_12.1714.json,custom
