# lat,lng,id,name,building_type,type,url,page_type
# Casapesenna -- Tutti
40.991818,14.148306,ov_studio_medico_ortopedico_santoro_giusepp_40.9918_14.1483,Studio Medico Ortopedico Santoro Giuseppe,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casapesenna/pages/studio_medico_ortopedico_santoro_giusepp_40.9918_14.1483.json,custom
40.991108,14.132771,ov_nando_s_pizzeria_40.9911_14.1328,Nando's Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casapesenna/pages/nandos_pizzeria_40.9911_14.1328.json,custom
40.991757,14.129773,ov_pizzeria_europa_40.9918_14.1298,Pizzeria Europa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casapesenna/pages/pizzeria_europa_40.9918_14.1298.json,custom
40.987781,14.139839,ov_pizzeria__la_dolce_vita__40.9878_14.1398,Pizzeria “La Dolce Vita”,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casapesenna/pages/pizzeria_la_dolce_vita_40.9878_14.1398.json,custom
40.991741,14.148289,ov_blu_martin_cafe_40.9917_14.1483,Blu Martin Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casapesenna/pages/blu_martin_cafe_40.9917_14.1483.json,custom
40.990412,14.148786,ov_bar_e_tabacchi_fratelli_pagano_40.9904_14.1488,Bar e tabacchi fratelli Pagano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casapesenna/pages/bar_e_tabacchi_fratelli_pagano_40.9904_14.1488.json,custom
40.991886,14.136933,ov_bar_garcon_40.9919_14.1369,Bar Garcon,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casapesenna/pages/bar_garcon_40.9919_14.1369.json,custom
40.991890,14.136772,ov_salon_blanc_40.9919_14.1368,Salon blanc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casapesenna/pages/salon_blanc_40.9919_14.1368.json,custom
40.991660,14.129270,ov_bar_sala_giochi_el_ma__40.9917_14.1293,Bar Sala giochi EL.MA.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casapesenna/pages/bar_sala_giochi_elma_40.9917_14.1293.json,custom
40.991756,14.129743,ov_bar_europa_40.9918_14.1297,Bar Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casapesenna/pages/bar_europa_40.9918_14.1297.json,custom
40.994179,14.130147,ov_noise_bar_40.9942_14.1301,Noise Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casapesenna/pages/noise_bar_40.9942_14.1301.json,custom
40.988334,14.148977,ov_gazebo_sport___more_40.9883_14.1490,Gazebo Sport & More,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casapesenna/pages/gazebo_sport_more_40.9883_14.1490.json,custom
40.992049,14.124380,ov_trilogy_fitness_center_40.9920_14.1244,Trilogy Fitness Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casapesenna/pages/trilogy_fitness_center_40.9920_14.1244.json,custom
40.970089,14.213090,ov_life_dance_studio_40.9701_14.2131,Life Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casapesenna/pages/life_dance_studio_40.9701_14.2131.json,custom
40.991788,14.131094,osm_casapesenna_40.9918_14.1311,Casapesenna,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casapesenna/pages/casapesenna_40.9918_14.1311.json,custom
