# lat,lng,id,name,building_type,type,url,page_type
# siurgus_donigala -- Tutti
39.599295,9.186958,osm_ufficio_postale_di_siurgus_donigala_39.5993_9.1870,Ufficio Postale di Siurgus Donigala,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siurgus_donigala/pages/ufficio_postale_di_siurgus_donigala_39.5993_9.1870.json,custom
39.598255,9.184975,ov_il_vicoletto_39.5983_9.1850,Il Vicoletto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siurgus_donigala/pages/il_vicoletto_39.5983_9.1850.json,custom
39.604290,9.188336,ov_sabores_de_sardinia_39.6043_9.1883,Sabores de Sardinia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siurgus_donigala/pages/sabores_de_sardinia_39.6043_9.1883.json,custom
39.603130,9.193140,ov_ristorante_pizzeria_bar_il_lago_39.6031_9.1931,Ristorante pizzeria bar il Lago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siurgus_donigala/pages/ristorante_pizzeria_bar_il_lago_39.6031_9.1931.json,custom
39.595920,9.183868,ov_civico_3_39.5959_9.1839,Civico 3,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siurgus_donigala/pages/civico_3_39.5959_9.1839.json,custom
39.602528,9.188741,ov_omar_bar_caf__39.6025_9.1887,Omar Bar Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/siurgus_donigala/pages/omar_bar_caf_39.6025_9.1887.json,custom
