# lat,lng,id,name,building_type,type,url,page_type
# Costigliole d'Asti -- Tutti
44.786237,8.182053,ov_asl_at_44.7862_8.1821,ASL AT,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/asl_at_44.7862_8.1821.json,custom
44.808869,8.146281,ov_al_peperone_rosso_44.8089_8.1463,Al Peperone Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/al_peperone_rosso_44.8089_8.1463.json,custom
44.807839,8.147491,ov_terra_di_mezzo_44.8078_8.1475,Terra Di Mezzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/terra_di_mezzo_44.8078_8.1475.json,custom
44.808504,8.143342,ov_ristorante_millennium_44.8085_8.1433,Ristorante Millennium,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/ristorante_millennium_44.8085_8.1433.json,custom
44.795405,8.168295,ov_vino_divino_agriturismo_44.7954_8.1683,Vino DiVino Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/vino_divino_agriturismo_44.7954_8.1683.json,custom
44.795669,8.171698,ov_azienda_agricola_stella_giuseppe_di_stel_44.7957_8.1717,Azienda Agricola Stella Giuseppe di Stella Massimo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/azienda_agricola_stella_giuseppe_di_stel_44.7957_8.1717.json,custom
44.787207,8.181624,ov_da_maddalena_44.7872_8.1816,Da Maddalena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/da_maddalena_44.7872_8.1816.json,custom
44.790728,8.176765,ov_parco_della_contessa___ristorante_pizzer_44.7907_8.1768,Parco della Contessa - ristorante/pizzeria/sala ricevimenti ,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/parco_della_contessa_-_ristorantepizzeri_44.7907_8.1768.json,custom
44.789004,8.178700,ov_la_barbera___enoteca_e_restaurant_44.7890_8.1787,La Barbera - Enoteca e Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/la_barbera_-_enoteca_e_restaurant_44.7890_8.1787.json,custom
44.792920,8.183840,ov_agriturismo_costa_dei_tigli_44.7929_8.1838,Agriturismo Costa dei Tigli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/agriturismo_costa_dei_tigli_44.7929_8.1838.json,custom
44.793451,8.164024,ov_podere_la_piazza_44.7935_8.1640,Podere la Piazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/podere_la_piazza_44.7935_8.1640.json,custom
44.776531,8.178933,ov_cascina_collavini_44.7765_8.1789,Cascina Collavini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/cascina_collavini_44.7765_8.1789.json,custom
44.761712,8.202091,ov_ristorante_terra_di_mezzo_44.7617_8.2021,Ristorante terra di mezzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/ristorante_terra_di_mezzo_44.7617_8.2021.json,custom
44.751560,8.184680,ov_osteria_degli_aviatori_44.7516_8.1847,Osteria degli aviatori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/osteria_degli_aviatori_44.7516_8.1847.json,custom
44.760449,8.202943,ov_ristorante_pizzeria_da_rosanna_44.7604_8.2029,Ristorante Pizzeria da Rosanna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/ristorante_pizzeria_da_rosanna_44.7604_8.2029.json,custom
44.786389,8.216865,ov_radici_ristorante_in_vigna_44.7864_8.2169,Radici Ristorante in Vigna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/radici_ristorante_in_vigna_44.7864_8.2169.json,custom
44.788531,8.179542,osm_caffe_roma_44.7885_8.1795,Caffe Roma,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/caffe_roma_44.7885_8.1795.json,custom
44.787250,8.181595,osm_ristorante_da_maddalena_44.7873_8.1816,Ristorante Da Maddalena,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/ristorante_da_maddalena_44.7873_8.1816.json,custom
44.793570,8.163922,osm_ristorante_podere_la_piazza_44.7936_8.1639,Ristorante Podere La Piazza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/ristorante_podere_la_piazza_44.7936_8.1639.json,custom
44.808792,8.146498,osm_la_vecchia_posta_44.8088_8.1465,La Vecchia Posta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/la_vecchia_posta_44.8088_8.1465.json,custom
44.782705,8.193732,ov_grappolo_rosso_44.7827_8.1937,Grappolo Rosso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/grappolo_rosso_44.7827_8.1937.json,custom
44.786447,8.182084,ov_bar_gelateria_medici_snc_44.7864_8.1821,Bar Gelateria Medici Snc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/bar_gelateria_medici_snc_44.7864_8.1821.json,custom
44.785917,8.181931,ov_caffetteria_del_peso_44.7859_8.1819,Caffetteria Del Peso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/caffetteria_del_peso_44.7859_8.1819.json,custom
44.785241,8.185195,ov_bar_7bello_44.7852_8.1852,Bar 7bello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/bar_7bello_44.7852_8.1852.json,custom
44.787538,8.181503,ov_pasticceria_bar_gelateria_dolce_vita_44.7875_8.1815,Pasticceria Bar Gelateria Dolce Vita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/pasticceria_bar_gelateria_dolce_vita_44.7875_8.1815.json,custom
44.790384,8.179104,ov_chiosco_44.7904_8.1791,Chiosco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/chiosco_44.7904_8.1791.json,custom
44.788539,8.179550,ov_roma_cafe_and_wines_44.7885_8.1796,Roma Cafe and Wines,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/roma_cafe_and_wines_44.7885_8.1796.json,custom
44.788135,8.180378,ov_vino_enobottega_44.7881_8.1804,Vino Enobottega,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/vino_enobottega_44.7881_8.1804.json,custom
44.788452,8.180247,ov_enoteca_con_cucina_caff__roma_44.7885_8.1802,Enoteca con Cucina Caffé Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/enoteca_con_cucina_caff_roma_44.7885_8.1802.json,custom
44.753217,8.207625,ov_la_siesta_caf__44.7532_8.2076,La Siesta Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/la_siesta_caf_44.7532_8.2076.json,custom
44.787145,8.182008,ov_le_scuderie_fitness_and_more_44.7871_8.1820,Le Scuderie Fitness and More,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/le_scuderie_fitness_and_more_44.7871_8.1820.json,custom
44.776653,8.193616,ov_il_piccolo_tempio_del_benessere_44.7767_8.1936,Il Piccolo Tempio del Benessere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/il_piccolo_tempio_del_benessere_44.7767_8.1936.json,custom
44.789208,8.178780,ov_castello_di_costigliole_d_asti_44.7892_8.1788,Castello di Costigliole d'Asti,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/castello_di_costigliole_dasti_44.7892_8.1788.json,custom
44.788567,8.179606,ov_museo_arte_sacra_costigliole_44.7886_8.1796,Museo Arte Sacra Costigliole,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/museo_arte_sacra_costigliole_44.7886_8.1796.json,custom
44.769318,8.199000,ov_castel_burio_44.7693_8.1990,Castel Burio,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/castel_burio_44.7693_8.1990.json,custom
44.786215,8.181938,osm_poste_italiane_44.7862_8.1819,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/costigliole_dasti/pages/poste_italiane_44.7862_8.1819.json,custom
