# lat,lng,id,name,building_type,type,url,page_type
# castelmassa -- Tutti
45.017582,11.309843,ov_ospedale_di_castelmassa_45.0176_11.3098,Ospedale Di Castelmassa,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/castelmassa/pages/ospedale_di_castelmassa_45.0176_11.3098.json,custom
45.021126,11.315118,ov_al_deserto_45.0211_11.3151,Al Deserto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/castelmassa/pages/al_deserto_45.0211_11.3151.json,custom
45.018403,11.311655,ov_polin_pizza_45.0184_11.3117,Polin Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/castelmassa/pages/polin_pizza_45.0184_11.3117.json,custom
45.017117,11.313702,ov_piadina_da_giuly___tony_45.0171_11.3137,Piadina da Giuly & Tony,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/castelmassa/pages/piadina_da_giuly_tony_45.0171_11.3137.json,custom
45.017772,11.314215,ov_pizzeria_l_arte_bianca_45.0178_11.3142,Pizzeria L'Arte Bianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/castelmassa/pages/pizzeria_larte_bianca_45.0178_11.3142.json,custom
45.014780,11.333081,ov_san_rocco_45.0148_11.3331,San Rocco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/castelmassa/pages/san_rocco_45.0148_11.3331.json,custom
45.014652,11.333066,ov_ristoitalia_45.0147_11.3331,Ristoitalia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/castelmassa/pages/ristoitalia_45.0147_11.3331.json,custom
45.015569,11.311848,ov_piadinero_45.0156_11.3118,Piadinero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/castelmassa/pages/piadinero_45.0156_11.3118.json,custom
45.027791,11.313721,ov_princy_bar_45.0278_11.3137,Princy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/castelmassa/pages/princy_bar_45.0278_11.3137.json,custom
45.018552,11.308874,ov_bar_koala_presso_rsa_45.0186_11.3089,Bar koala presso rsa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/castelmassa/pages/bar_koala_presso_rsa_45.0186_11.3089.json,custom
45.016445,11.309121,ov_ventidieci_caff__45.0164_11.3091,VentiDieci Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/castelmassa/pages/ventidieci_caff_45.0164_11.3091.json,custom
45.017131,11.313006,ov_nerocaffe_45.0171_11.3130,Nerocaffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/castelmassa/pages/nerocaffe_45.0171_11.3130.json,custom
45.016824,11.312082,ov_juice_bio_bar_45.0168_11.3121,Juice Bio Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/castelmassa/pages/juice_bio_bar_45.0168_11.3121.json,custom
45.018220,11.313953,ov_bar_tropical_45.0182_11.3140,Bar Tropical,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/castelmassa/pages/bar_tropical_45.0182_11.3140.json,custom
45.019109,11.311514,ov_comune_di_castelmassa___ro_45.0191_11.3115,Comune di Castelmassa - Ro,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/castelmassa/pages/comune_di_castelmassa_-_ro_45.0191_11.3115.json,custom
45.015399,11.310589,ov_biblioteca_comunale_e__fornasari_45.0154_11.3106,Biblioteca Comunale E. Fornasari,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/castelmassa/pages/biblioteca_comunale_e_fornasari_45.0154_11.3106.json,custom
