# lat,lng,id,name,building_type,type,url,page_type
# Paterno -- Tutti
40.377356,15.731879,ov_medical_center_40.3774_15.7319,Medical Center,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/paterno/pages/medical_center_40.3774_15.7319.json,custom
40.381581,15.736638,ov_i_sette_nani_40.3816_15.7366,I Sette Nani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/paterno/pages/i_sette_nani_40.3816_15.7366.json,custom
40.377890,15.735041,ov_mulnar_40.3779_15.7350,Mulnar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/paterno/pages/mulnar_40.3779_15.7350.json,custom
40.373376,15.731418,ov_il_mulino_dei_sapori_40.3734_15.7314,Il Mulino dei Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/paterno/pages/il_mulino_dei_sapori_40.3734_15.7314.json,custom
40.353749,15.751941,ov_masseria_aghia_40.3537_15.7519,Masseria Aghia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/paterno/pages/masseria_aghia_40.3537_15.7519.json,custom
40.376103,15.732248,ov_loco_bar_di_romeo_gianluca_40.3761_15.7322,Loco Bar di Romeo Gianluca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/paterno/pages/loco_bar_di_romeo_gianluca_40.3761_15.7322.json,custom
