# lat,lng,id,name,building_type,type,url,page_type
# leonforte -- Tutti
37.652713,14.411316,ov_ospedale_ferro_capra_branciforti_37.6527_14.4113,Ospedale Ferro Capra Branciforti,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/ospedale_ferro_capra_branciforti_37.6527_14.4113.json,custom
37.653210,14.413325,ov_villa_artemide_agriturismo_37.6532_14.4133,Villa Artemide Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/villa_artemide_agriturismo_37.6532_14.4133.json,custom
37.643119,14.400353,ov_ristorante_la_piramide_37.6431_14.4004,Ristorante La Piramide,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/ristorante_la_piramide_37.6431_14.4004.json,custom
37.643037,14.400182,ov_cuore_e_sapore_ristorante_pizzeria_leonf_37.6430_14.4002,Cuore e Sapore Ristorante-Pizzeria Leonforte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/cuore_e_sapore_ristorante-pizzeria_leonf_37.6430_14.4002.json,custom
37.642523,14.399417,ov_al_movida_37.6425_14.3994,Al Movida,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/al_movida_37.6425_14.3994.json,custom
37.642533,14.399158,ov_makumba_37.6425_14.3992,Makumba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/makumba_37.6425_14.3992.json,custom
37.642345,14.401756,ov_pizzeria_friggitoria_napoletana_37.6423_14.4018,Pizzeria Friggitoria Napoletana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/pizzeria_friggitoria_napoletana_37.6423_14.4018.json,custom
37.642372,14.401620,ov_ristorante_algaia_37.6424_14.4016,Ristorante alGaia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/ristorante_algaia_37.6424_14.4016.json,custom
37.641830,14.399171,ov_patalapa_37.6418_14.3992,PataLapa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/patalapa_37.6418_14.3992.json,custom
37.642036,14.401812,ov_pizzeria_camelot_37.6420_14.4018,Pizzeria Camelot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/pizzeria_camelot_37.6420_14.4018.json,custom
37.641003,14.396772,ov_pizzeria_da_carmelo_37.6410_14.3968,Pizzeria da Carmelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/pizzeria_da_carmelo_37.6410_14.3968.json,custom
37.640170,14.393832,ov_osteria_ammangiari_37.6402_14.3938,Osteria Ammangiari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/osteria_ammangiari_37.6402_14.3938.json,custom
37.636593,14.390095,ov_pizzeria_do_spizziusu_37.6366_14.3901,Pizzeria Do Spizziusu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/pizzeria_do_spizziusu_37.6366_14.3901.json,custom
37.613230,14.384020,ov_agriturismo_canalotto_leonforte_37.6132_14.3840,Agriturismo Canalotto Leonforte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/agriturismo_canalotto_leonforte_37.6132_14.3840.json,custom
37.618362,14.387737,ov_agriturismo_canalotto_leonforte_37.6184_14.3877,Agriturismo Canalotto Leonforte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/agriturismo_canalotto_leonforte_37.6184_14.3877.json,custom
37.645530,14.406638,ov_la_dolce_vita_37.6455_14.4066,La Dolce Vita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/la_dolce_vita_37.6455_14.4066.json,custom
37.642454,14.401004,ov_trebastoni_caf__37.6425_14.4010,Trebastoni Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/trebastoni_caf_37.6425_14.4010.json,custom
37.642458,14.401993,ov_bar_golden_caf__37.6425_14.4020,Bar Golden Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/bar_golden_caf_37.6425_14.4020.json,custom
37.642339,14.394584,ov_black___white_37.6423_14.3946,Black & White,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/black_white_37.6423_14.3946.json,custom
37.642100,14.398049,ov_ketty_bar_37.6421_14.3980,Ketty Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/ketty_bar_37.6421_14.3980.json,custom
37.641870,14.397499,ov_joice_pub_37.6419_14.3975,Joice Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/joice_pub_37.6419_14.3975.json,custom
37.640790,14.395620,ov_bar_arte_caff__da_salvatore_giangreco_37.6408_14.3956,Bar Arte Caffè da Salvatore Giangreco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/bar_arte_caff_da_salvatore_giangreco_37.6408_14.3956.json,custom
37.641070,14.396700,ov_sorsi_morsi_37.6411_14.3967,Sorsi&morsi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/leonforte/pages/sorsimorsi_37.6411_14.3967.json,custom
