# lat,lng,id,name,building_type,type,url,page_type
# satriano -- Tutti
38.679120,16.539650,ov_casa_don_bosco_38.6791_16.5397,Casa don Bosco,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/casa_don_bosco_38.6791_16.5397.json,custom
38.677380,16.549612,ov_ristorante_sushinove_38.6774_16.5496,Ristorante SushiNove,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/ristorante_sushinove_38.6774_16.5496.json,custom
38.681841,16.520686,ov_masseria_petrella_38.6818_16.5207,Masseria Petrella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/masseria_petrella_38.6818_16.5207.json,custom
38.679283,16.522491,ov_pizzeria_fuego_38.6793_16.5225,Pizzeria Fuego,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/pizzeria_fuego_38.6793_16.5225.json,custom
38.678930,16.533260,ov_agriturismo_la_valle_dei_mandorli_38.6789_16.5333,Agriturismo La Valle dei Mandorli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/agriturismo_la_valle_dei_mandorli_38.6789_16.5333.json,custom
38.678859,16.533093,ov_la_radice_trattoria_38.6789_16.5331,La Radice Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/la_radice_trattoria_38.6789_16.5331.json,custom
38.681423,16.543608,ov_stella_home_restaurant_di_jola_38.6814_16.5436,Stella Home Restaurant di Jola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/stella_home_restaurant_di_jola_38.6814_16.5436.json,custom
38.670530,16.543625,ov_cura_cucina_contemporanea_38.6705_16.5436,Cura Cucina Contemporanea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/cura_cucina_contemporanea_38.6705_16.5436.json,custom
38.676395,16.553683,ov_delta_moodv3rs3_38.6764_16.5537,Delta Moodv3rs3,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/delta_moodv3rs3_38.6764_16.5537.json,custom
38.668200,16.482158,ov_osteria_san_giovanni_38.6682_16.4822,Osteria San Giovanni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/osteria_san_giovanni_38.6682_16.4822.json,custom
38.668056,16.482083,ov_trattoria_a_picocca_38.6681_16.4821,Trattoria a Picocca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/trattoria_a_picocca_38.6681_16.4821.json,custom
39.313580,16.778550,ov_il_vecchio_canneto_39.3136_16.7785,Il Vecchio Canneto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/il_vecchio_canneto_39.3136_16.7785.json,custom
38.679137,16.522248,ov_esso_laganosa_38.6791_16.5222,ESSO Laganosa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/esso_laganosa_38.6791_16.5222.json,custom
38.679553,16.532594,ov_stefano_bar_ricevitoria_38.6796_16.5326,Stefano Bar Ricevitoria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/stefano_bar_ricevitoria_38.6796_16.5326.json,custom
38.679584,16.540119,ov_wine_bar_vitale_38.6796_16.5401,Wine Bar Vitale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/wine_bar_vitale_38.6796_16.5401.json,custom
38.677592,16.544524,ov_korova_disco_pub_38.6776_16.5445,Korova Disco Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/korova_disco_pub_38.6776_16.5445.json,custom
38.667501,16.482626,ov_bar_centrale_38.6675_16.4826,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/bar_centrale_38.6675_16.4826.json,custom
38.678049,16.542333,ov_ater_ballet___studio_di_danza_38.6780_16.5423,Ater Ballet - Studio di danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/ater_ballet_-_studio_di_danza_38.6780_16.5423.json,custom
38.678142,16.542596,ov_exclusive_fitness_center_38.6781_16.5426,Exclusive Fitness Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/satriano/pages/exclusive_fitness_center_38.6781_16.5426.json,custom
