# lat,lng,id,name,building_type,type,url,page_type
# Bedizzole -- Tutti
45.514171,10.412233,ov_trattoria_borgo_antico_45.5142_10.4122,Trattoria Borgo Antico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/trattoria_borgo_antico_45.5142_10.4122.json,custom
45.510156,10.430585,ov_ristorante_il_leone_45.5102_10.4306,Ristorante Il Leone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/ristorante_il_leone_45.5102_10.4306.json,custom
45.510900,10.421100,ov_al_borgo_antico_45.5109_10.4211,Al Borgo Antico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/al_borgo_antico_45.5109_10.4211.json,custom
45.511093,10.421674,ov_pizza_da_massimo_45.5111_10.4217,Pizza Da Massimo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/pizza_da_massimo_45.5111_10.4217.json,custom
45.511375,10.421248,ov_al_castello_45.5114_10.4212,Al Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/al_castello_45.5114_10.4212.json,custom
45.511505,10.412653,ov_pizzeria_linus_bedizzole_45.5115_10.4127,Pizzeria Linus Bedizzole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/pizzeria_linus_bedizzole_45.5115_10.4127.json,custom
45.509543,10.435290,ov_agriturismo_sangallo_45.5095_10.4353,Agriturismo Sangallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/agriturismo_sangallo_45.5095_10.4353.json,custom
45.507315,10.418651,ov_happy_bar_45.5073_10.4187,Happy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/happy_bar_45.5073_10.4187.json,custom
45.511502,10.400121,ov_bar_chiosco_del_chiese_45.5115_10.4001,Bar Chiosco Del Chiese,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/bar_chiosco_del_chiese_45.5115_10.4001.json,custom
45.512227,10.426928,ov_bar_la_nuova_vela___partner_elfbar_lost__45.5122_10.4269,Bar La Nuova Vela - Partner Elfbar Lost Mary,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/bar_la_nuova_vela_-_partner_elfbar_lost__45.5122_10.4269.json,custom
45.510720,10.420610,ov_l_angelo_azzurro_2_0_45.5107_10.4206,L’angelo Azzurro 2.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/langelo_azzurro_20_45.5107_10.4206.json,custom
45.510941,10.418293,ov_locanda_3_corone_45.5109_10.4183,Locanda 3 Corone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/locanda_3_corone_45.5109_10.4183.json,custom
45.510949,10.419174,ov_birreria_3_corone_45.5109_10.4192,Birreria 3 corone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/birreria_3_corone_45.5109_10.4192.json,custom
45.510931,10.421674,ov_posta_caff__45.5109_10.4217,Posta Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/posta_caff_45.5109_10.4217.json,custom
45.511440,10.421500,ov_bar_jeko_45.5114_10.4215,Bar Jeko,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/bar_jeko_45.5114_10.4215.json,custom
45.511695,10.404975,ov_bisouy_s_bar_45.5117_10.4050,Bisouy's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/bisouys_bar_45.5117_10.4050.json,custom
45.511233,10.410795,ov_bar_sport_45.5112_10.4108,BAR Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/bar_sport_45.5112_10.4108.json,custom
45.508238,10.442804,ov_mixer_bar_pub_45.5082_10.4428,Mixer Bar Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/mixer_bar_pub_45.5082_10.4428.json,custom
45.504591,10.458485,ov_birra_la_dama_45.5046_10.4585,Birra La Dama,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/birra_la_dama_45.5046_10.4585.json,custom
45.487961,10.412517,ov_birreria_oktoberfest_45.4880_10.4125,Birreria Oktoberfest,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/birreria_oktoberfest_45.4880_10.4125.json,custom
45.718412,9.432726,ov_birreria_cassina_45.7184_9.4327,Birreria Cassina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/birreria_cassina_45.7184_9.4327.json,custom
45.512112,10.427293,osm_bar_la_caffetteria_45.5121_10.4273,Bar La Caffetteria,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/bar_la_caffetteria_45.5121_10.4273.json,custom
45.510968,10.419227,osm_locanda_3_corone_45.5110_10.4192,Locanda 3 Corone,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/locanda_3_corone_45.5110_10.4192.json,custom
45.508360,10.418356,osm_cory_caf__45.5084_10.4184,Cory Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/cory_caf_45.5084_10.4184.json,custom
45.495011,10.449371,ov_centro_ippico_le_caselle_45.4950_10.4494,Centro Ippico Le Caselle,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/centro_ippico_le_caselle_45.4950_10.4494.json,custom
45.494570,10.449444,ov_la_contea_ssd_45.4946_10.4494,La Contea SSD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/la_contea_ssd_45.4946_10.4494.json,custom
45.501335,10.439257,ov_borgo_la_caccia_45.5013_10.4393,Borgo la caccia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/borgo_la_caccia_45.5013_10.4393.json,custom
45.502350,10.432160,ov_lucky_horse_45.5023_10.4322,Lucky Horse,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/lucky_horse_45.5023_10.4322.json,custom
45.505342,10.393498,ov_olorun_dance_academy_45.5053_10.3935,Olorun Dance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/olorun_dance_academy_45.5053_10.3935.json,custom
45.505347,10.393507,ov_fenice_dance_academy_45.5053_10.3935,Fenice Dance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/fenice_dance_academy_45.5053_10.3935.json,custom
45.512050,10.427010,ov_scuderia_roccolo_45.5121_10.4270,Scuderia Roccolo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/scuderia_roccolo_45.5121_10.4270.json,custom
45.509980,10.429510,ov_giocayoga_con_chiara_45.5100_10.4295,Giocayoga con Chiara,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/giocayoga_con_chiara_45.5100_10.4295.json,custom
45.507859,10.442584,ov_palestra_athletic_sporting_club_45.5079_10.4426,Palestra Athletic Sporting Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/palestra_athletic_sporting_club_45.5079_10.4426.json,custom
45.508183,10.442737,ov_move_brescia_45.5082_10.4427,Move Brescia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/move_brescia_45.5082_10.4427.json,custom
45.489042,10.391442,ov_asd_giacomo_race_45.4890_10.3914,ASD Giacomo RACE,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/asd_giacomo_race_45.4890_10.3914.json,custom
45.509862,10.420856,ov_castello_di_bedizzole_45.5099_10.4209,Castello di Bedizzole,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/castello_di_bedizzole_45.5099_10.4209.json,custom
45.507378,10.423699,ov_biblioteca_comunale_primo_levi_45.5074_10.4237,Biblioteca comunale Primo Levi,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bedizzole/pages/biblioteca_comunale_primo_levi_45.5074_10.4237.json,custom
