# lat,lng,id,name,building_type,type,url,page_type
# Cisano Bergamasco -- Tutti
45.740541,9.471053,ov_comboni_centre__richard_novati_catholic__45.7405_9.4711,Comboni Centre -Richard Novati Catholic Hospital,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/comboni_centre_-richard_novati_catholic__45.7405_9.4711.json,custom
45.740381,9.450272,ov_hotel_la_sosta_45.7404_9.4503,Hotel La Sosta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/hotel_la_sosta_45.7404_9.4503.json,custom
45.741005,9.452419,ov_rocky_bar_45.7410_9.4524,Rocky Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/rocky_bar_45.7410_9.4524.json,custom
45.741087,9.452448,ov_le_due_rotonde_45.7411_9.4524,Le due Rotonde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/le_due_rotonde_45.7411_9.4524.json,custom
45.740121,9.466729,ov_ristorante_la_martinatica_45.7401_9.4667,Ristorante La Martinatica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/ristorante_la_martinatica_45.7401_9.4667.json,custom
45.747809,9.470485,ov_pizzeria_trattoria_tonallo_45.7478_9.4705,Pizzeria Trattoria Tonallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/pizzeria_trattoria_tonallo_45.7478_9.4705.json,custom
45.747658,9.470635,ov_tonallo_45.7477_9.4706,Tonallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/tonallo_45.7477_9.4706.json,custom
45.740951,9.470447,ov_industrial_14_45.7410_9.4704,Industrial 14,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/industrial_14_45.7410_9.4704.json,custom
45.739619,9.469588,ov_la_locanda_di_cri_45.7396_9.4696,La Locanda di Cri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/la_locanda_di_cri_45.7396_9.4696.json,custom
45.740816,9.473456,ov_villa_casaforte_di_bisone_45.7408_9.4735,Villa Casaforte di Bisone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/villa_casaforte_di_bisone_45.7408_9.4735.json,custom
45.740618,9.473447,ov_barbarossa_45.7406_9.4734,BarbaRossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/barbarossa_45.7406_9.4734.json,custom
45.743342,9.471824,ov_il_sorriso_45.7433_9.4718,Il Sorriso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/il_sorriso_45.7433_9.4718.json,custom
45.736780,9.485380,ov_bunde_pizza_restaurant_45.7368_9.4854,Bunde Pizza Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/bunde_pizza_restaurant_45.7368_9.4854.json,custom
45.740086,9.480026,osm_hotel_ristorante_fatur_45.7401_9.4800,Hotel Ristorante Fatur,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/hotel_ristorante_fatur_45.7401_9.4800.json,custom
45.739703,9.469911,ov_jet_lag_45.7397_9.4699,Jet Lag,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/jet_lag_45.7397_9.4699.json,custom
45.739768,9.469839,ov_baraonda_45.7398_9.4698,BarAonda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/baraonda_45.7398_9.4698.json,custom
45.739988,9.474886,ov_barmania_45.7400_9.4749,Barmania,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/barmania_45.7400_9.4749.json,custom
45.740402,9.474080,ov_piccolo_bar_effe_erre_45.7404_9.4741,Piccolo Bar Effe Erre,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/piccolo_bar_effe_erre_45.7404_9.4741.json,custom
45.739692,9.479493,ov_square__cosmopolitan_bar__45.7397_9.4795,Square [Cosmopolitan Bar],RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/square_cosmopolitan_bar_45.7397_9.4795.json,custom
45.740010,9.474996,osm_bar_mania_45.7400_9.4750,Bar Mania,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/bar_mania_45.7400_9.4750.json,custom
45.742700,9.470110,ov_abcdanza_asd_45.7427_9.4701,AbcDanza asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/abcdanza_asd_45.7427_9.4701.json,custom
45.741660,9.478987,ov_castello_vimercati_sozzi_45.7417_9.4790,Castello Vimercati-Sozzi,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cisano_bergamasco/pages/castello_vimercati-sozzi_45.7417_9.4790.json,custom
