# lat,lng,id,name,building_type,type,url,page_type
# borghetto_lodigiano -- Tutti
45.214793,9.494588,ov_parafarmacia_dott_ssa_fedeli_monica_srl_45.2148_9.4946,Parafarmacia dott.ssa Fedeli Monica Srl,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borghetto_lodigiano/pages/parafarmacia_dottssa_fedeli_monica_srl_45.2148_9.4946.json,custom
45.162960,9.761440,ov_divino_bistrot_45.1630_9.7614,DiVino Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borghetto_lodigiano/pages/divino_bistrot_45.1630_9.7614.json,custom
45.196078,9.450541,ov_il_bosco_agriturismo_45.1961_9.4505,Il Bosco Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borghetto_lodigiano/pages/il_bosco_agriturismo_45.1961_9.4505.json,custom
45.214127,9.500279,ov_la_favola_di_borghetto_lodigiano_45.2141_9.5003,La Favola di Borghetto Lodigiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borghetto_lodigiano/pages/la_favola_di_borghetto_lodigiano_45.2141_9.5003.json,custom
45.214403,9.501085,ov_la_locanda_dei_sapori_45.2144_9.5011,La Locanda dei Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borghetto_lodigiano/pages/la_locanda_dei_sapori_45.2144_9.5011.json,custom
45.212894,9.500138,ov_la_fenice_caf__45.2129_9.5001,La Fenice Cafè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borghetto_lodigiano/pages/la_fenice_caf_45.2129_9.5001.json,custom
45.218390,9.498933,ov_grill_house_pub_caffe_trattoria_ristoran_45.2184_9.4989,Grill House Pub Caffe Trattoria Ristorante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borghetto_lodigiano/pages/grill_house_pub_caffe_trattoria_ristoran_45.2184_9.4989.json,custom
45.213515,9.498925,ov_pro_loco_di_borghetto_lodigiano_45.2135_9.4989,Pro Loco di Borghetto Lodigiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borghetto_lodigiano/pages/pro_loco_di_borghetto_lodigiano_45.2135_9.4989.json,custom
45.213942,9.499745,ov_amy_caf__45.2139_9.4997,Amy Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borghetto_lodigiano/pages/amy_caf_45.2139_9.4997.json,custom
45.211117,9.493993,ov_coop_borghetto_lodigiano_45.2111_9.4940,Coop Borghetto Lodigiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borghetto_lodigiano/pages/coop_borghetto_lodigiano_45.2111_9.4940.json,custom
45.232798,9.507137,ov_autogrill_fiorenzuola_45.2328_9.5071,Autogrill Fiorenzuola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borghetto_lodigiano/pages/autogrill_fiorenzuola_45.2328_9.5071.json,custom
45.213226,9.495873,ov_circolo_tennis_il_parco_45.2132_9.4959,Circolo Tennis Il Parco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borghetto_lodigiano/pages/circolo_tennis_il_parco_45.2132_9.4959.json,custom
45.217601,9.506348,ov_centro_sportivo_comunale_borghetto_lodig_45.2176_9.5063,Centro Sportivo Comunale Borghetto Lodigiano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borghetto_lodigiano/pages/centro_sportivo_comunale_borghetto_lodig_45.2176_9.5063.json,custom
45.193407,9.520521,ov_casa_del_sole_45.1934_9.5205,Casa Del Sole,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borghetto_lodigiano/pages/casa_del_sole_45.1934_9.5205.json,custom
45.211991,9.496142,ov_municipio_di_borghetto_lodigiano_45.2120_9.4961,Municipio di Borghetto Lodigiano,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/borghetto_lodigiano/pages/municipio_di_borghetto_lodigiano_45.2120_9.4961.json,custom
