# lat,lng,id,name,building_type,type,url,page_type
# Bagnacavallo -- Tutti
44.418539,11.975971,ov_chiesa_e_ex_convento_di_san_girolamo_44.4185_11.9760,Chiesa e Ex Convento di San Girolamo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnacavallo/pages/chiesa_e_ex_convento_di_san_girolamo_44.4185_11.9760.json,custom
44.411637,11.971990,ov_sushi_pub_44.4116_11.9720,Sushi Pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnacavallo/pages/sushi_pub_44.4116_11.9720.json,custom
44.413875,11.973023,ov_il_padellone_44.4139_11.9730,Il Padellone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnacavallo/pages/il_padellone_44.4139_11.9730.json,custom
44.414327,11.962515,ov_la_tana_dell_ingordo_44.4143_11.9625,La tana dell'ingordo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnacavallo/pages/la_tana_dellingordo_44.4143_11.9625.json,custom
44.416446,11.969209,ov_piadineria_sapori_di_romagna_44.4164_11.9692,Piadineria Sapori di Romagna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnacavallo/pages/piadineria_sapori_di_romagna_44.4164_11.9692.json,custom
44.427154,11.950596,ov_bocon_divino_44.4272_11.9506,Bocon Divino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnacavallo/pages/bocon_divino_44.4272_11.9506.json,custom
44.421603,11.970511,ov_pizza_regina_bagnacavallo_44.4216_11.9705,Pizza Regina Bagnacavallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnacavallo/pages/pizza_regina_bagnacavallo_44.4216_11.9705.json,custom
44.421707,11.970513,ov_la_crem_44.4217_11.9705,La Crem,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnacavallo/pages/la_crem_44.4217_11.9705.json,custom
44.468268,11.975639,ov_agriturismo_podere_rossetta_44.4683_11.9756,Agriturismo Podere Rossetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnacavallo/pages/agriturismo_podere_rossetta_44.4683_11.9756.json,custom
44.468216,11.975641,ov_agriturismo_il_cantuccio_44.4682_11.9756,Agriturismo Il Cantuccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnacavallo/pages/agriturismo_il_cantuccio_44.4682_11.9756.json,custom
44.446946,12.052155,ov_pizzeria_il_borghetto_44.4469_12.0522,Pizzeria Il borghetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnacavallo/pages/pizzeria_il_borghetto_44.4469_12.0522.json,custom
