# lat,lng,id,name,building_type,type,url,page_type
# Sterzing -- Tutti
46.898194,11.425750,ov_krankenhaus_sterzing_46.8982_11.4258,Krankenhaus Sterzing,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/krankenhaus_sterzing_46.8982_11.4258.json,custom
46.914036,11.441997,ov_zoll_bowls___burger_46.9140_11.4420,Zoll Bowls & Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/zoll_bowls_burger_46.9140_11.4420.json,custom
46.908040,11.430050,ov_sterzingerhaus_46.9080_11.4300,Sterzingerhaus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/sterzingerhaus_46.9080_11.4300.json,custom
46.900853,11.430082,ov_yi_ji_46.9009_11.4301,Yi Ji,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/yi_ji_46.9009_11.4301.json,custom
46.887372,11.431629,ov_derby_46.8874_11.4316,Derby,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/derby_46.8874_11.4316.json,custom
46.903235,11.429787,ov_imbiss_beim_hias_46.9032_11.4298,Imbiss beim Hias,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/imbiss_beim_hias_46.9032_11.4298.json,custom
46.918592,11.447052,osm_schaurhof_46.9186_11.4471,Schaurhof,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/schaurhof_46.9186_11.4471.json,custom
46.683266,11.120934,ov_bar_barfuss_46.6833_11.1209,Bar Barfuss,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/bar_barfuss_46.6833_11.1209.json,custom
46.895766,11.439946,ov_bar_buffet_sterzing_46.8958_11.4399,Bar Buffet Sterzing,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/bar_buffet_sterzing_46.8958_11.4399.json,custom
46.898851,11.432314,ov_el_principal_46.8989_11.4323,El Principal,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/el_principal_46.8989_11.4323.json,custom
46.899123,11.431549,ov_stadtzentrum_sterzing_46.8991_11.4315,Stadtzentrum Sterzing,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/stadtzentrum_sterzing_46.8991_11.4315.json,custom
46.898115,11.431356,ov_1280_lamm_s_restaurant_bar_cafe_46.8981_11.4314,1280 LAMM's Restaurant.Bar.Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/1280_lamms_restaurantbarcafe_46.8981_11.4314.json,custom
46.897581,11.432000,ov_flammenschenke_46.8976_11.4320,Flammenschenke,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/flammenschenke_46.8976_11.4320.json,custom
46.896482,11.432382,ov_aperitif_bar_sterzl_46.8965_11.4324,Aperitif Bar Sterzl,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/aperitif_bar_sterzl_46.8965_11.4324.json,custom
46.890163,11.434586,ov_bar_by_kristi_46.8902_11.4346,Bar by Kristi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/bar_by_kristi_46.8902_11.4346.json,custom
46.893253,11.438339,ov_ice_bar_46.8933_11.4383,ICE BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/ice_bar_46.8933_11.4383.json,custom
46.904181,11.429953,ov_outdoor_center_papin_rosskopf_monte_cava_46.9042_11.4300,Outdoor Center Papin Rosskopf Monte Cavallo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/outdoor_center_papin_rosskopf_monte_cava_46.9042_11.4300.json,custom
46.897980,11.434790,ov_power_gym_sterzing_46.8980_11.4348,Power GYM Sterzing,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/power_gym_sterzing_46.8980_11.4348.json,custom
46.890707,11.430013,ov_fitness_46.8907_11.4300,fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/fitness_46.8907_11.4300.json,custom
46.683433,11.121228,ov_offentliche_bibliothek_algund___bibliote_46.6834_11.1212,Offentliche Bibliothek Algund - Biblioteca civica di Lagundo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/sterzing/pages/offentliche_bibliothek_algund_-_bibliote_46.6834_11.1212.json,custom
