# lat,lng,id,name,building_type,type,url,page_type
# Massarosa -- Tutti
43.899182,10.317702,ov_la_gora_stiava_43.8992_10.3177,La Gora Stiava,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massarosa/pages/la_gora_stiava_43.8992_10.3177.json,custom
43.831517,10.362498,ov_centro_polivalente_coccobrillo_43.8315_10.3625,Centro Polivalente CoccoBrillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massarosa/pages/centro_polivalente_coccobrillo_43.8315_10.3625.json,custom
43.836646,10.359474,ov_luna_romana_43.8366_10.3595,Luna Romana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massarosa/pages/luna_romana_43.8366_10.3595.json,custom
43.836058,10.361116,ov_osteria_le_terme_43.8361_10.3611,Osteria Le Terme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massarosa/pages/osteria_le_terme_43.8361_10.3611.json,custom
43.853811,10.361671,ov_i_fatti_in_casa_43.8538_10.3617,I Fatti In Casa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massarosa/pages/i_fatti_in_casa_43.8538_10.3617.json,custom
43.853682,10.362678,ov_ristorante_donatella_da_graziano___speci_43.8537_10.3627,Ristorante Donatella Da Graziano - Specialità pesce - Pizzer,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massarosa/pages/ristorante_donatella_da_graziano_-_speci_43.8537_10.3627.json,custom
43.858997,10.348017,ov_ristorante_capriccio_da_fabri_43.8590_10.3480,Ristorante Capriccio Da Fabri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massarosa/pages/ristorante_capriccio_da_fabri_43.8590_10.3480.json,custom
43.858771,10.347986,ov_ristorante_la_cava_di_pierini_43.8588_10.3480,Ristorante La Cava Di Pierini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massarosa/pages/ristorante_la_cava_di_pierini_43.8588_10.3480.json,custom
43.857713,10.350494,ov_ristorante_pizzeria_adriana_43.8577_10.3505,Ristorante Pizzeria Adriana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massarosa/pages/ristorante_pizzeria_adriana_43.8577_10.3505.json,custom
43.875912,10.331546,ov_osteria_l_oliveta_43.8759_10.3315,Osteria L'Oliveta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massarosa/pages/osteria_loliveta_43.8759_10.3315.json,custom
43.874565,10.333667,ov_trattoria_la_corteccia_43.8746_10.3337,Trattoria La Corteccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massarosa/pages/trattoria_la_corteccia_43.8746_10.3337.json,custom
43.870377,10.339597,ov_ristorante_pizzeria_il_chiodo_43.8704_10.3396,Ristorante Pizzeria Il Chiodo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massarosa/pages/ristorante_pizzeria_il_chiodo_43.8704_10.3396.json,custom
43.870790,10.339000,ov_da_nara_43.8708_10.3390,Da Nara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/massarosa/pages/da_nara_43.8708_10.3390.json,custom
