# lat,lng,id,name,building_type,type,url,page_type
# Poncarale -- Tutti
45.519462,10.235957,ov_u__o__neurologia___fondazione_poliambula_45.5195_10.2360,U. O. Neurologia - Fondazione Poliambulanza,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/u_o_neurologia_-_fondazione_poliambulanz_45.5195_10.2360.json,custom
45.457078,10.205324,ov_primo_piano_45.4571_10.2053,Primo Piano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/primo_piano_45.4571_10.2053.json,custom
45.457111,10.205282,ov_ristorante_pizzeria_manuno__pizza_napole_45.4571_10.2053,Ristorante Pizzeria Manuno -Pizza Napoletana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/ristorante_pizzeria_manuno_-pizza_napole_45.4571_10.2053.json,custom
45.449155,10.188170,ov_bar_ristorante_laghi_mella_45.4492_10.1882,Bar Ristorante Laghi Mella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/bar_ristorante_laghi_mella_45.4492_10.1882.json,custom
45.459471,10.187005,ov_pizza_kebab_new_capri_45.4595_10.1870,Pizza&Kebab New Capri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/pizzakebab_new_capri_45.4595_10.1870.json,custom
45.459409,10.186539,ov_trattoria_la_tana_del_grillo_45.4594_10.1865,Trattoria La Tana del Grillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/trattoria_la_tana_del_grillo_45.4594_10.1865.json,custom
45.459851,10.185262,ov_il_fuego_45.4599_10.1853,Il Fuego,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/il_fuego_45.4599_10.1853.json,custom
45.461026,10.174202,ov_la_rocca__ristorante_e_pizzeria_45.4610_10.1742,"La Rocca, ristorante e pizzeria",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/la_rocca_ristorante_e_pizzeria_45.4610_10.1742.json,custom
45.462722,10.181812,ov_pizzeria_l_amalfitana_45.4627_10.1818,Pizzeria L'Amalfitana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/pizzeria_lamalfitana_45.4627_10.1818.json,custom
45.466939,10.161543,ov_hostaria_del_montenetto_45.4669_10.1615,Hostaria del Montenetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/hostaria_del_montenetto_45.4669_10.1615.json,custom
45.467887,10.173872,ov_ex_trattoria_della_nonna_45.4679_10.1739,Ex Trattoria Della Nonna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/ex_trattoria_della_nonna_45.4679_10.1739.json,custom
45.463675,10.206148,ov_ai_quattro_camini_45.4637_10.2061,Ai Quattro Camini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/ai_quattro_camini_45.4637_10.2061.json,custom
45.462116,10.198814,ov_hostaria_minimella_45.4621_10.1988,Hostaria Minimella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/hostaria_minimella_45.4621_10.1988.json,custom
45.512705,10.353776,ov_km51_bar_trattoria_tabacchi_45.5127_10.3538,Km51 Bar Trattoria Tabacchi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/km51_bar_trattoria_tabacchi_45.5127_10.3538.json,custom
45.457499,10.204588,osm_ristorante_pizzeria_manuno_45.4575_10.2046,Ristorante Pizzeria Manuno,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/ristorante_pizzeria_manuno_45.4575_10.2046.json,custom
45.467005,10.161473,osm_hostaria_del_montenetto_45.4670_10.1615,Hostaria del Montenetto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/hostaria_del_montenetto_45.4670_10.1615.json,custom
45.461120,10.174488,osm_la_rocca_45.4611_10.1745,La Rocca,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/la_rocca_45.4611_10.1745.json,custom
45.459051,10.188685,ov_silver_bar_45.4591_10.1887,Silver Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/silver_bar_45.4591_10.1887.json,custom
45.460025,10.173374,ov_the_red_mill_45.4600_10.1734,The Red Mill,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/the_red_mill_45.4600_10.1734.json,custom
45.460170,10.173416,ov_the_red_mill_irish_pub_45.4602_10.1734,The Red Mill Irish Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/the_red_mill_irish_pub_45.4602_10.1734.json,custom
45.461681,10.173977,ov_bar_ricevitoria_trt_caf__45.4617_10.1740,Bar Ricevitoria TRT Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/bar_ricevitoria_trt_caf_45.4617_10.1740.json,custom
45.462394,10.181855,ov_bar_piazzetta_45.4624_10.1819,Bar Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/bar_piazzetta_45.4624_10.1819.json,custom
45.461658,10.180820,ov_fiore_45.4617_10.1808,Fiore,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/fiore_45.4617_10.1808.json,custom
45.461830,10.195820,ov_nuovo_laghetto_fiorito_45.4618_10.1958,Nuovo Laghetto Fiorito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/nuovo_laghetto_fiorito_45.4618_10.1958.json,custom
45.467101,10.151153,ov_birra_riversa_45.4671_10.1512,Birra Riversa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/birra_riversa_45.4671_10.1512.json,custom
45.445734,10.156399,ov_montenetto_stables_45.4457_10.1564,Montenetto Stables,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/montenetto_stables_45.4457_10.1564.json,custom
45.448005,10.172483,ov_scuderia_il_salice_45.4480_10.1725,Scuderia il salice,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/poncarale/pages/scuderia_il_salice_45.4480_10.1725.json,custom
