# lat,lng,id,name,building_type,type,url,page_type
# Piedimonte San Germano -- Tutti
41.500307,13.743764,ov_r_s_a__san_germano_41.5003_13.7438,R.S.A. San Germano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/rsa_san_germano_41.5003_13.7438.json,custom
41.488392,13.731130,ov_antica_casa_scardone_41.4884_13.7311,Antica Casa Scardone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/antica_casa_scardone_41.4884_13.7311.json,custom
41.487573,13.748423,ov_ingresso_7_41.4876_13.7484,Ingresso 7,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/ingresso_7_41.4876_13.7484.json,custom
41.481026,13.747251,ov_il_tino_ristorante_pizzeria_41.4810_13.7473,Il Tino Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/il_tino_ristorante_pizzeria_41.4810_13.7473.json,custom
41.475129,13.747767,ov_roselli_bar_ristorante_pizzeria_tabacchi_41.4751_13.7478,Roselli Bar Ristorante Pizzeria Tabacchi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/roselli_bar_ristorante_pizzeria_tabacchi_41.4751_13.7478.json,custom
41.477919,13.752671,ov_centro_presse__fiat_cassino__41.4779_13.7527,Centro Presse (Fiat Cassino),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/centro_presse_fiat_cassino_41.4779_13.7527.json,custom
41.498526,13.748036,ov_pizzeria_da_michele_41.4985_13.7480,Pizzeria Da Michele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/pizzeria_da_michele_41.4985_13.7480.json,custom
41.497670,13.736963,ov_trof___restaurant_41.4977_13.7370,Trofí  Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/trof_restaurant_41.4977_13.7370.json,custom
41.497670,13.736963,ov_la_taverna_di_cupido_41.4977_13.7370,La Taverna Di Cupido,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/la_taverna_di_cupido_41.4977_13.7370.json,custom
41.497186,13.738838,ov_alessandra_ricci___atelier_di_pasticceri_41.4972_13.7388,Alessandra Ricci - Atelier di Pasticceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/alessandra_ricci_-_atelier_di_pasticceri_41.4972_13.7388.json,custom
41.496060,13.748067,ov_la_taverna_di_cupido_41.4961_13.7481,La Taverna di Cupido,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/la_taverna_di_cupido_41.4961_13.7481.json,custom
41.496487,13.754872,ov_cibus_cultura_gastronomica_41.4965_13.7549,Cibus Cultura Gastronomica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/cibus_cultura_gastronomica_41.4965_13.7549.json,custom
41.496964,13.751433,ov_pizzeria_queen_41.4970_13.7514,Pizzeria Queen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/piedimonte_san_germano/pages/pizzeria_queen_41.4970_13.7514.json,custom
